aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
1456149.5,64.55131999999999,5.0,2255803.319,100.000030998,12.0,494.381,0.02191594,3.0,11.348,0.000503058,1.0,792846.0,35.14692,2.0,6302.09,0.279372,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1378175.0,62.99666,5.0,2187693.333,99.999939242,12.0,499.12999999999994,0.02281538,3.0,11.373,0.000519862,1.0,802705.0,36.69184,2.0,6302.83,0.288104,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1476290.5,65.00297,5.0,2271109.817,99.999892477,12.0,492.265,0.02167505,3.0,12.092,0.000532427,1.0,788025.0,34.69776,2.0,6289.96,0.276955,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1399820.4,63.76985,5.0,2195111.0209999997,99.999883216,12.0,496.142,0.022602169999999998,3.0,11.679,0.000532046,1.0,788489.0,35.92018,2.0,6293.8,0.286719,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1456278.2,64.68681,5.0,2251277.6680000005,100.000021081,12.0,492.54699999999997,0.021878560000000002,3.0,11.921,0.000529521,1.0,788172.0,35.00994,2.0,6323.0,0.280863,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1393189.0,63.65382000000001,5.0,2188696.3259999994,99.999975662,12.0,494.747,0.022604660000000002,3.0,11.819,0.000540002,1.0,788731.0,36.03655,2.0,6269.76,0.286461,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1445391.8,64.46537000000001,5.0,2242118.88,99.999983961,12.0,493.278,0.0220005,3.0,12.342,0.000550461,1.0,789943.0,35.23204,2.0,6278.46,0.280023,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1385724.2,63.48417,5.0,2182789.24,100.000092462,12.0,491.436,0.02251409,3.0,11.184,0.000512372,1.0,790256.0,36.20398,2.0,6306.42,0.288916,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1473905.1,64.96986,5.0,2268597.925,99.99994665399998,12.0,494.91999999999996,0.02181613,3.0,12.285,0.000541524,1.0,787881.0,34.72982,2.0,6304.62,0.277909,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1380009.3,63.389660000000006,5.0,2177027.467,100.000072349,12.0,493.901,0.02268692,3.0,12.266,0.000563429,1.0,790243.0,36.2992,2.0,6269.0,0.287962,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1468618.9,64.8398,5.0,2264994.972,99.999949909,12.0,499.286,0.02204363,3.0,11.286,0.000498279,1.0,789570.0,34.85966,2.0,6295.5,0.277948,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1400579.9,63.863600000000005,5.0,2193080.898,100.00001790900001,12.0,488.73199999999997,0.022285129999999997,3.0,11.136,0.000507779,1.0,785697.0,35.82617,2.0,6304.13,0.287455,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1470478.7,64.86928,5.0,2266833.324,99.99996310800002,12.0,495.78999999999996,0.0218715,3.0,12.164,0.000536608,1.0,789557.0,34.83081,2.0,6289.67,0.277465,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1389877.0,63.53139,5.0,2187702.245,100.000045239,12.0,492.216,0.02249919,3.0,11.399,0.000521049,1.0,791031.0,36.15809,2.0,6290.63,0.287545,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1441278.1,64.51636,5.0,2233973.868,100.000071609,12.0,489.674,0.02191946,3.0,12.804,0.000573149,1.0,785904.0,35.17969,2.0,6289.29,0.281529,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
