aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
1321543.252999999,89.13393290000008,200.0,1482649.5959999948,100.0000434040002,1428.0,8734.926000000003,0.5891428369999999,99.0,38377.34,2.588429127999999,201.0,1027.68,0.0693136,1.0,41228.18499999999,2.780710030000001,102.0,31468.374999999993,2.122441832000001,307.0,326.8329999999999,0.022043844,102.0,31677.188000000006,2.136525774999999,306.0,326.5410000000001,0.022024148,102.0,1220.316,0.0823064,3.0,657.36,0.0443368,3.0,139.519,0.00941011,1.0,5922.08,0.399426,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
1322510.5299999998,89.12726340000003,200.0,1483844.6860000012,99.9999800469999,1428.0,9018.750999999993,0.6077964490000004,99.0,38396.53299999996,2.587639928000002,201.0,1022.17,0.068887,1.0,41326.999999999985,2.785132080000002,102.0,31429.64599999999,2.1181224219999994,307.0,332.74299999999994,0.02242439100000001,102.0,31546.450999999994,2.1259941190000005,306.0,325.84000000000003,0.021959178,102.0,1248.168,0.0841172,3.0,632.679,0.04263782,3.0,129.125,0.00870206,1.0,5925.05,0.399304,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
1325125.8600000008,89.1562042,200.0,1486297.0750000004,100.00001575899988,1428.0,9087.368999999995,0.611410167,99.0,38343.61300000003,2.5798091339999987,201.0,1023.6,0.0688694,1.0,41272.42999999998,2.7768638999999995,102.0,31405.370000000003,2.1129944560000005,307.0,323.7340000000001,0.021781259000000008,102.0,31451.54699999998,2.1161010299999985,306.0,320.8529999999999,0.021587413000000007,102.0,1242.043,0.0835663,3.0,658.9219999999999,0.0443332,3.0,141.604,0.0095273,1.0,5900.13,0.396968,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
1330193.1729999993,89.18612730000005,200.0,1491479.6940000018,99.99998934299991,1428.0,9089.009,0.609395655,99.0,38409.73300000003,2.575277633000001,201.0,1019.24,0.0683374,1.0,41263.489,2.766615240000001,102.0,31272.564,2.0967474709999996,307.0,330.92,0.022187368,102.0,31641.364999999987,2.121475129,306.0,326.45500000000004,0.021887997,102.0,1205.951,0.08085609999999999,3.0,665.336,0.0446091,3.0,140.959,0.00945095,1.0,5921.5,0.397022,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
1334390.3800000004,89.17665650000002,200.0,1496345.2339999988,100.00001763200011,1428.0,9155.973999999998,0.6118889279999996,99.0,38262.827999999965,2.5570852420000008,201.0,1021.89,0.0682925,1.0,41341.12500000002,2.762806770000001,102.0,31846.24600000003,2.1282687489999996,307.0,323.4509999999999,0.021616069000000005,102.0,31746.91600000002,2.121630204000002,306.0,322.35500000000013,0.02154283000000001,102.0,1256.539,0.0839738,3.0,585.639,0.039138000000000006,3.0,143.141,0.00956604,1.0,5948.75,0.397552,1.0,densenet201.onnx
0.0,nan,200.0,0.0,nan,1428.0,0.0,nan,99.0,0.0,nan,201.0,0.0,nan,1.0,0.0,nan,102.0,0.0,nan,307.0,0.0,nan,102.0,0.0,nan,306.0,0.0,nan,102.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet201.onnx
