aggregated_duration_takeexpanddimsmultiplyaddtakeexpanddimsmultiplyaddtakeexpanddieeca615eab0a1db9,aggregated_percentage_takeexpanddimsmultiplyaddtakeexpanddimsmultiplyaddtakeexpanddieeca615eab0a1db9,aggregated_count_takeexpanddimsmultiplyaddtakeexpanddimsmultiplyaddtakeexpanddieeca615eab0a1db9,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
250.362,0.0170516,1.0,1468258.7409999997,99.99997210999993,82.0,1457549.4409999999,99.27058439999993,57.0,5027.149,0.34238831999999997,13.0,1921.6700000000003,0.13088088,9.0,81.399,0.00554391,1.0,3428.72,0.233523,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
223.877,0.0194198,1.0,1152831.2289999998,99.99993549999995,82.0,1142222.8079999995,99.07973029999995,57.0,5053.6269999999995,0.43836650000000005,13.0,1928.281,0.16726472,9.0,79.386,0.00688618,1.0,3323.25,0.288268,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
246.85,0.0168186,1.0,1467720.0999999999,100.00008436000003,82.0,1456917.7249999999,99.26408780000001,57.0,5090.991000000001,0.34686371000000005,13.0,1932.8849999999998,0.13169288,9.0,78.279,0.00533337,1.0,3453.37,0.235288,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
248.406,0.0214884,1.0,1156003.2880000009,100.00002904,82.0,1145230.0910000005,99.0680937,57.0,5107.839,0.4418535,13.0,1928.932,0.16686239,9.0,71.43,0.00617905,1.0,3416.59,0.295552,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
247.589,0.0168885,1.0,1466018.9209999996,100.00009823,82.0,1455211.3449999995,99.262892,57.0,5114.893000000001,0.34889694,13.0,1924.151,0.13125006,9.0,77.783,0.00530573,1.0,3443.16,0.234865,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
248.142,0.0215237,1.0,1152876.0509999997,99.99990725999993,82.0,1142133.6889999998,99.06811819999994,57.0,5121.716000000001,0.44425570000000003,13.0,1872.7859999999998,0.16244483,9.0,74.128,0.00642983,1.0,3425.59,0.297135,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
249.355,0.0169476,1.0,1471329.0309999995,100.00002321000004,82.0,1460585.7929999998,99.26985050000003,57.0,5063.870000000001,0.34416987,13.0,1923.9660000000001,0.13076388,9.0,82.797,0.00562736,1.0,3423.25,0.232664,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
248.683,0.0215941,1.0,1151622.665,99.99996631999998,82.0,1140843.044,99.06392849999999,57.0,5125.315,0.4450516,13.0,1936.395,0.16814489,9.0,80.098,0.00695523,1.0,3389.13,0.294292,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
248.126,0.0169091,1.0,1467408.1480000003,100.00001929000001,82.0,1456631.97,99.2656505,57.0,5105.045,0.34789541,13.0,1937.4130000000002,0.13202964,9.0,80.394,0.00547864,1.0,3405.2,0.232056,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
248.263,0.0215668,1.0,1151134.2719999999,100.00008143999996,82.0,1140405.0790000004,99.06802879999998,57.0,5139.280999999999,0.4464532,13.0,1903.9439999999997,0.16539708999999997,9.0,79.285,0.00688755,1.0,3358.42,0.291748,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
219.845,0.0147991,1.0,1485533.562999999,100.00000287999997,82.0,1474851.167999999,99.28090759999998,57.0,5101.296,0.34339838,13.0,1926.7320000000004,0.12969969999999997,9.0,82.612,0.0055611,1.0,3351.91,0.225637,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
251.826,0.0218492,1.0,1152562.574,99.99991735999993,82.0,1141877.7559999998,99.07286919999996,57.0,5117.595,0.4440185,13.0,1932.8039999999999,0.16769605999999998,9.0,79.543,0.0069014,1.0,3303.05,0.286583,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
251.667,0.0172281,1.0,1460798.0620000002,99.99999099000003,82.0,1449943.7759999998,99.25695240000002,57.0,5086.135,0.34817540999999996,13.0,1916.906,0.13122329,9.0,78.208,0.00535379,1.0,3521.37,0.241058,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
250.483,0.0216656,1.0,1156131.9630000002,99.99999371000001,82.0,1145354.4649999999,99.06779000000002,57.0,5114.448,0.44237580000000004,13.0,1934.115,0.16729196,9.0,78.332,0.00677535,1.0,3400.12,0.294095,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
247.527,0.0168545,1.0,1468607.839,100.00001829,82.0,1457819.2960000003,99.2654086,57.0,5102.442000000001,0.34743389999999996,13.0,1929.5300000000002,0.13138499,9.0,80.954,0.0055123,1.0,3428.09,0.233424,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
245.406,0.0213054,1.0,1151848.0849999997,99.99998919000001,82.0,1141085.5459999996,99.06561810000001,57.0,5093.836000000001,0.44223149999999994,13.0,1904.3889999999997,0.16533337999999997,9.0,78.358,0.00680281,1.0,3440.55,0.298698,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
247.186,0.0168237,1.0,1469270.5839999998,99.99998795999997,82.0,1458493.7959999994,99.26650929999998,57.0,5123.525999999999,0.34871251,13.0,1933.378,0.13158751,9.0,80.618,0.00548694,1.0,3392.08,0.230868,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
249.003,0.0215763,1.0,1154054.782,100.00007161,82.0,1143443.676,99.08060929999999,57.0,5110.669,0.44284429999999997,13.0,1831.5569999999998,0.15870612,9.0,77.167,0.00668659,1.0,3342.71,0.289649,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
251.12,0.017105,1.0,1468109.7780000004,99.99997144000005,82.0,1457361.0950000002,99.26782780000005,57.0,5067.990999999999,0.3452047700000001,13.0,1919.039,0.13071463,9.0,78.753,0.00536424,1.0,3431.78,0.233755,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
244.08,0.0211391,1.0,1154639.009,99.99991302000005,82.0,1143835.0769999998,99.06421470000008,57.0,5113.400000000001,0.4428571,13.0,1926.454,0.1668447,9.0,77.458,0.00670842,1.0,3442.54,0.298149,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
