aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_clip,aggregated_percentage_clip,aggregated_count_clip,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
93536.06400000001,79.69670599999998,52.0,117365.03200000002,99.99999019,152.0,10239.829999999994,8.724762899999998,52.0,9476.055000000004,8.074003999999997,35.0,465.81399999999996,0.39689309000000006,11.0,96.479,0.0822042,1.0,3550.79,3.02542,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93752.741,79.56521299999999,52.0,117831.28499999997,99.99999163999996,152.0,10530.08,8.936579699999998,52.0,9483.390999999998,8.048284500000003,35.0,429.551,0.36454694,11.0,96.442,0.0818475,1.0,3539.08,3.00352,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93805.987,79.57124900000001,52.0,117889.29899999997,100.00000475000004,152.0,10605.235,8.995926989999997,52.0,9373.710000000003,7.951283599999999,35.0,475.454,0.40330535999999995,11.0,94.653,0.0802898,1.0,3534.26,2.99795,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
92946.93100000001,79.350158,52.0,117135.12600000002,99.99997558999995,152.0,10620.276999999998,9.066685050000002,52.0,9457.509,8.074011200000001,35.0,476.04100000000005,0.40640344000000006,11.0,97.208,0.0829879,1.0,3537.16,3.01973,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93751.797,79.53216900000002,52.0,117879.10900000008,100.00001625000006,152.0,10603.447999999993,8.9951894,52.0,9406.593000000003,7.9798637,35.0,467.041,0.39620285000000005,11.0,99.35,0.0842813,1.0,3550.88,3.01231,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93689.99800000002,79.74401500000002,52.0,117488.40699999999,99.99998034000004,152.0,10421.507000000003,8.870237,52.0,9275.355,7.894705299999997,35.0,467.962,0.39830503999999994,11.0,97.795,0.083238,1.0,3535.79,3.00948,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93427.45199999999,79.439157,52.0,117608.85199999993,100.00003336,152.0,10576.906000000004,8.993288289999999,52.0,9495.388,8.073707600000002,35.0,472.209,0.4015075699999999,11.0,97.407,0.0828229,1.0,3539.49,3.00955,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93571.39500000005,79.69592899999998,52.0,117410.53100000002,100.00001726999996,152.0,10381.178999999995,8.8417775,52.0,9342.723000000002,7.957317400000002,35.0,476.48800000000006,0.40583037000000005,11.0,97.196,0.082783,1.0,3541.55,3.01638,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93636.45300000001,79.65797100000002,52.0,117548.12399999997,99.99999757000006,152.0,10594.984000000002,9.01330841,52.0,9214.966999999999,7.839321199999999,35.0,473.5900000000001,0.40289026000000006,11.0,98.76,0.0840167,1.0,3529.37,3.00249,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93067.70400000001,79.365977,52.0,117263.98299999996,100.00000006,152.0,10630.235999999995,9.065218199999997,52.0,9456.462000000003,8.064247400000001,35.0,474.229,0.40441186,11.0,101.862,0.0868656,1.0,3533.49,3.01328,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93027.54199999996,79.388499,52.0,117180.12899999997,100.00000225999999,152.0,10565.708000000002,9.01663953,52.0,9461.046999999999,8.073935100000002,35.0,480.1760000000001,0.40977633,11.0,99.266,0.0847123,1.0,3546.39,3.02644,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93405.80299999999,79.65604900000001,52.0,117261.40799999997,100.00000454000002,152.0,10494.912000000002,8.950018399999996,52.0,9240.297,7.880082399999998,35.0,475.126,0.40518503999999994,11.0,97.35,0.0830197,1.0,3547.92,3.02565,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93735.47300000001,79.58140399999998,52.0,117785.67400000001,100.00000836000004,152.0,10608.142999999995,9.00630751,52.0,9345.859000000002,7.9346286,35.0,472.4289999999999,0.40109225,11.0,96.98,0.082336,1.0,3526.79,2.99424,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93476.25500000002,79.468491,52.0,117626.80599999998,99.99999103000002,152.0,10579.872,8.994436199999999,52.0,9444.886,8.029535899999999,35.0,477.92499999999995,0.40630633000000005,11.0,97.738,0.0830916,1.0,3550.13,3.01813,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
92957.47800000002,79.35550400000001,52.0,117140.55799999999,100.00000832000003,152.0,10608.103,9.055878399999997,52.0,9452.020999999999,8.0689582,35.0,474.20200000000006,0.40481392000000005,11.0,98.754,0.0843038,1.0,3550.0,3.03055,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93212.463,79.41421300000002,52.0,117375.00599999996,99.99997922000001,152.0,10580.752,9.014489999999995,52.0,9473.080999999996,8.0707833,35.0,472.423,0.40249031999999996,11.0,96.497,0.0822126,1.0,3539.79,3.01579,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93566.465,79.68538800000002,52.0,117419.85000000005,99.99999724,152.0,10359.951000000001,8.823001300000001,52.0,9385.682999999999,7.9932669,35.0,469.879,0.40017064,11.0,99.232,0.0845104,1.0,3538.64,3.01366,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93466.041,79.62263600000001,52.0,117386.21799999996,99.99997489999994,152.0,10343.250000000004,8.811294199999997,52.0,9477.286999999998,8.0735999,35.0,473.7950000000001,0.40362029999999993,11.0,98.105,0.0835745,1.0,3527.74,3.00525,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93011.54899999998,79.45314999999997,52.0,117064.64400000001,99.99999897999997,152.0,10472.890000000001,8.9462461,52.0,9481.864999999998,8.099685400000002,35.0,469.44800000000004,0.40101587999999994,11.0,96.112,0.0821016,1.0,3532.78,3.0178,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93348.408,79.65732200000002,52.0,117187.50700000004,100.00001629000002,152.0,10328.392999999996,8.813563399999996,52.0,9401.955999999998,8.0229955,35.0,463.816,0.39578999,11.0,98.854,0.0843554,1.0,3546.08,3.02599,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
