aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_clip,aggregated_percentage_clip,aggregated_count_clip,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
82885.38100000001,73.721565,62.0,112430.297,100.00000997000006,282.0,6696.923000000001,5.956514080000001,62.0,6531.618999999999,5.809481330000002,58.0,3170.1129999999994,2.8196243799999996,41.0,2130.7279999999996,1.8951536199999999,29.0,3505.6249999999995,3.11804656,19.0,824.378,0.733235,9.0,6685.53,5.94639,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
83210.53699999998,73.93474369999997,62.0,112545.91900000001,100.00000286000007,282.0,6637.082000000001,5.89722231,62.0,6458.361000000003,5.738420330000002,58.0,3176.6869999999994,2.8225700899999993,41.0,2102.3500000000004,1.86799245,29.0,3485.564,3.0970171799999986,19.0,790.518,0.7023968,9.0,6684.82,5.93964,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
83413.86399999999,73.78805290000003,62.0,113045.25599999995,100.00002166000002,282.0,6667.758999999998,5.898307559999999,62.0,6577.275000000001,5.81826825,58.0,3175.009,2.8086173400000005,41.0,2152.911,1.9044669399999998,29.0,3514.4159999999997,3.1088592700000004,19.0,826.982,0.7315493999999999,9.0,6717.04,5.9419,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
83352.71499999997,73.8335296,62.0,112892.77699999996,99.99999910000003,282.0,6691.089000000001,5.9269383499999995,62.0,6536.319999999999,5.789846120000003,58.0,3143.372,2.7843875400000004,41.0,2151.883,1.9061296599999997,29.0,3498.0669999999996,3.0985782299999998,19.0,812.0710000000001,0.7193295999999999,9.0,6707.26,5.94126,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
82841.956,73.8333059,62.0,112201.34399999997,99.99998909999991,282.0,6647.252,5.924393219999998,62.0,6449.417999999999,5.748074530000001,58.0,3180.017000000001,2.8342056600000003,41.0,2121.4190000000003,1.8907254800000002,29.0,3459.8519999999994,3.0836121100000002,19.0,809.4800000000001,0.7214522000000001,9.0,6691.95,5.96422,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
83157.70700000001,73.93504609999998,62.0,112474.04700000008,100.00001526999995,282.0,6703.287000000003,5.959851780000001,62.0,6499.629999999999,5.7787817499999985,58.0,3149.8070000000002,2.80047353,41.0,2096.1329999999994,1.86365993,29.0,3353.069,2.98118828,19.0,815.374,0.7249439000000001,9.0,6699.04,5.95607,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
83256.91700000002,73.87725940000001,62.0,112696.278,100.00001488000004,282.0,6637.433000000001,5.889673520000001,62.0,6488.5599999999995,5.75756386,58.0,3155.0919999999987,2.7996430800000005,41.0,2151.611,1.9092128300000002,29.0,3463.4519999999993,3.0732641899999997,19.0,814.0930000000002,0.7223780000000001,9.0,6729.12,5.971019999999999,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
