aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,total_duration,total_percentage,total_count,label_model_name
430078.70499999996,91.462066,104,8797.098000000007,1.8708218449999996,346,1379.918,0.2934582799999999,104,6226.098999999995,1.32406424,312,1254.478,0.26678166000000003,104,3420.365,0.72738696,100,396.328,0.0842845,1,2740.293,0.5827604000000002,66,45.364,0.00964727,1,1001.63,0.213011,1,455340.2780000004,96.83428215500001,1139,resnet101-v1-7.onnx
429336.59900000016,91.45629200000002,104,8840.312000000002,1.8831431079999996,346,1411.346,0.30064173000000005,104,6439.377000000007,1.3717012800000012,312,1308.6309999999996,0.2787615599999999,104,3447.8529999999982,0.7344537199999999,100,398.114,0.0848053,1,2782.4750000000004,0.5927160800000001,66,49.893,0.0106281,1,1013.11,0.21581,1,455027.71,96.92895287800012,1139,resnet101-v1-7.onnx
455721.261,91.530184,104,9322.751999999993,1.8724454760000002,346,1449.5319999999995,0.29113391,104,6741.140000000005,1.3539366399999995,312,1454.952,0.2922225999999999,104,3607.9859999999985,0.7246526700000001,100,417.273,0.083808,1,2929.9519999999998,0.5884714699999999,66,52.711,0.0105868,1,1009.94,0.202843,1,482707.4990000002,96.95028456600004,1139,resnet101-v1-7.onnx
450026.532,91.19082,104,9578.699000000002,1.940973492999999,346,1437.4430000000004,0.29127524000000005,104,7634.130000000005,1.5469364799999996,312,1357.9380000000003,0.27516491000000004,104,3651.0929999999985,0.73983684,100,415.306,0.0841553,1,3047.693999999999,0.6175674899999999,66,55.275,0.0112006,1,1041.69,0.211082,1,478245.7999999998,96.90901235299997,1139,resnet101-v1-7.onnx
440911.369,91.48012900000005,104,9202.748999999998,1.9093835150000003,346,1435.2090000000003,0.29777674999999987,104,6685.973000000001,1.3872037299999997,312,1330.7269999999999,0.2760987899999999,104,3515.5109999999986,0.72939702,100,400.625,0.0831216,1,2942.8210000000004,0.6105756,66,46.524,0.00965279,1,986.166,0.204609,1,467457.674,96.98794779500007,1139,resnet101-v1-7.onnx
aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,total_duration,total_percentage,total_count,label_model_name
440686.31499999994,90.87988799999998,104,10034.040000000005,2.069255569000001,346,1542.1820000000005,0.31803429000000016,104,7019.997999999998,1.447688990000001,312,1444.3400000000001,0.29785692999999996,104,3533.216999999999,0.7286325600000001,100,378.598,0.0780758,1,3284.2019999999998,0.6772801399999997,66,45.486,0.00938029,1,1079.04,0.222523,1,469047.418,96.72861556900016,1139,resnet101-v1-7.onnx
456537.3719999999,90.56090800000001,104,10880.09799999999,2.1582270479999996,346,1711.8340000000003,0.3395673999999999,104,7842.339999999998,1.5556431699999995,312,1754.2279999999996,0.3479768099999999,104,4036.4469999999997,0.80068815,100,410.057,0.0813408,1,3792.511999999999,0.7523002700000001,66,50.096,0.00993728,1,1030.92,0.204499,1,488045.90400000004,96.81108792799992,1139,resnet101-v1-7.onnx
521733.512,88.752408,104,15989.496000000003,2.7199849309999977,346,2118.0340000000006,0.3603003000000001,104,12319.392000000002,2.0956599799999998,312,2151.774999999999,0.36603990000000003,104,6005.270000000004,1.0215603599999998,100,487.433,0.0829176,1,6820.875000000002,1.1603033599999997,66,65.398,0.0111249,1,1112.45,0.189239,1,568803.6350000001,96.75953833099977,1139,resnet101-v1-7.onnx
477441.8590000001,91.20862300000002,104,10173.62100000001,1.9435283020000003,346,1601.524,0.3059487999999999,104,7598.550000000002,1.4515967599999995,312,1449.9319999999998,0.2769892899999999,104,4041.9320000000002,0.7721546900000001,100,411.023,0.0785202,1,3365.226000000001,0.6428793199999998,66,91.414,0.0174634,1,1481.24,0.28297,1,507656.3210000001,96.98067376200002,1139,resnet101-v1-7.onnx
