aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddaddnnrelu,aggregated_count_nnconv2dnnbiasaddaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
1629199.68,82.71360700000001,67.0,1969686.6670000004,99.99996228999997,107.0,1019.46,0.0517574,1.0,102351.73999999999,5.196349,4.0,234777.15999999997,11.919517999999998,33.0,152.747,0.00775489,1.0,2185.88,0.110976,1.0,resnet101.onnx
1617215.4499999997,82.49783300000001,67.0,1960313.1379999996,100.00001631999999,107.0,1023.34,0.0522028,1.0,102929.52,5.250662,4.0,236784.91999999995,12.078934000000002,33.0,153.738,0.00784252,1.0,2206.17,0.112542,1.0,resnet101.onnx
1622064.1799999997,82.70096000000001,67.0,1961360.534,99.99998362000001,107.0,1021.44,0.052078,1.0,101297.13,5.16463,4.0,234663.65,11.964329999999999,33.0,149.664,0.00763062,1.0,2164.47,0.110355,1.0,resnet101.onnx
1615648.2000000002,82.44735,67.0,1959611.897,99.99999869000001,107.0,1024.96,0.0523043,1.0,104399.68999999999,5.3275760000000005,4.0,236180.12000000005,12.052391000000002,33.0,152.877,0.00780139,1.0,2206.05,0.112576,1.0,resnet101.onnx
1616579.0199999998,82.532049,67.0,1958728.9000000001,99.99999884999995,107.0,1000.03,0.0510552,1.0,103287.84,5.273205,4.0,235522.52999999997,12.024251,33.0,139.2,0.00710665,1.0,2200.28,0.112332,1.0,resnet101.onnx
1624806.3299999998,82.68923799999999,67.0,1964955.3809999994,100.00002018999996,107.0,1022.33,0.052028,1.0,101802.51000000001,5.180915,4.0,234969.02000000005,11.957979999999997,33.0,152.111,0.00774119,1.0,2203.08,0.112118,1.0,resnet101.onnx
1618669.87,82.46557299999999,67.0,1962842.4389999993,99.99996209999999,107.0,1026.32,0.0522875,1.0,104095.17,5.3032829999999995,4.0,236690.97,12.058579,33.0,155.469,0.0079206,1.0,2204.64,0.112319,1.0,resnet101.onnx
1608185.6800000002,82.521671,67.0,1948803.923,100.00000033,107.0,1025.41,0.0526176,1.0,101872.12,5.227419,4.0,235368.15000000002,12.077574,33.0,152.703,0.00783573,1.0,2199.86,0.112883,1.0,resnet101.onnx
1626409.6599999997,82.652746,67.0,1967761.7199999997,99.99996126000003,107.0,1023.21,0.0519984,1.0,102437.93000000001,5.205803,4.0,235557.44000000006,11.970828000000001,33.0,139.0,0.00706386,1.0,2194.48,0.111522,1.0,resnet101.onnx
1625884.9100000001,82.59309400000001,67.0,1968547.6020000002,99.99997185000001,107.0,1016.52,0.051638,1.0,103207.76,5.242836,4.0,236077.42000000004,11.992468000000004,33.0,155.532,0.00790085,1.0,2205.46,0.112035,1.0,resnet101.onnx
1625469.65,82.6052,67.0,1967756.5570000003,99.99998170000006,107.0,1024.39,0.0520588,1.0,102964.07,5.232564,4.0,235935.24000000002,11.990061999999998,33.0,156.297,0.0079429,1.0,2206.91,0.112154,1.0,resnet101.onnx
1612889.08,82.447486,67.0,1956263.7060000002,100.00005157000002,107.0,1019.38,0.0521088,1.0,104086.53,5.320672,4.0,235915.41999999995,12.059488999999996,33.0,153.836,0.00786377,1.0,2199.46,0.112432,1.0,resnet101.onnx
1626988.58,82.59116300000002,67.0,1969930.0489999999,99.99998376000009,107.0,1023.96,0.0519797,1.0,103383.31,5.24808,4.0,236186.18,11.989567999999997,33.0,161.299,0.00818806,1.0,2186.72,0.111005,1.0,resnet101.onnx
1618270.32,82.55964400000003,67.0,1960122.8900000001,100.00001218,107.0,1030.42,0.052569,1.0,101584.76000000001,5.182572,4.0,236891.07,12.085524000000001,33.0,155.99,0.00795818,1.0,2190.33,0.111745,1.0,resnet101.onnx
1626506.8400000005,82.59893299999997,67.0,1969162.9479999999,100.00003166999997,107.0,1024.31,0.0520173,1.0,103604.47,5.261336,4.0,235671.51999999996,11.968110000000001,33.0,150.668,0.00765137,1.0,2205.14,0.111984,1.0,resnet101.onnx
1620356.06,82.62251899999998,67.0,1961156.927,100.00005248000001,107.0,1022.95,0.0521606,1.0,102376.29999999999,5.220196,4.0,235039.93999999997,11.984753999999999,33.0,154.027,0.00785388,1.0,2207.65,0.112569,1.0,resnet101.onnx
1622837.7,82.54089700000004,67.0,1966101.2879999997,100.00000049000008,107.0,1023.19,0.0520414,1.0,103086.34,5.24319,4.0,236808.69,12.044582,33.0,141.738,0.00720909,1.0,2203.63,0.112081,1.0,resnet101.onnx
1619200.8599999999,82.51713099999999,67.0,1962260.1150000007,99.99998988999997,107.0,1015.49,0.0517509,1.0,103176.68000000001,5.258053,4.0,236502.30000000002,12.052542,33.0,152.075,0.00774999,1.0,2212.71,0.112763,1.0,resnet101.onnx
1628766.16,82.56167500000004,67.0,1972787.0800000003,99.99998812000003,107.0,1018.8,0.0516424,1.0,103495.83000000002,5.246174,4.0,237139.00999999998,12.020500000000002,33.0,154.74,0.00784372,1.0,2212.54,0.112153,1.0,resnet101.onnx
1613848.83,82.47371799999999,67.0,1956804.5149999997,100.00002682000003,107.0,1023.53,0.0523063,1.0,103072.55,5.267390000000001,4.0,236591.40000000002,12.090698999999997,33.0,147.025,0.00751352,1.0,2121.18,0.1084,1.0,resnet101.onnx
1621413.9899999995,82.583602,67.0,1963361.4849999999,100.00001933,107.0,1020.45,0.0519747,1.0,103235.17000000001,5.258078,4.0,235330.69999999998,11.986103,33.0,156.355,0.00796363,1.0,2204.82,0.112298,1.0,resnet101.onnx
1619705.14,82.54708000000001,67.0,1962160.1600000004,100.00003762999995,107.0,1023.5,0.0521617,1.0,102784.70000000001,5.238347,4.0,236274.51,12.041546000000002,33.0,158.6,0.00808293,1.0,2213.71,0.11282,1.0,resnet101.onnx
1623988.6400000001,82.54293000000001,67.0,1967446.7589999994,99.99997049999998,107.0,1020.5,0.051869,1.0,103330.04000000001,5.25198,4.0,236755.12999999998,12.033623,33.0,152.369,0.0077445,1.0,2200.08,0.111824,1.0,resnet101.onnx
1613413.7499999998,82.56185900000001,67.0,1954187.9330000002,100.00001728000002,107.0,1025.53,0.0524786,1.0,101352.1,5.1864099999999995,4.0,236040.73,12.078716999999996,33.0,157.853,0.00807768,1.0,2197.97,0.112475,1.0,resnet101.onnx
