aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
55846.751,81.72270300000001,56.0,68336.872,99.99998919000002,211.0,2800.8489999999997,4.098594800000001,56.0,2051.9059999999995,3.0026354999999993,37.0,386.812,0.566037,1.0,1235.3790000000001,1.8077800999999996,16.0,1908.4080000000001,2.7926489,16.0,904.7090000000001,1.3238966000000003,26.0,79.569,0.116436,1.0,3118.91,4.56402,1.0,3.579,0.00523729,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55993.26600000002,81.86534399999996,56.0,68396.80900000002,100.00003598,211.0,2794.1589999999983,4.0852189,56.0,1957.1750000000004,2.8615010999999995,37.0,378.859,0.553913,1.0,1246.1090000000002,1.8218818,16.0,1908.5049999999999,2.7903423,16.0,907.504,1.3268223000000001,26.0,81.637,0.119358,1.0,3125.96,4.57034,1.0,3.635,0.00531458,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55788.337000000014,81.676945,56.0,68303.63200000001,99.99999426000004,211.0,2807.6259999999993,4.1105113,56.0,2051.182,3.0030377000000006,37.0,382.769,0.560394,1.0,1245.71,1.8237845000000004,16.0,1907.663,2.7929184,16.0,891.4939999999999,1.3051936999999998,26.0,80.289,0.117547,1.0,3144.38,4.60354,1.0,4.182,0.00612266,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55725.174999999996,81.69712599999998,56.0,68209.467,100.00000856000001,211.0,2794.764,4.0973283,56.0,2056.592,3.015115000000001,37.0,387.247,0.567732,1.0,1226.5459999999996,1.7982058,16.0,1909.4360000000001,2.7993739,16.0,898.1279999999997,1.3167213999999998,26.0,82.624,0.121133,1.0,3125.29,4.5819,1.0,3.665,0.00537316,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55861.71099999999,81.83255299999999,56.0,68263.49900000004,100.00005857000004,211.0,2790.4519999999993,4.087762299999999,56.0,2045.4779999999998,2.9964415,37.0,385.478,0.564691,1.0,1234.976,1.8091302,16.0,1908.1640000000002,2.7952902000000006,16.0,914.2330000000002,1.3392698999999997,26.0,79.331,0.116213,1.0,3039.5,4.45259,1.0,4.176,0.00611747,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
