aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
376207.538,94.671592,26.0,397381.627,99.99999101000002,90.0,7052.248,1.7746773699999998,26.0,6810.112999999999,1.7137469400000003,26.0,2734.7830000000004,0.6881999999999999,3.0,4387.276,1.1040450000000002,8.0,189.669,0.0477297,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
373564.977,94.65017900000001,26.0,394679.39800000004,99.99994018,90.0,7018.178000000001,1.7781978600000006,26.0,6735.469,1.70656542,26.0,2731.7650000000003,0.6921470000000001,3.0,4436.580000000001,1.1240951,8.0,192.429,0.0487558,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
376949.906,94.67387,26.0,398156.0629999999,99.99996643999998,90.0,6974.012,1.7515796100000005,26.0,6862.2519999999995,1.7235105300000002,26.0,2739.964,0.688163,3.0,4438.487,1.1147611000000002,8.0,191.442,0.0480822,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
371520.569,94.65208299999999,26.0,392511.66799999995,99.99997507999998,90.0,6893.802,1.75633132,26.0,6829.290000000001,1.7398955600000003,26.0,2683.652,0.6837110000000001,3.0,4391.94,1.1189327,8.0,192.415,0.0490215,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
377295.79500000004,94.718025,26.0,398335.803,99.99999552,90.0,6887.919,1.7291729,26.0,6826.313,1.7137058199999997,26.0,2693.221,0.676117,3.0,4438.043000000001,1.1141437,8.0,194.512,0.0488311,1.0,squeezenet1_0.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_0.onnx
