aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
328043.453,98.727411,26.0,332271.997,100.0000251,38.0,1747.559,0.5259415,3.0,2288.1969999999997,0.6886515,8.0,192.788,0.0580211,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
324389.993,98.718188,26.0,328602.015,99.99998829999998,38.0,1726.358,0.5253646000000001,3.0,2294.8990000000003,0.6983822000000002,8.0,190.765,0.0580535,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
330785.608,98.73946699999999,26.0,335008.353,99.99995569999999,38.0,1750.95,0.5226580000000001,3.0,2283.099,0.6815049,8.0,188.696,0.0563258,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
322471.89400000003,98.704362,26.0,326704.77400000003,99.9999899,38.0,1763.755,0.5398606,3.0,2279.49,0.6977225,8.0,189.635,0.0580448,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
329368.55500000005,98.73763600000001,26.0,333579.44,99.99997130000001,38.0,1747.1390000000001,0.5237562,3.0,2276.798,0.682536,8.0,186.948,0.0560431,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
326641.452,98.71960100000001,26.0,330877.901,99.9999691,38.0,1757.433,0.5311429,3.0,2290.7630000000004,0.6923301,8.0,188.253,0.0568951,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
330163.67000000004,98.73483800000001,26.0,334394.41500000004,100.00003070000001,38.0,1753.572,0.5244006999999999,3.0,2288.2500000000005,0.684295,8.0,188.923,0.056497,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
324230.652,98.71201099999999,26.0,328461.253,100.000017,38.0,1760.256,0.5359097,3.0,2278.33,0.6936373000000001,8.0,192.015,0.058459,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
329626.779,98.73226299999999,26.0,333859.124,99.9999662,38.0,1749.084,0.5238986000000001,3.0,2293.309,0.6869087999999999,8.0,189.952,0.0568958,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
327535.18299999996,98.73998700000001,26.0,331714.64700000006,99.99994330000001,38.0,1764.08,0.5318058,3.0,2221.718,0.6697672,8.0,193.666,0.0583833,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
328881.76900000003,98.75306,26.0,333034.646,100.0000416,38.0,1750.101,0.5255024,3.0,2242.7870000000003,0.6734394,8.0,159.989,0.0480398,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
326719.47500000003,98.72473000000001,26.0,330939.841,99.9999992,38.0,1757.1149999999998,0.5309484,3.0,2289.6650000000004,0.6918683,8.0,173.586,0.0524525,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
328333.676,98.73776699999999,26.0,332531.116,100.00003689999998,38.0,1753.1390000000001,0.5272106,3.0,2282.547,0.686416,8.0,161.754,0.0486433,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
326645.56299999997,98.789773,26.0,330647.183,100.00001230000001,38.0,1748.102,0.5286919999999999,3.0,2062.992,0.6239252,8.0,190.526,0.0576221,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
327808.462,98.73282199999998,26.0,332015.855,100.00004579999998,38.0,1752.452,0.5278206,3.0,2265.6189999999997,0.6823813,8.0,189.322,0.0570219,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
327966.46400000004,98.726201,26.0,332198.05,100.00001519999999,38.0,1758.811,0.5294471000000001,3.0,2285.0339999999997,0.6878523999999999,8.0,187.741,0.0565147,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
331617.355,98.74803299999999,26.0,335821.626,99.99996789999999,38.0,1750.393,0.5212261,3.0,2263.5009999999997,0.6740189,8.0,190.377,0.0566899,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
321323.25500000006,98.700523,26.0,325553.6050000001,99.9999583,38.0,1757.924,0.5399813,3.0,2285.85,0.7021435,8.0,186.576,0.0573105,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
329009.928,98.729778,26.0,333242.95,100.00002869999999,38.0,1750.713,0.5253556,3.0,2293.536,0.6882478000000001,8.0,188.773,0.0566473,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
322057.46900000004,98.71966700000002,26.0,326234.558,100.00005850000001,38.0,1748.4969999999998,0.5359616,3.0,2238.262,0.6860885,8.0,190.33,0.0583414,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,38.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
