aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
1006300.0,27.86171,8.0,3611762.096,99.99995170700001,38.0,13264.757,0.36726555000000005,8.0,13259.921999999999,0.36713147499999993,10.0,5164.666,0.14299544,5.0,43.14,0.00119443,1.0,2573705.13,71.258977,3.0,24.481,0.0006778120000000001,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1019877.0,27.9761,8.0,3645534.372,100.000023425,38.0,13373.783,0.36685339000000006,8.0,13228.483999999999,0.362868465,10.0,5008.381,0.13738425999999998,5.0,45.09,0.00123686,1.0,2593977.63,71.154922,3.0,24.003999999999998,0.00065845,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1013447.9,27.879360000000002,8.0,3635122.6499999994,100.00003027300001,38.0,13378.027,0.36802217000000004,8.0,13056.105,0.35916571799999997,10.0,5159.706,0.14194051,5.0,42.772,0.00117663,1.0,2590014.83,71.249724,3.0,23.31,0.0006412449999999999,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1007535.2999999999,27.74743,8.0,3631086.7210000004,99.99999427799997,38.0,13278.612,0.36569212000000006,8.0,13225.873,0.36424028399999997,10.0,5150.165999999999,0.14183525,5.0,42.59,0.00117293,1.0,2591831.17,71.37899,3.0,23.01,0.000633694,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1017544.7999999999,28.01613,8.0,3631995.174000001,99.99995649500002,38.0,13015.898,0.35836714,8.0,13078.741000000002,0.36009785199999994,10.0,5166.262000000001,0.14224297,5.0,45.397,0.00124992,1.0,2583120.7,71.12122500000001,3.0,23.375999999999998,0.000643613,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1005495.5,27.71392,8.0,3628131.772,100.00004746199998,38.0,13442.008000000002,0.37049455000000003,8.0,13268.404999999999,0.365709151,10.0,5190.095,0.14305154,5.0,43.018,0.00118568,1.0,2590667.91,71.405002,3.0,24.836000000000002,0.000684541,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1012976.1,27.85014,8.0,3637237.1239999994,100.000016001,38.0,13287.358,0.36531452,8.0,13428.810999999998,0.36920330399999995,10.0,5178.131,0.14236437999999998,5.0,44.072,0.00121169,1.0,2592296.46,71.271062,3.0,26.192,0.0007201070000000001,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1010246.2999999999,27.948339999999998,8.0,3614689.2309999997,99.99998908799999,38.0,13320.268,0.36850415999999997,8.0,13141.117,0.36354744399999994,10.0,5164.268,0.14286903,5.0,44.256,0.00122434,1.0,2572749.92,71.174865,3.0,23.102,0.0006391140000000001,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1006649.7999999999,28.26313,8.0,3561703.1089999997,99.999941545,38.0,13262.188000000002,0.37235480000000004,8.0,13371.666,0.375428402,10.0,5148.764999999999,0.14455906999999998,5.0,43.609,0.00122439,1.0,2523202.83,70.84256400000001,3.0,24.250999999999998,0.000680883,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1010587.2999999999,27.998350000000002,8.0,3609454.256,99.99998462299999,38.0,13221.778999999999,0.36630986,8.0,13199.151000000002,0.36568301200000003,10.0,5156.465,0.14286011,5.0,43.098,0.00119403,1.0,2567223.16,71.12494199999999,3.0,23.303,0.000645611,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1005933.4,27.88484,8.0,3607454.329,99.999969777,38.0,13300.461,0.36869291000000004,8.0,13292.919,0.368484125,10.0,5162.742,0.1431129,5.0,42.808,0.00118665,1.0,2569697.75,71.23298100000001,3.0,24.249,0.0006721920000000001,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1013276.6,27.956409999999998,8.0,3624487.8989999997,100.00004136999999,38.0,13460.000999999998,0.37136278000000006,8.0,13210.577000000003,0.36448113100000007,10.0,4993.3640000000005,0.13776739999999998,5.0,46.5,0.00128294,1.0,2579475.88,71.168048,3.0,24.977,0.000689119,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1015387.7,28.02753,8.0,3622817.3920000005,100.00002700399999,38.0,13413.275000000001,0.37024355,8.0,13180.949000000002,0.36383072200000005,10.0,5006.281000000001,0.13818728,5.0,42.803,0.00118148,1.0,2575761.46,71.09836599999998,3.0,24.924,0.000687972,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
1014356.9,28.048339999999996,8.0,3616453.6969999997,99.999996983,38.0,13163.073999999999,0.36397688000000006,8.0,13454.804000000002,0.37204410200000004,10.0,5163.390999999999,0.14277494,5.0,42.334,0.00117059,1.0,2570249.67,71.07104000000001,3.0,23.524,0.000650471,3.0,vgg11_bn.onnx
0.0,nan,8.0,0.0,nan,38.0,0.0,nan,8.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg11_bn.onnx
