aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
2044193.5000000002,43.84167,13.0,4662671.223999999,100.00004800800002,22.0,5221.117,0.11197697,5.0,44.437,0.000953038,1.0,2606816.0,55.90827,2.0,6396.17,0.137178,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
2050628.7000000002,43.914530000000006,13.0,4669587.308,100.00003777000002,22.0,5353.865000000001,0.11465395,5.0,44.913,0.00096182,1.0,2607027.0,55.82999,2.0,6532.83,0.139902,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
2001571.0,43.339929999999995,13.0,4618307.414000001,99.999954005,22.0,5129.035000000001,0.11105864,5.0,45.969,0.000995365,1.0,2605045.0,56.40687,2.0,6516.41,0.1411,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
1994028.0000000002,43.381699999999995,13.0,4596474.512,100.00001767999998,22.0,5350.532,0.11640529000000001,5.0,44.19,0.00096139,1.0,2590539.0,56.35926,2.0,6512.79,0.141691,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
2038530.1,43.65953999999999,13.0,4669151.723,99.99995349,22.0,5348.001,0.1145391,5.0,44.702,0.00095739,1.0,2618717.0,56.08545,2.0,6511.92,0.139467,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
2057164.9000000001,43.98045,13.0,4677458.904,100.00002809599998,22.0,5356.174,0.11451059999999999,5.0,46.33,0.000990496,1.0,2608404.0,55.76538,2.0,6487.5,0.138697,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
2026273.2,43.59166000000001,13.0,4648299.563,99.99998201300001,22.0,5175.998999999999,0.11135237,5.0,46.234,0.000994643,1.0,2610247.0,56.15491,2.0,6557.13,0.141065,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
2028885.7,43.60325,13.0,4653053.869,100.000017732,22.0,5233.706,0.11247875,5.0,45.413,0.000975982,1.0,2612376.0,56.143339999999995,2.0,6513.05,0.139973,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
2056641.2999999998,44.11403,13.0,4662100.339000001,99.999968514,22.0,5356.879,0.11490271,5.0,45.12,0.000967804,1.0,2593505.0,55.62953,2.0,6552.04,0.140538,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
2052648.9999999998,43.89872,13.0,4675874.971,100.00005487799999,22.0,5361.807999999999,0.11466972,5.0,43.493,0.000930158,1.0,2611256.0,55.84534,2.0,6564.67,0.140395,1.0,vgg16.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
2013901.7,43.95261000000001,13.0,4581985.292,100.000021254,22.0,5265.38,0.11491467,5.0,44.472,0.000970584,1.0,2556251.0,55.789170000000006,2.0,6522.74,0.142356,1.0,vgg16.onnx
