aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
2537044.9000000004,48.85402999999999,16.0,5193113.139000001,99.9999762561,62.0,26757.448,0.51524941,16.0,25964.016,0.499970464,18.0,5096.104,0.098132,5.0,41.449,0.000798153,1.0,2598183.66,50.031304,3.0,25.562,0.0004922291,3.0,vgg19.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19.onnx
2542059.8,49.10889000000001,16.0,5176371.486,100.00000926690002,62.0,26707.16,0.5159432199999999,16.0,25825.712000000007,0.49891505599999997,18.0,5169.523,0.09986745999999999,5.0,43.033,0.000831334,1.0,2576542.54,49.775104,3.0,23.718,0.0004581969,3.0,vgg19.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19.onnx
2533445.6,48.888470000000005,16.0,5182096.553999998,100.00002487230002,62.0,26341.686,0.5083213999999999,16.0,26306.670000000002,0.507645506,18.0,5164.606000000001,0.09966260999999998,5.0,43.226,0.000834142,1.0,2590770.71,49.994627,3.0,24.055999999999997,0.00046421429999999995,3.0,vgg19.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19.onnx
2545411.0000000005,48.84519,16.0,5211183.438,100.00002866429998,62.0,26560.717999999997,0.50968688,16.0,26437.897000000004,0.507330253,18.0,5179.09,0.09938419,5.0,42.414,0.000813904,1.0,2607527.96,50.037156,3.0,24.358999999999998,0.0004674373,3.0,vgg19.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19.onnx
2541281.9000000004,48.86835000000001,16.0,5200258.926,99.99998662840002,62.0,26459.824,0.50881725,16.0,26795.315000000002,0.51526778,18.0,4983.3240000000005,0.09582848999999999,5.0,42.443,0.00081617,1.0,2600672.67,50.010456,3.0,23.45,0.0004509384,3.0,vgg19.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19.onnx
