aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
8896336.519999998,98.98940710000002,104.0,8987165.484999996,100.00005941930002,345.0,34233.51599999999,0.380915652,104.0,30750.192,0.34215698299999997,100.0,1022.54,0.0113778,1.0,22433.09700000001,0.2496126243,34.0,153.74,0.00171066,1.0,2235.88,0.0248786,1.0,wide_resnet101_2.onnx
8905304.870000001,98.99005119999997,104.0,8996165.387,100.00004226610005,345.0,34337.937000000005,0.38169495799999986,104.0,30629.720000000016,0.340475034,100.0,1023.58,0.011378,1.0,22481.266,0.2498983141,34.0,148.424,0.00164986,1.0,2239.59,0.0248949,1.0,wide_resnet101_2.onnx
9305565.840000002,99.03244790000001,104.0,9396481.349999998,99.99999617380004,345.0,34422.82700000001,0.36633744600000007,104.0,30611.446,0.3257755079999999,100.0,1020.93,0.010865,1.0,22478.359999999993,0.23922102979999998,34.0,151.527,0.00161259,1.0,2230.42,0.0237367,1.0,wide_resnet101_2.onnx
9195778.910000002,99.02141470000002,104.0,9286660.286000006,100.00003744590002,345.0,34041.45400000001,0.3665628050000003,104.0,30846.152,0.3321554999999998,100.0,1023.54,0.0110216,1.0,22578.372,0.2431269108999999,34.0,148.868,0.00160303,1.0,2242.99,0.0241529,1.0,wide_resnet101_2.onnx
8904910.189999996,98.987769,104.0,8995965.25299999,99.99994581899995,345.0,34180.435,0.3799528159999999,104.0,30896.686999999998,0.34345052200000004,100.0,1025.09,0.011395,1.0,22564.805999999993,0.2508326709999999,34.0,153.805,0.00170971,1.0,2234.24,0.0248361,1.0,wide_resnet101_2.onnx
8884561.270000001,98.98603619999997,104.0,8975571.19000001,100.00000994059994,345.0,34487.31299999999,0.38423539700000003,104.0,30850.63600000001,0.34371764400000027,100.0,1028.64,0.0114605,1.0,22248.203999999987,0.24787521960000003,34.0,152.287,0.00169668,1.0,2242.84,0.0249883,1.0,wide_resnet101_2.onnx
9296637.620000001,99.02805979999991,104.0,9387888.848000007,100.00006986919988,345.0,34332.95900000001,0.36571553899999987,104.0,30770.944,0.32777287800000005,100.0,1024.05,0.0109082,1.0,22724.262,0.2420591222,34.0,156.133,0.00166313,1.0,2242.88,0.0238912,1.0,wide_resnet101_2.onnx
9183193.860000001,99.01913160000005,104.0,9274164.068,100.0000308972,345.0,34250.367,0.3693095439999999,104.0,30736.769999999993,0.331423619,100.0,1024.97,0.0110519,1.0,22566.296000000006,0.24332426419999997,34.0,153.605,0.00165627,1.0,2238.2,0.0241337,1.0,wide_resnet101_2.onnx
8905629.3,98.9891987,104.0,8996571.887999993,100.00005668659998,345.0,34136.12000000002,0.3794347569999997,104.0,30879.671000000002,0.3432381200000001,100.0,1024.74,0.0113904,1.0,22514.212999999992,0.2502530496,34.0,146.964,0.00163356,1.0,2240.88,0.0249081,1.0,wide_resnet101_2.onnx
8886618.07,98.98806529999997,104.0,8977463.275000008,99.99998969589994,345.0,34371.248000000014,0.38286129800000007,104.0,30724.823000000008,0.34224359,100.0,1023.32,0.0113988,1.0,22322.034999999996,0.2486450579000001,34.0,154.659,0.00172275,1.0,2249.12,0.0250529,1.0,wide_resnet101_2.onnx
9316685.500000006,99.0303335,104.0,9407911.172000002,100.00000300989986,345.0,34433.92300000001,0.366010227,104.0,30918.540000000015,0.32864398800000016,100.0,1021.38,0.0108566,1.0,22471.540999999997,0.23885779489999995,34.0,150.508,0.0015998,1.0,2229.78,0.0237011,1.0,wide_resnet101_2.onnx
9187829.059999999,99.01822980000003,104.0,9278930.778999995,100.00004196169998,345.0,34316.597,0.3698333419999999,104.0,30843.136999999988,0.3323996440000001,100.0,1019.61,0.0109884,1.0,22531.301000000003,0.24282196569999998,34.0,139.064,0.00149871,1.0,2252.01,0.0242701,1.0,wide_resnet101_2.onnx
8911863.920000006,98.99099920000002,104.0,9002698.633,99.99997109910005,345.0,34185.921,0.3797295669999999,104.0,30630.324999999997,0.34023488399999985,100.0,1024.74,0.0113826,1.0,22613.59400000001,0.2511869081,34.0,151.123,0.00167864,1.0,2229.01,0.0247593,1.0,wide_resnet101_2.onnx
8876344.689999996,98.9868877,104.0,8967200.005999995,100.00008380989992,345.0,34277.755999999994,0.38225710899999993,104.0,30828.490000000005,0.3437917350000002,100.0,1029.16,0.011477,1.0,22345.061,0.2491865259,34.0,152.679,0.00170264,1.0,2222.17,0.0247811,1.0,wide_resnet101_2.onnx
9296497.420000002,99.02917589999991,104.0,9387632.636999996,99.99997676689986,345.0,34416.15,0.36661166199999995,104.0,30644.360000000022,0.32643325600000006,100.0,1020.24,0.0108679,1.0,22664.405,0.24142835890000003,34.0,155.092,0.00165209,1.0,2234.97,0.0238076,1.0,wide_resnet101_2.onnx
9202695.919999996,99.01986790000001,104.0,9293785.568999998,99.9999818204999,345.0,34435.03899999999,0.3705170709999999,104.0,30563.804999999997,0.32886284900000007,100.0,1022.48,0.0110018,1.0,22681.891999999996,0.24405449049999997,34.0,154.603,0.00166351,1.0,2231.83,0.0240142,1.0,wide_resnet101_2.onnx
8889936.320000002,98.98262260000001,104.0,8981313.785000006,100.00003992039998,345.0,34282.23900000001,0.38170612400000015,104.0,30899.052000000007,0.34403700099999995,100.0,1026.24,0.0114264,1.0,22783.454,0.2536762254,34.0,151.0,0.00168127,1.0,2235.48,0.0248903,1.0,wide_resnet101_2.onnx
8879579.809999997,98.97245260000001,104.0,8971768.350999994,99.9999930389001,345.0,34744.68400000001,0.38726666099999985,104.0,31112.470999999998,0.34678196699999997,100.0,1021.25,0.011383,1.0,22976.518000000004,0.2560980509,34.0,153.288,0.00170856,1.0,2180.33,0.0243022,1.0,wide_resnet101_2.onnx
9302848.940000003,99.02865359999994,104.0,9394087.183000006,99.99988447379992,345.0,34414.236000000004,0.36633943299999994,104.0,30871.498000000003,0.3286270889999999,100.0,1034.31,0.0110103,1.0,22585.824999999993,0.2404259418,34.0,152.664,0.00162511,1.0,2179.71,0.023203,1.0,wide_resnet101_2.onnx
9200983.170000002,99.02111440000002,104.0,9291943.269000001,100.0000278670001,345.0,34239.083999999995,0.3684814600000001,104.0,30711.437,0.33051683299999995,100.0,1018.91,0.0109655,1.0,22607.280999999995,0.24329970400000003,34.0,151.567,0.00163117,1.0,2231.82,0.0240188,1.0,wide_resnet101_2.onnx
8903698.370000001,98.99218389999997,104.0,8994350.562999994,100.0000635505999,345.0,34142.035,0.3795943900000001,104.0,30740.87700000001,0.3417799480000002,100.0,1020.58,0.0113469,1.0,22360.03,0.24860088260000004,34.0,148.661,0.00165283,1.0,2240.01,0.0249047,1.0,wide_resnet101_2.onnx
8882824.580000002,98.98549409999997,104.0,8973868.529000005,100.00003929919997,345.0,34333.45299999999,0.382593723,104.0,30861.938000000013,0.3439090139999999,100.0,1023.08,0.0114006,1.0,22442.919999999995,0.2500919022,34.0,152.938,0.00170426,1.0,2229.62,0.0248457,1.0,wide_resnet101_2.onnx
9311711.1,99.03205590000002,104.0,9402720.301000003,99.99995873790007,345.0,34239.404999999984,0.364143663,104.0,30810.428,0.32767568,100.0,1024.28,0.0108934,1.0,22548.023000000005,0.2398031849,34.0,150.595,0.00160161,1.0,2236.47,0.0237853,1.0,wide_resnet101_2.onnx
9185361.159999998,99.01526579999998,104.0,9276708.184999995,99.99995743459996,345.0,34386.56099999999,0.37067608299999993,104.0,30936.359000000008,0.333484173,100.0,1022.58,0.0110231,1.0,22627.104000000003,0.2439128285999999,34.0,137.931,0.00148685,1.0,2236.49,0.0241086,1.0,wide_resnet101_2.onnx
8914266.68,98.98902720000004,104.0,9005310.404000007,100.00002751980001,345.0,34397.88299999999,0.3819732400000001,104.0,30691.797000000013,0.34081881899999994,100.0,1020.68,0.0113342,1.0,22535.46,0.25024644079999997,34.0,153.894,0.00170892,1.0,2244.01,0.0249187,1.0,wide_resnet101_2.onnx
8880099.430000003,98.98328299999999,104.0,8971306.719000006,99.9999386482,345.0,34409.109000000004,0.38354625500000006,104.0,30744.39900000001,0.34269706800000016,100.0,1023.42,0.0114077,1.0,22648.334000000003,0.2524529952,34.0,154.157,0.00171833,1.0,2227.87,0.0248333,1.0,wide_resnet101_2.onnx
9301732.899999999,99.03104829999998,104.0,9392743.975999998,99.99999926789997,345.0,34273.115,0.3648892990000001,104.0,30574.871999999996,0.32551600199999986,100.0,1024.32,0.0109055,1.0,22748.221,0.24218916689999997,34.0,153.618,0.0016355,1.0,2236.93,0.0238155,1.0,wide_resnet101_2.onnx
9200797.430000002,99.020284,104.0,9291832.842000002,100.00001972290002,345.0,34280.215000000004,0.3689285119999999,104.0,30955.338000000003,0.333145585,100.0,1018.44,0.0109606,1.0,22400.315999999995,0.24107530589999998,34.0,154.553,0.00166332,1.0,2226.55,0.0239624,1.0,wide_resnet101_2.onnx
8895285.979999997,98.98913740000002,104.0,8986117.447000008,99.99993543760003,345.0,34313.43399999999,0.3818496080000001,104.0,30856.857999999997,0.3433837840000001,100.0,1018.88,0.0113383,1.0,22255.710000000006,0.2476678256,34.0,149.845,0.00166752,1.0,2236.74,0.024891,1.0,wide_resnet101_2.onnx
8886450.850000001,98.98787539999994,104.0,8977313.714999996,100.0000139517999,345.0,34338.14500000001,0.38249906200000006,104.0,30916.407999999996,0.3443836559999998,100.0,1023.58,0.0114018,1.0,22207.133,0.2473694638,34.0,150.439,0.00167577,1.0,2227.16,0.0248088,1.0,wide_resnet101_2.onnx
9316734.279999996,99.03269049999999,104.0,9407737.196000002,100.0000104994,345.0,34363.183999999994,0.36526523800000016,104.0,30791.621999999992,0.32730097599999997,100.0,1030.84,0.0109574,1.0,22435.357000000004,0.2384777154,34.0,150.963,0.00160467,1.0,2230.95,0.023714,1.0,wide_resnet101_2.onnx
