aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddaddnnrelu,aggregated_count_nnconv2dnnbiasaddaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
7284310.390000001,95.38167369999998,33.0,7637020.076000001,100.00009217999997,56.0,1020.6,0.0133639,1.0,115000.04999999999,1.505823,4.0,234294.4,3.067876,16.0,149.646,0.00195948,1.0,2244.99,0.0293961,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7209700.47,95.36639299999999,33.0,7559998.704,99.9999708,56.0,1021.7,0.0135146,1.0,113392.8,1.4999060000000002,4.0,233486.6,3.0884490000000007,16.0,151.064,0.0019982,1.0,2246.07,0.02971,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7266575.26,95.36316839999995,33.0,7619897.8610000005,100.00000853999995,56.0,1014.27,0.0133109,1.0,114770.68,1.506198,4.0,235142.40000000002,3.0858969999999997,16.0,150.001,0.00196854,1.0,2245.25,0.0294657,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7194374.599999999,95.33097060000001,33.0,7546740.0600000005,100.00007841000004,56.0,1015.12,0.0134512,1.0,112994.99999999999,1.4972690000000002,4.0,235969.69999999995,3.126776,16.0,154.49,0.00204711,1.0,2231.15,0.0295645,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7268214.840000001,95.3992369,33.0,7618743.510000003,100.00011152,56.0,1014.93,0.0133214,1.0,113006.89,1.483275,4.0,234105.10000000003,3.0727539999999998,16.0,148.43,0.00194822,1.0,2253.32,0.029576,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7206005.2700000005,95.33727680000001,33.0,7558434.064999999,100.00000086,56.0,1019.43,0.0134874,1.0,114379.70999999999,1.5132729999999999,4.0,234631.99999999997,3.104242,16.0,150.765,0.00199466,1.0,2246.89,0.029727,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7273347.29,95.36488910000001,33.0,7626853.772,99.99991288000002,56.0,1021.72,0.0133963,1.0,115308.98999999999,1.511881,4.0,234788.6,3.078447,16.0,152.002,0.00199298,1.0,2235.17,0.0293065,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7215240.730000002,95.3388738,33.0,7567997.469000003,100.00003568,56.0,1021.27,0.0134946,1.0,114004.22,1.506398,4.0,235332.40000000005,3.109572,16.0,151.389,0.00200038,1.0,2247.46,0.0296969,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7276966.15,95.41418820000003,33.0,7626716.764,100.00004934000002,56.0,1018.88,0.0133594,1.0,112068.76,1.469424,4.0,234257.6,3.071539,16.0,153.994,0.00201914,1.0,2251.38,0.0295196,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7202299.6000000015,95.34916329999999,33.0,7553606.334000002,100.00001213999997,56.0,997.933,0.0132113,1.0,112620.0,1.4909439999999998,4.0,235186.7,3.1135689999999996,16.0,142.751,0.00188984,1.0,2359.35,0.0312347,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7270647.17,95.38510430000002,33.0,7622413.92,100.00000521000001,56.0,1013.78,0.0133001,1.0,113127.04999999999,1.484137,4.0,235221.89999999997,3.0859250000000005,16.0,151.13,0.00198271,1.0,2252.89,0.0295561,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7204468.38,95.32029769999998,33.0,7558172.246000001,100.00005167999998,56.0,1024.58,0.013556,1.0,115069.23999999999,1.5224479999999998,4.0,235218.8,3.1121119999999998,16.0,148.796,0.00196868,1.0,2242.45,0.0296693,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7281117.099999998,95.4257686,33.0,7630139.381999999,100.00002897000005,56.0,1027.36,0.0134645,1.0,110711.54999999999,1.450977,4.0,234879.5,3.078313999999999,16.0,151.372,0.00198387,1.0,2252.5,0.029521,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7210285.709999999,95.3350728,33.0,7563096.8829999985,99.99997608000001,56.0,1019.85,0.0134845,1.0,114420.17000000001,1.512875,4.0,234975.1,3.1068629999999997,16.0,151.593,0.00200438,1.0,2244.46,0.0296764,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7271854.400000001,95.38626039999997,33.0,7623583.845000002,99.99995997,56.0,1017.13,0.0133419,1.0,113484.94,1.488603,4.0,234824.6,3.080237,16.0,153.735,0.00201657,1.0,2249.04,0.0295011,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7234651.509999999,95.35014629999998,33.0,7587460.616,100.00004079999997,56.0,1019.91,0.013442,1.0,113672.05,1.4981559999999998,4.0,235727.9,3.106807,16.0,151.886,0.0020018,1.0,2237.36,0.0294877,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7278265.61,95.4020736,33.0,7629041.324000001,99.99997519,56.0,1023.41,0.0134146,1.0,113283.19,1.4848940000000002,4.0,234069.40000000005,3.0681379999999994,16.0,152.664,0.00200109,1.0,2247.05,0.0294539,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7212760.380000001,95.3693831,33.0,7562970.383,99.99997329999998,56.0,1015.96,0.0134333,1.0,112675.67000000001,1.489834,4.0,234116.0,3.095558,16.0,153.823,0.0020339,1.0,2248.55,0.029731,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7300739.510000002,95.42422339999999,33.0,7650831.1790000005,100.00008938999999,56.0,1019.16,0.013321,1.0,111997.39000000001,1.463859,4.0,234677.5,3.0673480000000004,16.0,150.499,0.00196709,1.0,2247.12,0.0293709,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
7220728.509999999,95.33007130000001,33.0,7574457.072000001,100.00008855999998,56.0,1016.02,0.0134138,1.0,113979.04000000001,1.504781,4.0,236325.99999999997,3.1200379999999996,16.0,151.842,0.00200466,1.0,2255.66,0.0297798,1.0,wide_resnet50_2.onnx
0.0,nan,33.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,wide_resnet50_2.onnx
