aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
1098444.9329999997,90.8644999000001,168.0,1208881.6320000025,99.99994155599997,1204.0,8561.573999999999,0.7082225969999999,83.0,28825.352999999996,2.384463779000002,169.0,1023.44,0.0846604,1.0,25643.914999999997,2.1212920099999995,86.0,21941.715999999997,1.8150420970000014,259.0,256.35699999999997,0.021206124,86.0,21941.837,1.8150521099999997,258.0,251.82600000000008,0.020831319,86.0,1143.268,0.0945723,3.0,537.298,0.04444582,3.0,126.775,0.010487,1.0,183.34,0.0151661,1.0,densenet169.onnx
0.0,nan,168.0,0.0,nan,1204.0,0.0,nan,83.0,0.0,nan,169.0,0.0,nan,1.0,0.0,nan,86.0,0.0,nan,259.0,0.0,nan,86.0,0.0,nan,258.0,0.0,nan,86.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet169.onnx
1096192.3369999994,90.84527820000002,168.0,1206658.7869999995,100.00001275999995,1204.0,8519.077000000005,0.706005303,83.0,28593.786,2.369664382999999,169.0,1026.93,0.0851051,1.0,25609.66800000002,2.12236116,86.0,21964.330000000005,1.8202603080000008,259.0,253.09800000000004,0.020975108000000006,86.0,22184.258999999984,1.838486100000001,258.0,247.09599999999995,0.020477697999999996,86.0,1142.035,0.09464439999999999,3.0,616.694,0.0511076,3.0,124.351,0.0103054,1.0,185.126,0.015342,1.0,densenet169.onnx
0.0,nan,168.0,0.0,nan,1204.0,0.0,nan,83.0,0.0,nan,169.0,0.0,nan,1.0,0.0,nan,86.0,0.0,nan,259.0,0.0,nan,86.0,0.0,nan,258.0,0.0,nan,86.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet169.onnx
1092468.9900000002,90.80108530000005,168.0,1203145.8700000006,100.00004538599998,1204.0,8556.897000000006,0.7112105119999999,83.0,28942.049000000003,2.4055324929999995,169.0,1026.09,0.0852839,1.0,25376.423999999995,2.109173990000001,86.0,22022.429000000007,1.830403328,259.0,253.23899999999998,0.021048076999999995,86.0,22196.874999999964,1.8449030529999986,258.0,245.23499999999996,0.020382822999999998,86.0,1144.8690000000001,0.0951563,3.0,608.438,0.050570609999999995,3.0,122.059,0.010145,1.0,182.276,0.01515,1.0,densenet169.onnx
0.0,nan,168.0,0.0,nan,1204.0,0.0,nan,83.0,0.0,nan,169.0,0.0,nan,1.0,0.0,nan,86.0,0.0,nan,259.0,0.0,nan,86.0,0.0,nan,258.0,0.0,nan,86.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet169.onnx
1094885.16,90.82280950000003,168.0,1205518.2739999986,100.00003702100003,1204.0,8513.930000000006,0.7062463889999998,83.0,28937.017,2.400379894999999,169.0,1025.38,0.0850575,1.0,25430.004000000008,2.109467220000001,86.0,21928.924000000017,1.8190464449999986,259.0,254.64700000000005,0.021123448999999996,86.0,22235.572999999993,1.8444835960000008,258.0,249.12799999999996,0.020665636999999997,86.0,1137.818,0.0943841,3.0,611.905,0.05075869,3.0,128.562,0.0106645,1.0,180.226,0.0149501,1.0,densenet169.onnx
0.0,nan,168.0,0.0,nan,1204.0,0.0,nan,83.0,0.0,nan,169.0,0.0,nan,1.0,0.0,nan,86.0,0.0,nan,259.0,0.0,nan,86.0,0.0,nan,258.0,0.0,nan,86.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet169.onnx
1091793.4330000002,90.80359329999995,168.0,1202368.2490000022,100.00001181200017,1204.0,8604.771999999995,0.7156510979999995,83.0,28982.158999999992,2.410422803000001,169.0,1026.39,0.0853642,1.0,25573.034999999996,2.126888390000001,86.0,22023.659000000007,1.8316907590000002,259.0,254.53099999999998,0.021169135000000013,86.0,21798.521999999986,1.8129658380000009,258.0,246.78799999999998,0.020525158999999994,86.0,1140.993,0.0948955,3.0,612.593,0.050948929999999996,3.0,127.806,0.0106295,1.0,183.568,0.0152672,1.0,densenet169.onnx
0.0,nan,168.0,0.0,nan,1204.0,0.0,nan,83.0,0.0,nan,169.0,0.0,nan,1.0,0.0,nan,86.0,0.0,nan,259.0,0.0,nan,86.0,0.0,nan,258.0,0.0,nan,86.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet169.onnx
