aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_clip,aggregated_percentage_clip,aggregated_count_clip,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
93267.873,81.98988099999998,52.0,113755.33400000005,99.99999257999995,152.0,10559.836,9.2829365,52.0,9215.391999999998,8.1010648,35.0,473.7940000000001,0.41650298,11.0,100.262,0.0881383,1.0,138.177,0.121469,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
93461.73500000002,82.00935199999999,52.0,113964.69399999996,99.99997821999997,152.0,10362.017999999996,9.092305000000003,52.0,9438.541000000001,8.281990100000002,35.0,465.644,0.40858652000000006,11.0,96.204,0.0844156,1.0,140.552,0.123329,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
94385.80799999998,82.08876099999998,52.0,114980.16200000001,99.99999129999996,152.0,10576.864000000001,9.1988677,52.0,9302.364,8.0904074,35.0,475.68799999999993,0.4137126999999999,11.0,100.33,0.0872585,1.0,139.108,0.120984,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
94167.52000000003,82.170051,52.0,114600.80199999998,100.00002101,152.0,10536.471000000001,9.194067600000002,52.0,9184.195999999998,8.014078499999998,35.0,477.219,0.4164186100000001,11.0,96.838,0.0845003,1.0,138.558,0.120905,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
94680.35000000002,82.08073699999998,52.0,115350.286,100.00002147000002,152.0,10540.711999999996,9.138005479999999,52.0,9412.188000000002,8.1596619,35.0,473.18699999999995,0.41021799000000003,11.0,100.724,0.0873201,1.0,143.125,0.124079,1.0,mobilenet_v2.onnx
0.0,nan,52.0,0.0,nan,152.0,0.0,nan,52.0,0.0,nan,35.0,0.0,nan,11.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
