aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_clip,aggregated_percentage_clip,aggregated_count_clip,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
82165.23299999998,75.4436533,62.0,108909.35199999994,99.99997139999999,282.0,6862.431,6.301051120000005,62.0,6698.621000000001,6.150639999999999,58.0,3256.891,2.99045923,41.0,2213.339,2.03227639,29.0,3613.1160000000004,3.3175487599999998,19.0,789.011,0.7244656,9.0,3310.71,3.039877,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
82265.708,75.425684,62.0,109068.61399999994,100.00002650000005,282.0,6870.398000000003,6.299150200000001,62.0,6687.952,6.131874420000002,58.0,3263.745000000001,2.99237895,41.0,2209.1340000000005,2.02545294,29.0,3653.011,3.3492695900000005,19.0,800.5819999999999,0.7340164000000001,9.0,3318.084,3.0422000000000002,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
82591.181,75.52860379999998,62.0,109350.82700000003,99.99997411000003,282.0,6821.130000000003,6.23783366,62.0,6692.618000000001,6.1203201300000005,58.0,3277.8359999999993,2.9975416200000007,41.0,2200.5269999999996,2.0123552600000005,29.0,3648.4140000000007,3.33642894,19.0,803.6759999999999,0.7349517000000001,9.0,3315.4449999999997,3.031939,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
82717.60499999998,75.58585810000001,62.0,109435.32900000001,100.00002796000004,282.0,6840.148999999998,6.250404490000002,62.0,6682.575000000001,6.106413889999999,58.0,3231.5059999999994,2.95289131,41.0,2206.7489999999993,2.0164875899999997,29.0,3627.9420000000005,3.3151469799999997,19.0,799.5880000000001,0.7306486000000001,9.0,3329.215,3.0421769999999997,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
82413.93400000004,75.49029380000002,62.0,109171.53899999999,99.99998135000003,282.0,6861.251000000005,6.2848310000000005,62.0,6707.377999999999,6.143888769999999,58.0,3235.7549999999997,2.9639195900000006,41.0,2205.058,2.0198105,29.0,3653.6919999999996,3.3467499899999997,19.0,801.121,0.7338186999999999,9.0,3293.35,3.0166690000000003,2.0,mobilenet_v3_large.onnx
0.0,nan,62.0,0.0,nan,282.0,0.0,nan,62.0,0.0,nan,58.0,0.0,nan,41.0,0.0,nan,29.0,0.0,nan,19.0,0.0,nan,9.0,0.0,nan,2.0,mobilenet_v3_large.onnx
