aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
1084750.9100000004,98.58836200000002,36.0,1100282.3420000002,99.999948392,125.0,5846.427999999998,0.53135642,36.0,5353.893000000001,0.4865929399999999,33.0,1027.41,0.0933775,1.0,3201.568,0.29097709200000005,17.0,45.869,0.00416884,1.0,56.264,0.0051136,1.0,resnet34.onnx
1090007.62,98.58569899999998,36.0,1105644.4730000005,99.99997448299997,125.0,5876.865000000001,0.5315333199999999,36.0,5397.302999999999,0.48815934,33.0,1027.51,0.0929329,1.0,3231.524,0.29227520299999993,17.0,46.154,0.0041744,1.0,57.497,0.00520032,1.0,resnet34.onnx
1083858.2599999998,98.58953,36.0,1099364.524,100.00000541300001,125.0,5873.568000000001,0.5342688100000003,36.0,5313.516000000001,0.4833266699999999,33.0,1017.5,0.0925535,1.0,3197.044000000001,0.29080856299999996,17.0,47.195,0.00429294,1.0,57.441,0.00522493,1.0,resnet34.onnx
1157231.64,98.671109,36.0,1172817.384,100.00002351999998,125.0,5871.024,0.50059145,36.0,5393.810999999998,0.45990237999999994,33.0,1034.28,0.0881872,1.0,3182.409,0.2713472,17.0,47.529,0.00405255,1.0,56.691,0.00483374,1.0,resnet34.onnx
1085402.54,98.60932100000001,36.0,1100710.5759999994,100.00006239000007,125.0,5663.777999999999,0.5145567600000002,36.0,5352.781999999999,0.48630241000000013,33.0,1021.28,0.0927835,1.0,3168.198,0.28783216,17.0,44.321,0.00402658,1.0,57.677,0.00523998,1.0,resnet34.onnx
1086647.7599999998,98.586209,36.0,1102231.5079999997,100.00004610600001,125.0,5822.803000000001,0.5282745100000001,36.0,5407.5239999999985,0.49059827999999994,33.0,1021.94,0.0927157,1.0,3233.041,0.29331764599999993,17.0,42.492,0.00385509,1.0,55.948,0.00507588,1.0,resnet34.onnx
1082292.0399999998,98.57521099999998,36.0,1097934.8800000001,99.99996297500002,125.0,5892.278,0.5366699,36.0,5388.876,0.49081955999999993,33.0,1024.04,0.0932693,1.0,3234.264,0.294577165,17.0,46.161,0.00420435,1.0,57.221,0.0052117,1.0,resnet34.onnx
1154533.9600000002,98.67325900000002,36.0,1170057.2460000003,99.99997122400005,125.0,5854.011,0.5003182399999999,36.0,5316.37,0.4543685799999999,33.0,1022.88,0.0874216,1.0,3225.100000000001,0.27563628399999995,17.0,48.71,0.00416305,1.0,56.215,0.00480447,1.0,resnet34.onnx
1082511.36,98.579438,36.0,1098110.3250000002,99.99996686099999,125.0,5855.1720000000005,0.5332050999999999,36.0,5400.361000000002,0.49178642,33.0,1026.43,0.0934727,1.0,3214.5809999999997,0.292737621,17.0,45.144,0.00411106,1.0,57.277,0.00521596,1.0,resnet34.onnx
1085473.1799999997,98.59064999999998,36.0,1100989.6209999998,99.99996729599995,125.0,5842.499999999997,0.5306585899999999,36.0,5347.388000000001,0.48568923,33.0,989.624,0.089885,1.0,3236.199000000001,0.293935436,17.0,44.669,0.00405717,1.0,56.061,0.00509187,1.0,resnet34.onnx
