aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
64821.63899999998,82.36252999999999,56.0,78702.81899999996,100.00000191999997,211.0,4076.262999999999,5.179311900000001,56.0,2917.4949999999994,3.7069798999999994,37.0,386.237,0.490754,1.0,1937.2600000000004,2.4614891000000005,16.0,2927.887,3.7201832000000006,16.0,1438.9390000000003,1.8283197000000002,26.0,83.558,0.106169,1.0,111.715,0.141945,1.0,1.826,0.00232012,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
64488.219999999994,82.26171699999998,56.0,78394.00399999999,100.00003378999999,211.0,4079.856999999999,5.204294500000002,56.0,2955.7129999999984,3.7703282,37.0,386.245,0.492697,1.0,1926.695,2.4577056,16.0,2923.854,3.729689,16.0,1441.3609999999999,1.8386111000000005,26.0,78.717,0.100412,1.0,111.345,0.142032,1.0,1.997,0.00254739,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
64599.07600000001,82.33727999999999,56.0,78456.62500000004,99.99996709000004,211.0,4013.6059999999998,5.115701600000004,56.0,2964.265,3.7782210000000003,37.0,386.414,0.492519,1.0,1930.7759999999998,2.4609486000000005,16.0,2920.9449999999997,3.7230029999999994,16.0,1441.598,1.8374459,26.0,84.07,0.107155,1.0,113.974,0.14527,1.0,1.901,0.00242299,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
64734.643,82.28327300000002,56.0,78672.92900000003,100.00002542000003,211.0,4088.141,5.1963762000000004,56.0,2960.0699999999997,3.7625017999999995,37.0,385.412,0.489891,1.0,1948.087,2.4761847,16.0,2926.3809999999994,3.7196820000000006,16.0,1432.156,1.8203923999999996,26.0,82.853,0.105313,1.0,112.337,0.14279,1.0,2.849,0.00362132,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
64847.475,82.34601200000003,56.0,78750.04000000004,100.00006943000002,211.0,4074.6660000000006,5.174180599999999,56.0,2960.193,3.7589773000000006,37.0,367.703,0.466925,1.0,1936.6629999999996,2.4592556000000005,16.0,2927.174,3.717047,16.0,1444.1219999999998,1.8338060999999999,26.0,80.254,0.10191,1.0,109.871,0.139519,1.0,1.919,0.00243683,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
