aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
112541.24600000001,90.74114099999997,26.0,124024.38599999998,99.99991923,90.0,3829.2860000000005,3.0875286500000003,26.0,3610.5059999999994,2.9111285799999993,26.0,1760.7820000000002,1.419705,3.0,2269.317,1.8297334,8.0,13.249,0.0106826,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
112626.77900000004,90.73441499999997,26.0,124127.9810000001,100.00002091999994,90.0,3816.039999999999,3.0742826500000007,26.0,3673.633,2.95955277,26.0,1722.734,1.38787,3.0,2275.2229999999995,1.8329666000000002,8.0,13.572,0.0109339,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
112716.50099999997,90.73624999999997,26.0,124224.37399999997,100.00004053999994,90.0,3820.964,3.0758644499999996,26.0,3681.2659999999996,2.9634016900000004,26.0,1712.019,1.378167,3.0,2280.5989999999997,1.8358723,8.0,13.025,0.0104851,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
112546.49299999999,90.69994499999999,26.0,124086.61000000006,99.99999324000001,90.0,3815.7039999999993,3.0750312500000003,26.0,3686.2210000000005,2.9706822899999996,26.0,1751.49,1.411508,3.0,2273.025,1.8318046000000003,8.0,13.677,0.0110221,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
112561.197,90.71313299999998,26.0,124084.797,100.00000969999996,90.0,3828.713,3.08555913,26.0,3683.8679999999995,2.96883417,26.0,1723.6219999999998,1.38907,3.0,2273.647,1.8323323,8.0,13.75,0.0110811,1.0,squeezenet1_1.onnx
0.0,nan,26.0,0.0,nan,90.0,0.0,nan,26.0,0.0,nan,26.0,0.0,nan,3.0,0.0,nan,8.0,0.0,nan,1.0,squeezenet1_1.onnx
