aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
2500622.7,48.86438,16.0,5117479.441999999,100.0000452723,62.0,26204.211,0.5120533300000001,16.0,26341.141999999996,0.514729416,18.0,5170.302000000001,0.10103242999999999,5.0,45.649,0.000892022,1.0,2559073.774,50.00653474,3.0,21.663999999999998,0.00042333430000000003,3.0,vgg19_bn.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19_bn.onnx
2533349.0000000005,49.084019999999995,16.0,5161246.5030000005,100.00002508029999,62.0,26069.803,0.5051062000000001,16.0,25532.278,0.494691918,18.0,5171.047,0.10018964,5.0,44.793,0.000867871,1.0,2571056.683,49.814705780000004,3.0,22.899,0.0004436713,3.0,vgg19_bn.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19_bn.onnx
2535875.0,49.2584,16.0,5148104.018000001,100.00004773190001,62.0,25958.916,0.5042416,16.0,26292.070999999996,0.5107139499999999,18.0,5175.527,0.10053261999999999,5.0,41.651,0.000809055,1.0,2554738.427,49.62491489,3.0,22.426000000000002,0.00043561690000000003,3.0,vgg19_bn.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19_bn.onnx
2537041.9000000004,49.43011000000001,16.0,5132580.216000001,99.9999633112,62.0,26104.76,0.5086084999999999,16.0,26282.495000000003,0.5120712709999999,18.0,5007.942000000001,0.09757153,5.0,41.522,0.000808988,1.0,2538078.472,49.45034247,3.0,23.125,0.00045055219999999997,3.0,vgg19_bn.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19_bn.onnx
2540672.6,49.275090000000006,16.0,5156098.102000002,100.0000454298,62.0,26153.926999999996,0.5072433799999999,16.0,26110.685999999994,0.5064037979999999,18.0,5182.676,0.10051543,5.0,42.032,0.00081519,1.0,2557913.706,49.60954174,3.0,22.475,0.0004358918,3.0,vgg19_bn.onnx
0.0,nan,16.0,0.0,nan,62.0,0.0,nan,16.0,0.0,nan,18.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,3.0,0.0,nan,3.0,vgg19_bn.onnx
