aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
127773.52799999999,74.73346,54.0,170972.37399999992,100.00002146200006,525.0,15437.252,9.029090665999998,169.0,120.532,0.07049798999999998,53.0,14586.434000000008,8.531454732999991,159.0,117.45300000000003,0.06869707300000001,53.0,12840.025999999998,7.5099995,36.0,97.149,0.0568215,1.0,mobilenetv2-7.onnx
129366.66599999997,74.97335800000002,54.0,172550.18199999997,100.00000689200007,525.0,15112.868,8.758536772999998,169.0,122.379,0.07092368999999998,53.0,14689.169000000007,8.512986209,159.0,115.61299999999999,0.06700252000000001,53.0,13045.587000000001,7.560462600000001,36.0,97.9,0.0567371,1.0,mobilenetv2-7.onnx
129532.763,75.11758,54.0,172439.95900000003,99.99996502700007,525.0,15426.302000000003,8.945890726000004,169.0,120.73799999999996,0.07001738200000002,53.0,14571.577000000003,8.450232239000004,159.0,120.37499999999999,0.06980688,53.0,12570.881,7.289999000000003,36.0,97.323,0.0564388,1.0,mobilenetv2-7.onnx
128057.11699999997,74.811137,54.0,171173.86899999992,99.99999248699997,525.0,15226.536000000007,8.895361662999997,169.0,123.976,0.07242693299999999,53.0,14485.534000000005,8.462467380000009,159.0,115.50399999999996,0.06747761099999999,53.0,13070.009,7.635509999999999,36.0,95.193,0.0556119,1.0,mobilenetv2-7.onnx
127819.38399999999,74.743223,54.0,171011.33099999977,99.99998120100001,525.0,15564.354,9.101352731999997,169.0,120.68799999999997,0.07057311,53.0,14486.066999999997,8.470817873000001,159.0,115.314,0.06743058599999999,53.0,12808.648000000001,7.489934999999999,36.0,96.876,0.0566489,1.0,mobilenetv2-7.onnx
129637.865,75.15006,54.0,172505.41199999995,100.00002085400001,525.0,15246.028999999997,8.837998197000001,169.0,123.20000000000003,0.07141806200000003,53.0,14462.315999999995,8.383681138999998,159.0,116.065,0.067281956,53.0,12818.029999999999,7.4305068,36.0,101.907,0.0590747,1.0,mobilenetv2-7.onnx
128158.11699999994,74.815174,54.0,171299.6550000003,100.00000629100006,525.0,15537.266999999998,9.070222443999992,169.0,125.00699999999999,0.07297560000000002,53.0,14492.444000000005,8.460284591000002,159.0,114.81400000000002,0.067025256,53.0,12772.665,7.4563318999999995,36.0,99.341,0.0579925,1.0,mobilenetv2-7.onnx
129497.12100000001,75.18198599999998,54.0,172244.92599999972,100.00001867699987,525.0,14882.522999999997,8.640324923000005,169.0,123.79099999999998,0.07186913,53.0,14545.003000000006,8.444371851999994,159.0,115.95900000000003,0.067322172,53.0,12983.166,7.537618700000002,36.0,97.363,0.0565259,1.0,mobilenetv2-7.onnx
129198.815,74.98872100000001,54.0,172291.02200000006,100.00001007399996,525.0,15418.039000000004,8.948836867000008,169.0,121.83699999999997,0.07071580299999998,53.0,14474.250000000007,8.401046696000005,159.0,112.84100000000001,0.065494408,53.0,12873.209,7.4717793,36.0,92.031,0.053416,1.0,mobilenetv2-7.onnx
128785.38300000002,74.87953600000003,54.0,171990.05699999997,99.99998657200007,525.0,15206.090000000011,8.841257920999997,169.0,118.22700000000003,0.068740636,53.0,14682.283999999992,8.536710363,159.0,117.06299999999999,0.06806385199999998,53.0,12989.307999999997,7.552359600000001,36.0,91.702,0.0533182,1.0,mobilenetv2-7.onnx
