aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
976918.2780000003,91.31564719999999,120.0,1069826.1040000007,100.00003758600016,868.0,8228.900000000001,0.7691814620000003,59.0,24779.115999999976,2.316181578,121.0,1028.01,0.0960913,1.0,18472.214999999997,1.72665786,62.0,17371.389999999996,1.6237589969999995,187.0,161.69100000000003,0.015113770000000002,62.0,17713.267,1.6557160819999994,186.0,156.43399999999997,0.014622387,62.0,1076.355,0.1006103,3.0,592.66,0.05539780999999999,3.0,72.158,0.00674484,1.0,3255.63,0.304314,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
977445.167,91.29215929999998,120.0,1070677.9760000007,99.99998536500011,868.0,8470.295000000002,0.7911151090000001,59.0,24807.13799999999,2.316955128,121.0,1023.95,0.0956355,1.0,18462.273999999994,1.7243525700000002,62.0,17515.076999999997,1.6358854669999998,187.0,160.757,0.015014505000000004,62.0,17585.293,1.6424447589999998,186.0,156.37499999999997,0.014605227000000004,62.0,1076.48,0.1005419,3.0,579.177,0.05409438,3.0,81.163,0.00758052,1.0,3314.83,0.309601,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
978009.8309999997,91.30412039999999,120.0,1071156.5209999993,100.00002258400015,868.0,8447.895,0.7886706209999995,59.0,24795.100999999995,2.3147973130000006,121.0,984.653,0.0919243,1.0,18443.464000000007,1.721828059999999,62.0,17485.658000000003,1.6324105609999997,187.0,165.645,0.015464127,62.0,17601.685999999983,1.6432422329999978,186.0,156.44099999999997,0.014604869000000001,62.0,1073.379,0.1002074,3.0,594.246,0.055477,3.0,77.902,0.0072727,1.0,3320.62,0.310003,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
963077.2559999997,91.2122276,120.0,1055864.225999999,100.00000220100006,868.0,8466.555000000006,0.8018604679999999,59.0,24665.969000000012,2.3360924450000016,121.0,1028.75,0.0974318,1.0,18342.324999999997,1.7371863900000002,62.0,17203.238,1.6293046850000006,187.0,166.01300000000003,0.015722943,62.0,17713.275999999998,1.6776086760000009,186.0,154.15000000000003,0.014599414000000002,62.0,1070.417,0.1013783,3.0,592.762,0.05614005,3.0,79.585,0.00753743,1.0,3303.93,0.312912,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
978414.8049999998,91.28645840000001,120.0,1071807.1339999998,100.00000021800008,868.0,8446.506000000003,0.7880629520000001,59.0,24793.110000000008,2.3132064590000008,121.0,1023.45,0.0954884,1.0,18483.143999999997,1.7244844699999988,62.0,17482.732,1.6311457720000004,187.0,167.255,0.015604956999999997,62.0,17781.52699999999,1.6590238269999993,186.0,160.81099999999998,0.015003731,62.0,1076.796,0.1004655,3.0,589.292,0.054981260000000004,3.0,79.126,0.00738249,1.0,3308.58,0.308692,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
