aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
182650.467,87.45302699999999,52.0,208855.54799999995,100.00001119999999,152.0,11675.228000000005,5.59009505,52.0,10055.157000000001,4.814405100000001,35.0,862.6300000000001,0.41302724999999996,11.0,103.356,0.0494868,1.0,3508.71,1.67997,1.0,mnasnet1_3.onnx
181224.17299999995,87.30889800000003,52.0,207566.6630000001,99.99999286000002,152.0,11816.221000000001,5.69273486,52.0,10021.622,4.828143199999999,35.0,873.4899999999999,0.420824,11.0,100.987,0.0486528,1.0,3530.17,1.70074,1.0,mnasnet1_3.onnx
182291.963,87.46397600000005,52.0,208419.54699999996,100.00003037000006,152.0,11642.882000000003,5.5862741499999995,52.0,10005.170999999997,4.800495400000001,35.0,888.41,0.42625982,11.0,104.241,0.050015,1.0,3486.88,1.67301,1.0,mnasnet1_3.onnx
184754.02199999997,87.636039,52.0,210819.71099999998,100.00001283000003,152.0,11690.48,5.545252559999999,52.0,9892.117000000002,4.6922182999999995,35.0,875.2330000000001,0.41515767,11.0,102.849,0.0487853,1.0,3505.01,1.66256,1.0,mnasnet1_3.onnx
182231.07100000003,87.45328099999998,52.0,208375.34,100.00000730999997,152.0,11744.014000000001,5.635989260000001,52.0,9877.881999999998,4.740431900000001,35.0,896.9870000000001,0.43046725,11.0,101.516,0.0487179,1.0,3523.87,1.69112,1.0,mnasnet1_3.onnx
182345.50600000005,87.360987,52.0,208726.476,100.00000386000005,152.0,11801.626999999999,5.654111330000001,52.0,10063.960999999994,4.8216042,35.0,891.133,0.42693812999999997,11.0,100.759,0.0482732,1.0,3523.49,1.68809,1.0,mnasnet1_3.onnx
182377.50299999997,87.425091,52.0,208610.03799999985,100.00001081,152.0,11804.223999999995,5.65851079,52.0,9891.524999999996,4.741636199999999,35.0,900.9960000000001,0.43190512,11.0,100.42,0.0481377,1.0,3535.37,1.69473,1.0,mnasnet1_3.onnx
186561.904,87.728736,52.0,212657.69700000001,100.00001393999993,152.0,11728.933000000003,5.515406489999997,52.0,9842.388999999997,4.628281200000002,35.0,896.5549999999998,0.42159545000000004,11.0,97.216,0.0457148,1.0,3530.7,1.66028,1.0,mnasnet1_3.onnx
180978.69999999998,87.31170800000001,52.0,207278.85899999994,100.00000284999997,152.0,11791.301000000003,5.688616890000001,52.0,9994.861000000003,4.8219379999999985,35.0,887.775,0.42829965999999997,11.0,101.132,0.0487903,1.0,3525.09,1.70065,1.0,mnasnet1_3.onnx
182061.82900000009,87.404546,52.0,208297.87800000003,100.00000195000003,152.0,11672.466,5.603740160000002,52.0,10092.340000000002,4.845150099999999,35.0,877.049,0.42105599,11.0,99.524,0.0477797,1.0,3494.67,1.67773,1.0,mnasnet1_3.onnx
183111.47000000003,87.46091599999997,52.0,209363.77499999994,100.00000608999997,152.0,11677.655000000004,5.577686829999997,52.0,10053.798,4.8020713,35.0,893.9549999999998,0.42698646,11.0,101.197,0.0483355,1.0,3525.7,1.68401,1.0,mnasnet1_3.onnx
184030.111,87.45116499999999,52.0,210437.56400000004,99.99999203000002,152.0,11789.878999999999,5.602554750000002,52.0,10095.645999999999,4.797454800000002,35.0,900.4070000000002,0.42787328,11.0,101.061,0.0480242,1.0,3520.46,1.67292,1.0,mnasnet1_3.onnx
181694.2479999999,87.341106,52.0,208028.34700000004,100.00000166999996,152.0,11780.774999999998,5.663063520000002,52.0,10069.079999999994,4.840242900000001,35.0,864.868,0.41574524999999996,11.0,103.336,0.049674,1.0,3516.04,1.69017,1.0,mnasnet1_3.onnx
