aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
65386.27500000002,79.547346,56.0,82197.94999999994,100.00001367999997,211.0,4039.953000000001,4.9149077000000005,56.0,2943.808000000001,3.581362799999999,37.0,383.475,0.466526,1.0,1890.147,2.2995056000000003,16.0,2920.05,3.5524616,16.0,1408.7299999999998,1.7138266000000002,26.0,82.309,0.100135,1.0,3138.45,3.81816,1.0,4.753,0.00578238,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65711.66299999999,79.53371,56.0,82621.125,99.99997321,211.0,4035.0800000000013,4.8838360000000005,56.0,2890.2459999999996,3.498192499999999,37.0,387.296,0.468761,1.0,1919.202,2.3228932,16.0,2938.6049999999996,3.5567219999999997,16.0,1419.0670000000002,1.7175603000000006,26.0,80.86,0.0978684,1.0,3235.76,3.91638,1.0,3.346,0.00404981,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65475.35799999998,79.48275299999999,56.0,82376.83599999997,100.00000586999997,211.0,4044.8970000000004,4.910233900000002,56.0,2917.1320000000005,3.5412028999999996,37.0,388.639,0.471782,1.0,1884.9479999999994,2.2882011,16.0,2919.9939999999997,3.5446752,16.0,1400.438,1.7000374,26.0,79.829,0.0969071,1.0,3261.29,3.95898,1.0,4.311,0.00523327,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65344.451000000015,79.447626,56.0,82248.46100000004,100.00000083000008,211.0,4052.888000000001,4.9276183000000024,56.0,2920.463,3.550781800000001,37.0,389.268,0.473283,1.0,1907.4009999999996,2.3190732000000005,16.0,2919.738,3.5498995,16.0,1398.5900000000001,1.7004452,26.0,80.184,0.09749,1.0,3231.42,3.92885,1.0,4.058,0.00493383,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65493.340000000026,79.45834500000002,56.0,82424.79799999997,100.00004014000004,211.0,4050.6690000000003,4.914378600000001,56.0,2907.646,3.5276328999999995,37.0,389.847,0.472973,1.0,1920.193,2.3296286999999998,16.0,2925.116,3.5488289,16.0,1400.3670000000004,1.6989630000000004,26.0,79.353,0.0962732,1.0,3254.0,3.94784,1.0,4.267,0.00517684,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
65371.257000000005,79.55633800000001,56.0,82169.757,99.99999451,211.0,4050.104000000001,4.9289491000000005,56.0,2917.282,3.5503114,37.0,384.399,0.467811,1.0,1914.7820000000002,2.3302768,16.0,2924.019,3.5585122,16.0,1379.454,1.6787864000000001,26.0,80.396,0.0978414,1.0,3144.45,3.82677,1.0,3.614,0.00439821,1.0,shufflenet_v2_x1_5.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_5.onnx
