aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
196830.81900000002,90.40399140000002,56.0,217723.5310000001,99.99996985,211.0,5437.749000000001,2.4975479999999997,56.0,3928.616999999999,1.8044064000000006,37.0,386.522,0.177529,1.0,2642.318,1.2136113000000002,16.0,4159.957,1.9106592000000002,16.0,1958.1209999999999,0.8993615000000003,26.0,149.141,0.0685002,1.0,2226.34,1.02255,1.0,3.947,0.00181285,1.0,shufflenet_v2_x2_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x2_0.onnx
196817.827,90.39402990000002,56.0,217733.21499999994,100.00000123000008,211.0,5463.687000000002,2.509350200000001,56.0,3931.6720000000005,1.8057286000000004,37.0,387.235,0.177848,1.0,2644.382,1.2145054,16.0,4148.402,1.9052698000000001,16.0,1947.0929999999998,0.8942567,26.0,148.861,0.0683686,1.0,2239.17,1.0284,1.0,4.886,0.00224403,1.0,shufflenet_v2_x2_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x2_0.onnx
197013.616,90.41534230000002,56.0,217898.38300000006,99.99997211000006,211.0,5473.673000000001,2.5120297,56.0,3932.567000000001,1.80477,37.0,386.904,0.177562,1.0,2609.3300000000004,1.1974998000000001,16.0,4154.195,1.9064807999999998,16.0,1950.745,0.8952542000000002,26.0,151.811,0.0696705,1.0,2220.96,1.01926,1.0,4.582,0.00210281,1.0,shufflenet_v2_x2_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x2_0.onnx
196955.21100000004,90.4540368,56.0,217740.62300000005,99.99998242000002,211.0,5383.779,2.4725645999999997,56.0,3904.711999999999,1.7932864999999993,37.0,384.02,0.176366,1.0,2612.9880000000003,1.2000458999999999,16.0,4151.851000000001,1.9067857000000004,16.0,1950.0710000000004,0.8955934000000002,26.0,153.475,0.0704852,1.0,2239.86,1.02868,1.0,4.656,0.00213832,1.0,shufflenet_v2_x2_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x2_0.onnx
196757.789,90.40693789999997,56.0,217635.70799999996,99.99999321000001,211.0,5457.835000000001,2.5077842000000006,56.0,3926.232,1.8040394000000004,37.0,386.164,0.177436,1.0,2644.1249999999995,1.2149307000000003,16.0,4154.399,1.9088781999999997,16.0,1937.9630000000009,0.8904620999999998,26.0,150.05,0.0689455,1.0,2216.8,1.01858,1.0,4.351,0.00199921,1.0,shufflenet_v2_x2_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x2_0.onnx
197157.19200000007,90.4401907,56.0,217997.2610000001,99.99998235999999,211.0,5431.564,2.4915752,56.0,3916.890000000001,1.7967604,37.0,389.732,0.178778,1.0,2628.1869999999994,1.2056063,16.0,4155.2,1.9060798,16.0,1937.1659999999995,0.8886192999999998,26.0,149.17,0.0684275,1.0,2228.53,1.02228,1.0,3.63,0.00166516,1.0,shufflenet_v2_x2_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x2_0.onnx
196848.277,90.40779910000002,56.0,217733.73599999998,100.00000430000001,211.0,5478.665999999998,2.5162231000000004,56.0,3905.767,1.7938281000000007,37.0,389.181,0.178742,1.0,2634.558000000001,1.2099909999999998,16.0,4148.774,1.9054348,16.0,1951.3080000000004,0.8961904000000003,26.0,139.491,0.064065,1.0,2233.51,1.0258,1.0,4.204,0.0019308,1.0,shufflenet_v2_x2_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x2_0.onnx
197014.98000000004,90.47062790000001,56.0,217766.80700000012,100.00001516000006,211.0,5421.227000000002,2.4894648999999993,56.0,3902.4980000000005,1.7920532999999998,37.0,388.256,0.17829,1.0,2574.639,1.1822928999999998,16.0,4153.544000000001,1.9073366999999999,16.0,1934.8469999999995,0.8884949999999999,26.0,150.556,0.0691363,1.0,2222.17,1.02044,1.0,4.09,0.00187816,1.0,shufflenet_v2_x2_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x2_0.onnx
196940.59500000006,90.40537049999998,56.0,217841.71099999986,100.00000551,211.0,5452.543000000001,2.5029841999999993,56.0,3925.7420000000016,1.8021073999999997,37.0,384.307,0.176416,1.0,2628.5000000000005,1.2066095000000003,16.0,4151.486,1.9057358,16.0,1957.8079999999998,0.8987294999999998,26.0,149.963,0.0688404,1.0,2246.34,1.03118,1.0,4.427,0.00203221,1.0,shufflenet_v2_x2_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x2_0.onnx
