aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
2155596.8000000003,45.61403,13.0,4725726.697,99.99998383,22.0,5019.285,0.10621183000000001,5.0,43.902,0.000929,1.0,2558667.0,54.14339,2.0,6399.71,0.135423,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2146782.9,45.52995,13.0,4715105.846,99.99996066099999,22.0,5170.341,0.10965496,5.0,44.355,0.000940701,1.0,2556604.0,54.22147,2.0,6504.25,0.137945,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2140793.5,45.51396999999999,13.0,4703591.8950000005,99.999978184,22.0,5185.126,0.11023752999999999,5.0,44.809,0.000952654,1.0,2551055.0,54.23634,2.0,6513.46,0.138478,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2149309.3,45.64508,13.0,4708736.872,99.999947897,22.0,5116.03,0.10864982,5.0,43.842,0.000931077,1.0,2547742.0,54.1067,2.0,6525.7,0.138587,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2135459.2,45.440479999999994,13.0,4699461.365,99.999995618,22.0,5137.964999999999,0.10933072,5.0,45.58,0.000969898,1.0,2552327.0,54.311080000000004,2.0,6491.62,0.138135,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2158288.8000000003,45.870239999999995,13.0,4705209.149,99.99997228099998,22.0,5154.53,0.10954981,5.0,42.369,0.000900471,1.0,2535193.0,53.88049,2.0,6530.45,0.138792,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2150763.1999999997,45.60863,13.0,4715689.193,100.00001999999999,22.0,5154.519,0.10930580000000001,5.0,44.054,0.0009342,1.0,2553232.0,54.143409999999996,2.0,6495.42,0.13774,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2147008.3,45.77892,13.0,4689948.540999999,100.000040627,22.0,5156.932,0.10995722,5.0,42.979,0.000916407,1.0,2531228.0,53.97139,2.0,6512.33,0.138857,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2152909.6,45.65314999999999,13.0,4715800.569999999,100.00002553399999,22.0,5103.703,0.10822580000000001,5.0,43.137,0.000914734,1.0,2551229.0,54.099579999999996,2.0,6515.13,0.138155,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2162060.7,45.68149999999999,13.0,4732900.329999999,99.99995786600002,22.0,5143.633999999999,0.10867843999999999,5.0,45.456,0.000960426,1.0,2559185.0,54.07221,2.0,6465.54,0.136609,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2147907.8,45.628829999999994,13.0,4707342.548,99.999983288,22.0,5166.048,0.10974433,5.0,44.2,0.000938958,1.0,2547758.0,54.1231,2.0,6466.5,0.13737,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2140751.6,45.39622,13.0,4715710.869000001,99.99996630800001,22.0,5164.43,0.10951567000000001,5.0,43.839,0.000929638,1.0,2563256.0,54.35557,2.0,6495.0,0.137731,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2144600.4,45.66595,13.0,4696276.302999999,99.999957456,22.0,5164.889999999999,0.10997827,5.0,45.093,0.000960186,1.0,2539956.0,54.08445,2.0,6509.92,0.138619,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2154913.1,45.746010000000005,13.0,4710596.794,99.999984662,22.0,5159.632,0.10953245000000002,5.0,44.902,0.000953212,1.0,2543996.0,54.00586,2.0,6483.16,0.137629,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2143460.8,45.545739999999995,13.0,4706171.112,100.000018994,22.0,5163.469000000001,0.10971711,5.0,42.303,0.000898884,1.0,2550984.0,54.20511,2.0,6520.54,0.138553,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2140461.6,45.402759999999994,13.0,4714381.016,100.00000616199999,22.0,5115.387999999999,0.10850586,5.0,43.858,0.000930302,1.0,2562301.0,54.3508,2.0,6459.17,0.13701,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2138756.9,45.47495000000001,13.0,4703150.633,99.99995426400001,22.0,5135.755999999999,0.10919829,5.0,43.597,0.000926974,1.0,2552733.0,54.27707,2.0,6481.38,0.137809,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2137302.0,45.64768,13.0,4682171.775,99.999974012,22.0,5138.705,0.10975037,5.0,41.28,0.000881642,1.0,2533181.0,54.10265,2.0,6508.79,0.139012,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2151816.8,45.65091999999999,13.0,4713631.006999999,99.999997033,22.0,5175.964,0.10980829999999998,5.0,42.363,0.000898733,1.0,2550141.0,54.10143,2.0,6454.88,0.13694,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
2148752.8000000003,45.60459,13.0,4711705.260000001,99.99998890600001,22.0,5163.302,0.10958456,5.0,43.788,0.000929346,1.0,2551251.0,54.14705,2.0,6494.37,0.137835,1.0,vgg16_bn.onnx
0.0,nan,13.0,0.0,nan,22.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16_bn.onnx
