aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
1170769.8,62.26518,5.0,1880295.8830000001,99.999961764,12.0,459.70599999999996,0.02444856,3.0,10.007,0.000532204,1.0,702848.0,37.37962,2.0,6208.37,0.330181,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1179306.1,62.46107000000001,5.0,1888063.99,99.99992584099999,12.0,463.972,0.02457394,3.0,10.458,0.000553901,1.0,702071.0,37.18469,2.0,6212.46,0.329038,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1170522.8,62.19674,5.0,1881966.281,99.99987138700001,12.0,463.278,0.02461674,3.0,10.363,0.000550647,1.0,704754.0,37.447680000000005,2.0,6215.84,0.330284,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1186496.3,62.5822,5.0,1895901.5669999998,100.00005403300001,12.0,464.201,0.02448443,3.0,10.856,0.000572603,1.0,702699.0,37.06413,2.0,6231.21,0.328667,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1182864.4,62.494730000000004,5.0,1892742.0890000002,99.99998161,12.0,463.43999999999994,0.024485120000000003,3.0,10.249,0.00054149,1.0,703187.0,37.151759999999996,2.0,6217.0,0.328465,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1174774.1,62.338589999999996,5.0,1884507.098,100.000111158,12.0,462.564,0.024545650000000002,3.0,10.054,0.000533508,1.0,703059.0,37.30737,2.0,6201.38,0.329072,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1178119.4,62.208600000000004,5.0,1893820.836,100.000034198,12.0,461.966,0.02439337,3.0,10.64,0.000561828,1.0,709005.0,37.43784,2.0,6223.83,0.328639,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1215009.6,62.60963000000001,5.0,1940611.408,99.99995361600001,12.0,466.839,0.02405633,3.0,10.349,0.000533286,1.0,718908.0,37.04539,2.0,6216.62,0.320344,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1173611.8,62.29353999999999,5.0,1884003.925,100.000028771,12.0,463.36500000000007,0.02459467,3.0,10.59,0.000562101,1.0,703693.0,37.35091,2.0,6225.17,0.330422,1.0,alexnet.onnx
