aggregated_duration_takeexpanddimsmultiplyaddtakeexpanddimsmultiplyaddtakeexpanddieeca615eab0a1db9,aggregated_percentage_takeexpanddimsmultiplyaddtakeexpanddimsmultiplyaddtakeexpanddieeca615eab0a1db9,aggregated_count_takeexpanddimsmultiplyaddtakeexpanddimsmultiplyaddtakeexpanddieeca615eab0a1db9,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
221.242,0.019038,1.0,1162107.2920000004,100.00004425000003,82.0,1152251.208,99.15192200000004,57.0,4828.5470000000005,0.4154995,13.0,1686.3010000000002,0.14510736,9.0,73.624,0.00633539,1.0,3046.37,0.262142,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
221.865,0.0202365,1.0,1096357.6340000003,100.00001325999996,82.0,1086507.174,99.10154209999997,57.0,4829.347,0.4404899,13.0,1683.221,0.15352848,9.0,73.777,0.00672928,1.0,3042.25,0.277487,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
223.208,0.0192526,1.0,1159365.2929999994,100.00009923999995,82.0,1149505.9339999994,99.14968939999997,57.0,4819.907,0.4157367,13.0,1671.5390000000002,0.144177,9.0,76.165,0.00656954,1.0,3068.54,0.264674,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
221.623,0.0201062,1.0,1102261.3830000001,99.99996091000001,82.0,1092438.0670000003,99.10876450000002,57.0,4811.062999999998,0.43647189999999997,13.0,1674.724,0.15193529,9.0,73.466,0.00666502,1.0,3042.44,0.276018,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
220.975,0.0190254,1.0,1161476.5290000006,99.99998669000001,82.0,1151643.5200000007,99.1533902,57.0,4825.286999999999,0.41544450000000005,13.0,1671.256,0.14389065999999998,9.0,74.171,0.00638593,1.0,3041.32,0.26185,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
222.617,0.0202317,1.0,1100338.7360000005,99.99995467000001,82.0,1090514.012,99.10707310000002,57.0,4815.178,0.4376087999999999,13.0,1672.7930000000003,0.15202535,9.0,71.596,0.00650672,1.0,3042.54,0.276509,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
222.781,0.0191399,1.0,1163960.3779999998,99.99998231000001,82.0,1154106.8169999998,99.15342850000003,57.0,4824.851000000001,0.41451990000000005,13.0,1684.19,0.1446947,9.0,76.569,0.00657831,1.0,3045.17,0.261621,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
222.701,0.0202654,1.0,1098923.9579999999,99.99998691999994,82.0,1089087.6739999996,99.10490379999999,57.0,4824.2970000000005,0.439002,13.0,1683.263,0.1531737,9.0,72.683,0.00661402,1.0,3033.34,0.276028,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
221.882,0.0191779,1.0,1156966.0409999997,100.00004806999996,82.0,1147107.9310000003,99.14798249999997,57.0,4824.875999999999,0.41702819999999996,13.0,1689.086,0.14599257999999998,9.0,76.856,0.00664289,1.0,3045.41,0.263224,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
223.327,0.0203242,1.0,1098824.434,99.99996838999999,82.0,1088991.2249999999,99.10508299999998,57.0,4813.915,0.4380973,13.0,1685.705,0.15341006000000001,9.0,73.872,0.00672283,1.0,3036.39,0.276331,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
220.978,0.0190398,1.0,1160612.4539999997,99.99997819000002,82.0,1150782.4209999996,99.15300900000004,57.0,4820.888000000001,0.4153744,13.0,1681.816,0.14490761,9.0,73.181,0.00630538,1.0,3033.17,0.261342,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
223.012,0.0203084,1.0,1098124.4239999999,99.99998837,82.0,1088283.7609999997,99.1038544,57.0,4825.340999999999,0.4394165,13.0,1675.0969999999998,0.15254147,9.0,74.723,0.0068046,1.0,3042.49,0.277063,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
221.382,0.0190597,1.0,1161519.0190000006,99.99998076999995,82.0,1151687.3120000002,99.15352859999994,57.0,4815.523,0.4145884,13.0,1688.2399999999998,0.14534756000000001,9.0,73.472,0.00632551,1.0,3033.09,0.261131,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
222.627,0.0202745,1.0,1098062.8940000003,99.99999664999996,82.0,1088194.359,99.10127459999997,57.0,4830.902999999999,0.4399475,13.0,1689.179,0.1538326,9.0,72.576,0.00660945,1.0,3053.25,0.278058,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
220.287,0.0189654,1.0,1161518.763,99.99998554999995,82.0,1151649.4449999998,99.15029379999996,57.0,4824.643999999999,0.4153741000000001,13.0,1678.9439999999997,0.14454745000000002,9.0,75.113,0.0064668,1.0,3070.33,0.264338,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
222.017,0.0202667,1.0,1095476.181,100.00008651,82.0,1085621.9179999998,99.10054650000002,57.0,4821.702000000001,0.44014620000000004,13.0,1676.8390000000002,0.15306929,9.0,73.625,0.00672082,1.0,3060.08,0.279337,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
221.148,0.0190461,1.0,1161117.6969999995,100.00000446999995,82.0,1151267.4149999996,99.15165999999995,57.0,4829.236,0.41591269999999997,13.0,1689.5819999999999,0.14551341,9.0,75.406,0.00649426,1.0,3034.91,0.261378,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
