aggregated_duration_nnconv2dnnbiasaddclip,aggregated_percentage_nnconv2dnnbiasaddclip,aggregated_count_nnconv2dnnbiasaddclip,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddadd,aggregated_percentage_nnconv2dnnbiasaddadd,aggregated_count_nnconv2dnnbiasaddadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
52207.13699999999,55.740357000000024,35.0,93661.30799999998,100.00001850000004,54.0,15462.932999999997,16.509408999999998,7.0,22459.43,23.979427,10.0,90.688,0.0968255,1.0,3441.12,3.674,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
52070.699,55.677016000000016,35.0,93522.8,99.99999470000002,54.0,15546.611,16.623338,7.0,22375.138999999996,23.924786,10.0,89.141,0.0953147,1.0,3441.21,3.67954,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
52241.291999999994,55.77465899999999,35.0,93664.883,99.99999170000001,54.0,15576.136999999999,16.629644,7.0,22314.678999999996,23.823971,10.0,90.525,0.0966477,1.0,3442.25,3.67507,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
52257.538,55.758719,35.0,93720.79799999998,99.99997579999999,54.0,15414.735999999999,16.447493,7.0,22508.519,24.016582,10.0,89.805,0.0958218,1.0,3450.2,3.68136,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
52114.558999999994,55.784899,35.0,93420.552,99.99997369999998,54.0,15622.522,16.722791,7.0,22129.310999999998,23.687815,10.0,91.99,0.0984687,1.0,3462.17,3.706,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
52204.99900000001,55.770973999999995,35.0,93606.04200000002,99.9999893,54.0,15461.900000000001,16.518059,7.0,22398.598,23.928573000000004,10.0,92.205,0.0985033,1.0,3448.34,3.68388,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
52225.09999999999,55.670713,35.0,93810.754,100.00003600000001,54.0,15598.586,16.627733,7.0,22448.56,23.929623,10.0,93.808,0.099997,1.0,3444.7,3.67197,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
52258.16399999999,55.841975,35.0,93582.22100000002,99.99999780000002,54.0,15401.659,16.457889,7.0,22385.211,23.920369,10.0,89.937,0.0961048,1.0,3447.25,3.68366,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
52225.284000000014,55.915302,35.0,93400.75200000002,100.00002230000003,54.0,15347.398,16.431771,7.0,22282.975,23.857384000000003,10.0,92.425,0.0989553,1.0,3452.67,3.69661,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
