aggregated_duration_nnconv2dnnbiasaddmultiplyaddclipmultiply,aggregated_percentage_nnconv2dnnbiasaddmultiplyaddclipmultiply,aggregated_count_nnconv2dnnbiasaddmultiplyaddclipmultiply,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nnconv2dnnbiasaddmultiplyaddclip,aggregated_percentage_nnconv2dnnbiasaddmultiplyaddclip,aggregated_count_nnconv2dnnbiasaddmultiplyaddclip,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddadd,aggregated_percentage_nnconv2dnnbiasaddadd,aggregated_count_nnconv2dnnbiasaddadd,aggregated_duration_nndenseaddmultiplyaddclipmultiply,aggregated_percentage_nndenseaddmultiplyaddclipmultiply,aggregated_count_nndenseaddmultiplyaddclipmultiply,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
15670.063,50.752114,18.0,30875.709000000003,100.00004330000006,73.0,5005.325999999999,16.2112087,14.0,446.73799999999994,1.4468912,10.0,617.309,1.9993355000000002,9.0,365.937,1.1851929,9.0,1489.422,4.823931,5.0,3155.6040000000003,10.22035,6.0,1104.69,3.57786,1.0,3020.62,9.78316,1.0,mobilenet_v3_small.onnx
15807.367000000002,51.115413,18.0,30924.897999999994,100.00006310000002,73.0,4961.691999999999,16.044337099999996,14.0,436.0849999999999,1.4101420999999998,10.0,611.8779999999999,1.9785936000000002,9.0,361.3910000000001,1.1686083,9.0,1495.145,4.834759,5.0,3149.9,10.185649999999999,6.0,1105.8,3.57575,1.0,2995.64,9.68681,1.0,mobilenet_v3_small.onnx
15673.902999999998,50.729839999999996,18.0,30896.806,100.0000052,73.0,5021.212999999999,16.2515657,14.0,440.58600000000007,1.4259913,10.0,612.502,1.9824114,9.0,361.83799999999997,1.1711168,9.0,1489.704,4.82155,5.0,3169.8700000000003,10.25954,6.0,1107.74,3.5853,1.0,3019.45,9.77269,1.0,mobilenet_v3_small.onnx
15222.505,50.18584800000001,18.0,30332.248999999996,99.99996359999997,73.0,4981.407,16.422803499999997,14.0,443.8069999999999,1.4631526,10.0,609.8789999999999,2.010662,9.0,361.658,1.1923225000000002,9.0,1477.2400000000002,4.870195,5.0,3148.763,10.3809,6.0,1108.65,3.65502,1.0,2978.34,9.81906,1.0,mobilenet_v3_small.onnx
15751.996000000001,51.027895,18.0,30869.375,99.99998510000003,73.0,4958.703,16.0634923,14.0,437.30199999999996,1.4166209,10.0,616.87,1.9983236,9.0,362.951,1.1757632999999998,9.0,1487.958,4.82017,5.0,3152.6749999999997,10.212959999999999,6.0,1101.38,3.56787,1.0,2999.54,9.71689,1.0,mobilenet_v3_small.onnx
15830.112,51.10916399999999,18.0,30973.113999999994,99.99995889999995,73.0,4980.870999999999,16.0812733,14.0,441.09400000000005,1.4241180999999998,10.0,621.312,2.0059724,9.0,358.76500000000004,1.1583111000000001,9.0,1482.653,4.7869,5.0,3156.227,10.19021,6.0,1109.09,3.58081,1.0,2992.99,9.6632,1.0,mobilenet_v3_small.onnx
15746.796000000002,50.866369,18.0,30957.193999999992,100.00000070000003,73.0,5021.455999999998,16.220631600000004,14.0,439.54900000000004,1.4198613,10.0,611.266,1.9745521,9.0,360.176,1.1634637,9.0,1509.424,4.875843,5.0,3161.317,10.21189,6.0,1108.12,3.57953,1.0,2999.09,9.68786,1.0,mobilenet_v3_small.onnx
15235.050999999998,50.143449999999994,18.0,30382.93299999999,99.99999589999999,73.0,5001.543000000001,16.461686900000004,14.0,442.27600000000007,1.455672,10.0,614.323,2.0219346000000002,9.0,362.75199999999995,1.1939334000000001,9.0,1477.3880000000001,4.862559,5.0,3143.25,10.345440000000002,6.0,1107.19,3.64411,1.0,2999.16,9.87121,1.0,mobilenet_v3_small.onnx
15822.723999999997,51.093250999999995,18.0,30968.318,100.00000739999999,73.0,5007.245999999999,16.1689513,14.0,442.88,1.4301051,10.0,613.098,1.9797593,9.0,362.58,1.1708097,9.0,1489.481,4.809691,5.0,3150.3489999999997,10.17281,6.0,1103.79,3.56425,1.0,2976.17,9.61038,1.0,mobilenet_v3_small.onnx
15750.308,50.99071200000001,18.0,30888.598000000005,100.00002789999996,73.0,4983.5419999999995,16.133916,14.0,439.02899999999994,1.4213308,10.0,616.557,1.9960673999999998,9.0,362.85999999999996,1.1747367,9.0,1481.894,4.797545,5.0,3149.058,10.19489,6.0,1100.01,3.56121,1.0,3005.34,9.72962,1.0,mobilenet_v3_small.onnx
15782.438000000002,51.04914599999999,18.0,30916.14799999999,99.99999300000002,73.0,4962.081999999999,16.0501237,14.0,442.48199999999997,1.4312328,10.0,607.5089999999999,1.9650210000000001,9.0,361.525,1.1693735,9.0,1479.971,4.787056000000001,5.0,3166.931,10.24362,6.0,1104.21,3.57163,1.0,3009.0,9.73279,1.0,mobilenet_v3_small.onnx
15243.822,50.128748999999985,18.0,30409.325,99.99996130000001,73.0,4991.952,16.4158405,14.0,441.75299999999993,1.4526883000000002,10.0,610.684,2.0082139999999997,9.0,358.891,1.1802015000000001,9.0,1492.977,4.909608,5.0,3151.7260000000006,10.364339999999999,6.0,1104.77,3.63299,1.0,3012.75,9.90733,1.0,mobilenet_v3_small.onnx
15774.284,51.052113999999996,18.0,30898.389999999992,100.00000669999994,73.0,4963.141,16.0628074,14.0,444.744,1.4393760999999998,10.0,613.98,1.9870929,9.0,361.345,1.1694623,9.0,1487.4910000000002,4.814133999999999,5.0,3158.825,10.22326,6.0,1100.25,3.56087,1.0,2994.33,9.69089,1.0,mobilenet_v3_small.onnx
15792.157000000005,51.063864999999986,18.0,30926.312999999995,100.0000531,73.0,4962.346,16.045697300000004,14.0,439.889,1.4223758,10.0,616.455,1.9933033999999998,9.0,363.12799999999993,1.1741716,9.0,1485.908,4.80468,5.0,3152.46,10.19347,6.0,1111.88,3.59527,1.0,3002.09,9.70722,1.0,mobilenet_v3_small.onnx
15719.56,50.973375000000004,18.0,30838.758000000013,99.99996390000001,73.0,4972.388000000001,16.123830100000003,14.0,437.37000000000006,1.4182473,10.0,613.062,1.9879582,9.0,364.352,1.1814742999999999,9.0,1491.3779999999997,4.836049,5.0,3148.1579999999994,10.208450000000001,6.0,1109.24,3.59689,1.0,2983.25,9.67369,1.0,mobilenet_v3_small.onnx
15217.164,50.144226999999994,18.0,30346.804999999993,99.9999829,73.0,4946.883999999999,16.301136899999996,14.0,441.06,1.4533986,10.0,614.481,2.0248619,9.0,363.313,1.1972025,9.0,1477.585,4.868995999999999,5.0,3161.3279999999995,10.41734,6.0,1106.23,3.6453,1.0,3018.76,9.94752,1.0,mobilenet_v3_small.onnx
15817.548000000003,51.15238600000001,18.0,30922.435000000005,100.0000628,73.0,4945.709000000001,15.9939258,14.0,441.273,1.427033,10.0,612.615,1.9811343,9.0,365.194,1.1810007,9.0,1486.734,4.8079529999999995,5.0,3150.3120000000004,10.18779,6.0,1110.55,3.59139,1.0,2992.5,9.67745,1.0,mobilenet_v3_small.onnx
15817.816,51.111965000000005,18.0,30947.354999999996,99.99994820000003,73.0,4966.55,16.04838,14.0,436.06300000000005,1.4090474,10.0,611.1790000000001,1.9748993000000001,9.0,361.221,1.1672115,9.0,1482.8509999999999,4.791525,5.0,3166.4049999999997,10.23158,6.0,1106.07,3.57404,1.0,2999.2,9.6913,1.0,mobilenet_v3_small.onnx
15697.074,50.912411000000006,18.0,30831.517000000003,99.99999429999997,73.0,4975.144999999999,16.1365635,14.0,439.51700000000005,1.4255448999999998,10.0,613.654,1.9903462,9.0,362.234,1.1748827,9.0,1488.201,4.826886,5.0,3153.5820000000003,10.228430000000001,6.0,1102.95,3.57735,1.0,2999.16,9.72758,1.0,mobilenet_v3_small.onnx
15488.358999999999,50.52824,18.0,30652.878,99.99998099999998,73.0,4976.483000000001,16.2349535,14.0,445.82000000000005,1.4544148000000001,10.0,611.922,1.9962962000000002,9.0,366.619,1.1960345,9.0,1483.301,4.8390320000000004,5.0,3170.714,10.34393,6.0,1108.16,3.61519,1.0,3001.5,9.79189,1.0,mobilenet_v3_small.onnx
15759.929000000002,50.988882,18.0,30908.545999999984,99.99998040000001,73.0,4990.781000000001,16.1469432,14.0,438.678,1.4192774000000001,10.0,611.4549999999999,1.9782696,9.0,361.09700000000004,1.1682751999999996,9.0,1477.3039999999999,4.779593,5.0,3154.382,10.205519999999998,6.0,1100.22,3.5596,1.0,3014.7,9.75362,1.0,mobilenet_v3_small.onnx
