aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddaddnnrelu,aggregated_count_nnconv2dnnbiasaddaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
2046413.2199999997,81.75222549999998,101.0,2503189.4409999996,99.99999969999999,158.0,979.907,0.0391463,1.0,105849.90000000001,4.228604,4.0,347603.4099999999,13.886422999999999,50.0,140.474,0.0056118,1.0,2202.53,0.0879891,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2052222.46,81.81221649999999,101.0,2508454.746,99.99999678999995,158.0,984.942,0.0392649,1.0,106023.11,4.226630999999999,4.0,346896.02999999997,13.82907,50.0,139.924,0.00557809,1.0,2188.28,0.0872363,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2051124.29,81.82597019999999,101.0,2506691.1399999997,99.99999733000003,158.0,979.356,0.0390697,1.0,105658.93,4.215077,4.0,346567.89999999997,13.825706000000002,50.0,141.664,0.00565143,1.0,2219.0,0.088523,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2048491.8899999992,81.7770811,101.0,2504970.5559999994,99.99999241999998,158.0,979.877,0.0391173,1.0,106587.84,4.255055,4.0,346592.55000000005,13.836187,50.0,137.769,0.00549982,1.0,2180.63,0.0870522,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2054879.549999999,81.8216216,101.0,2511413.8239999977,100.00000903,158.0,974.425,0.0387999,1.0,106342.45,4.234375,4.0,346875.07000000007,13.811944999999998,50.0,140.459,0.00559283,1.0,2201.87,0.0876747,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
2046977.6500000004,81.77867250000003,101.0,2503070.9120000014,100.00002123000002,158.0,972.84,0.0388659,1.0,106935.81,4.272181,4.0,345833.06,13.816354999999996,50.0,141.692,0.00566073,1.0,2209.86,0.0882861,1.0,resnet152.onnx
0.0,nan,101.0,0.0,nan,158.0,0.0,nan,1.0,0.0,nan,4.0,0.0,nan,50.0,0.0,nan,1.0,0.0,nan,1.0,resnet152.onnx
