aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasaddaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddaddnnrelu,aggregated_count_nnconv2dnnbiasaddaddnnrelu,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
682038.1000000001,62.546389,17.0,1090450.7760000003,99.99994463,39.0,982.8,0.0901279,1.0,401045.1,36.777910000000006,16.0,5023.16,0.460651,3.0,43.506,0.00398973,1.0,1318.11,0.120877,1.0,resnet34.onnx
678650.0999999999,62.362275,17.0,1088237.801,99.99992636000002,39.0,980.412,0.0900916,1.0,402516.0999999999,36.98783,16.0,4742.79,0.435823,3.0,41.209,0.00378676,1.0,1307.19,0.12012,1.0,resnet34.onnx
681042.8999999998,62.667849,17.0,1086750.3169999998,100.00002074,39.0,976.175,0.0898252,1.0,398560.50000000006,36.67453,16.0,4826.59,0.444131,3.0,40.922,0.00376554,1.0,1303.23,0.11992,1.0,resnet34.onnx
590306.26,58.93602100000001,17.0,1001604.5419999999,99.99994930000003,39.0,982.664,0.0981089,1.0,404248.6,40.36009,16.0,4727.98,0.47203999999999996,3.0,39.958,0.0039894,1.0,1299.08,0.1297,1.0,resnet34.onnx
681245.9,62.48538500000001,17.0,1090247.7980000002,99.99996782000001,39.0,976.711,0.0895861,1.0,401684.9,36.843450000000004,16.0,5014.36,0.45993,3.0,43.367,0.00397772,1.0,1282.56,0.117639,1.0,resnet34.onnx
682901.3999999999,62.454252999999994,17.0,1093442.449,100.00002943999999,39.0,981.618,0.0897732,1.0,403250.89999999997,36.879059999999996,16.0,4973.89,0.454884,3.0,42.461,0.00388324,1.0,1292.18,0.118176,1.0,resnet34.onnx
680258.7800000001,62.55401400000001,17.0,1087472.865,99.99994689,39.0,982.004,0.0903015,1.0,399900.8,36.77343,16.0,4993.2,0.459156,3.0,41.611,0.00382639,1.0,1296.47,0.119219,1.0,resnet34.onnx
590582.4,58.973470000000006,17.0,1001436.6510000001,99.99998161,39.0,981.13,0.0979723,1.0,403437.99999999994,40.28595,16.0,5094.92,0.508761,3.0,40.341,0.00402831,1.0,1299.86,0.1298,1.0,resnet34.onnx
679330.7599999999,62.506661000000015,17.0,1086813.882,100.00001503999997,39.0,979.706,0.0901448,1.0,400283.5999999999,36.83091,16.0,4875.200000000001,0.44857800000000003,3.0,43.486,0.00400124,1.0,1301.13,0.11972,1.0,resnet34.onnx
678231.7,62.331461000000004,17.0,1088104.004,99.99997399,39.0,979.401,0.0900099,1.0,402758.9,37.014770000000006,16.0,4779.950000000001,0.439291,3.0,41.893,0.00385009,1.0,1312.16,0.120592,1.0,resnet34.onnx
