aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddaddnnrelu,aggregated_count_nnconv2dnnbiasaddaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
7684770.930000002,93.33875930000004,67.0,8233205.325000003,100.00000631999998,107.0,973.788,0.0118276,1.0,107392.35,1.30438,4.0,437822.7,5.317765,33.0,141.687,0.00172092,1.0,2103.87,0.0255535,1.0,wide_resnet101_2.onnx
7583990.890000001,93.27291870000002,67.0,8130967.516000002,99.99999690000003,107.0,980.224,0.0120554,1.0,105502.44,1.297538,4.0,438240.40000000014,5.389768999999999,33.0,142.812,0.0017564,1.0,2110.75,0.0259594,1.0,wide_resnet101_2.onnx
7688877.130000002,93.34872069999999,67.0,8236725.952000003,100.00001252000004,107.0,980.087,0.011899,1.0,106145.81,1.288688,4.0,438460.8,5.3232409999999994,33.0,140.965,0.00171142,1.0,2121.16,0.0257524,1.0,wide_resnet101_2.onnx
7246048.579999998,92.97246649999997,67.0,7793760.877999999,100.00003987999995,107.0,974.371,0.0125019,1.0,106483.64000000001,1.366268,4.0,438005.19999999995,5.619946,33.0,140.847,0.00180718,1.0,2108.24,0.0270503,1.0,wide_resnet101_2.onnx
7695544.649999999,93.34924230000001,67.0,8243818.0249999985,99.99996454000001,107.0,972.37,0.0117951,1.0,108317.11,1.31392,4.0,436744.70000000007,5.297844999999999,33.0,141.335,0.00171444,1.0,2097.86,0.0254477,1.0,wide_resnet101_2.onnx
7604201.04,93.2697736,67.0,8152909.597,99.99999125999996,107.0,980.493,0.0120263,1.0,107741.91,1.321516,4.0,437728.0999999999,5.3689789999999995,33.0,139.224,0.00170766,1.0,2118.83,0.0259887,1.0,wide_resnet101_2.onnx
7689000.989999995,93.35843679999998,67.0,8235998.207999994,99.99997870999997,107.0,974.898,0.011837,1.0,106305.52,1.290743,4.0,437472.5,5.311712000000001,33.0,141.66,0.00172001,1.0,2102.64,0.0255299,1.0,wide_resnet101_2.onnx
7230837.849999999,92.96363909999997,67.0,7778132.414999999,99.99996585999995,107.0,979.152,0.0125885,1.0,105589.29000000001,1.357516,4.0,438479.0,5.637332000000001,33.0,139.093,0.00178826,1.0,2108.03,0.027102,1.0,wide_resnet101_2.onnx
7683803.6,93.3534724,67.0,8230870.418000001,99.99999733,107.0,977.055,0.0118706,1.0,106067.04000000001,1.288649,4.0,437782.5000000002,5.318788,33.0,141.993,0.00172513,1.0,2098.23,0.0254922,1.0,wide_resnet101_2.onnx
7582603.760000002,93.26466370000006,67.0,8130199.921000002,100.00000057000005,107.0,978.257,0.0120324,1.0,105495.68,1.2975789999999998,4.0,438911.5,5.398534,33.0,138.894,0.00170837,1.0,2071.83,0.0254831,1.0,wide_resnet101_2.onnx
7712220.8599999985,93.38997259999998,67.0,8258082.567999999,99.99999983999997,107.0,976.822,0.0118287,1.0,105997.72,1.283562,4.0,436634.4,5.287357000000001,33.0,144.396,0.00174854,1.0,2108.37,0.025531,1.0,wide_resnet101_2.onnx
7240219.369999998,92.93725879999998,67.0,7790435.656999999,99.99997300999995,107.0,978.761,0.0125636,1.0,108239.65,1.3893909999999998,4.0,438737.2,5.631741000000001,33.0,139.356,0.00178881,1.0,2121.32,0.0272298,1.0,wide_resnet101_2.onnx
7690677.629999998,93.37043129999998,67.0,8236737.855999996,99.99999866999997,107.0,979.834,0.0118959,1.0,106516.01000000001,1.293182,4.0,436321.3999999999,5.297258,33.0,141.612,0.00171927,1.0,2101.37,0.0255122,1.0,wide_resnet101_2.onnx
7588652.939999999,93.27563110000003,67.0,8135730.979,100.00001775000008,107.0,983.085,0.0120835,1.0,106024.85,1.3032,4.0,437824.30000000005,5.381499000000001,33.0,141.444,0.00173855,1.0,2104.36,0.0258656,1.0,wide_resnet101_2.onnx
7695062.109999999,93.33524910000001,67.0,8244540.271,100.00000035000005,107.0,977.975,0.0118621,1.0,107822.70999999999,1.307807,4.0,438433.80000000005,5.317867999999999,33.0,141.926,0.00172145,1.0,2101.75,0.0254927,1.0,wide_resnet101_2.onnx
7244589.009999999,92.97672689999997,67.0,7791828.689999999,99.99997640999995,107.0,973.069,0.0124883,1.0,106276.15000000001,1.363944,4.0,437733.00000000006,5.617845,33.0,139.381,0.00178881,1.0,2118.08,0.0271834,1.0,wide_resnet101_2.onnx
7687268.740000001,93.33611219999999,67.0,8236114.818,100.00000275999994,107.0,978.599,0.0118818,1.0,107812.9,1.309026,4.0,437810.49999999994,5.315735999999999,33.0,142.819,0.00173406,1.0,2101.26,0.0255127,1.0,wide_resnet101_2.onnx
7581846.280000002,93.2587885,67.0,8129899.494000003,99.9999895,107.0,977.608,0.0120248,1.0,107565.34,1.323083,4.0,437278.10000000003,5.3786369999999994,33.0,140.176,0.0017242,1.0,2091.99,0.025732,1.0,wide_resnet101_2.onnx
7698474.289999998,93.37681949999995,67.0,8244523.806,99.99999938,107.0,978.373,0.0118669,1.0,104968.59,1.273192,4.0,437874.3000000001,5.311094,33.0,140.403,0.00170298,1.0,2087.85,0.025324,1.0,wide_resnet101_2.onnx
7246627.650000002,92.96271189999999,67.0,7795202.296000001,100.00004885999998,107.0,978.448,0.0125519,1.0,106789.93999999999,1.369945,4.0,438553.6,5.625942000000001,33.0,143.818,0.00184496,1.0,2108.84,0.0270531,1.0,wide_resnet101_2.onnx
7685784.980000002,93.36089759999996,67.0,8232337.753000002,99.99999668999992,107.0,978.555,0.0118867,1.0,105669.90000000001,1.283595,4.0,437645.0,5.316173,33.0,143.118,0.00173849,1.0,2116.2,0.0257059,1.0,wide_resnet101_2.onnx
7595552.960000001,93.27315809999997,67.0,8143342.625000001,99.99999950000002,107.0,978.223,0.0120126,1.0,106009.7,1.301795,4.0,438555.5,5.385449999999999,33.0,139.992,0.0017191,1.0,2106.25,0.0258647,1.0,wide_resnet101_2.onnx
7703390.469999998,93.35895050000002,67.0,8251368.556,100.00001081999999,107.0,977.952,0.011852,1.0,106400.66,1.289491,4.0,438362.5,5.312607000000001,33.0,139.904,0.00169552,1.0,2097.07,0.0254148,1.0,wide_resnet101_2.onnx
7235419.510000003,92.98423520000001,67.0,7781337.725000002,99.99997554,107.0,976.78,0.0125529,1.0,105189.95999999999,1.3518240000000001,4.0,437507.3,5.6225229999999975,33.0,139.865,0.00179744,1.0,2104.31,0.027043,1.0,wide_resnet101_2.onnx
7688903.3100000005,93.3579604,67.0,8235937.109999999,99.99999804,107.0,979.866,0.0118974,1.0,106843.70000000001,1.297288,4.0,436956.6999999999,5.30549,33.0,141.134,0.00171364,1.0,2112.4,0.0256486,1.0,wide_resnet101_2.onnx
7598802.88,93.2765161,67.0,8146534.643,100.00000940000001,107.0,977.214,0.0119955,1.0,105157.11000000002,1.2908210000000002,4.0,439347.3000000001,5.393056000000001,33.0,141.929,0.0017422,1.0,2108.21,0.0258786,1.0,wide_resnet101_2.onnx
7692978.510000002,93.33304749999998,67.0,8242502.580000003,100.0000048,107.0,981.99,0.0119137,1.0,107759.41,1.307363,4.0,438515.10000000003,5.32017,33.0,143.7,0.0017434,1.0,2123.87,0.0257672,1.0,wide_resnet101_2.onnx
7235283.8,92.9542612,67.0,7783703.672000001,100.00000849999998,107.0,977.623,0.0125599,1.0,107559.25,1.381853,4.0,437645.70000000007,5.622590999999998,33.0,141.959,0.0018238,1.0,2095.34,0.0269196,1.0,wide_resnet101_2.onnx
7687452.549999999,93.32960849999998,67.0,8236884.932999999,100.00000345999997,107.0,974.601,0.0118322,1.0,107465.48,1.304687,4.0,438745.30000000005,5.326596000000002,33.0,137.182,0.00166546,1.0,2109.82,0.0256143,1.0,wide_resnet101_2.onnx
7577883.56,93.24953360000002,67.0,8126457.769999998,100.00000178,107.0,978.646,0.0120427,1.0,107161.11000000002,1.318667,4.0,438187.69999999995,5.392111,33.0,141.334,0.00173918,1.0,2105.42,0.0259083,1.0,wide_resnet101_2.onnx
7692134.53,93.34039559999997,67.0,8240947.611999999,99.99998333999994,107.0,978.668,0.0118757,1.0,106703.78,1.2948,4.0,438866.0999999999,5.325432999999998,33.0,141.294,0.00171454,1.0,2123.24,0.0257645,1.0,wide_resnet101_2.onnx
7230464.079999999,92.94993550000004,67.0,7778883.529,100.00003829000006,107.0,978.875,0.0125837,1.0,107246.42,1.3786859999999999,4.0,437935.00000000006,5.629791000000002,33.0,141.474,0.00181869,1.0,2117.68,0.0272234,1.0,wide_resnet101_2.onnx
7696523.309999998,93.3657929,67.0,8243408.075,100.00000356999992,107.0,979.089,0.0118772,1.0,105180.32,1.275933,4.0,438479.39999999997,5.319155000000001,33.0,142.666,0.00173067,1.0,2103.29,0.0255148,1.0,wide_resnet101_2.onnx
7590054.02,93.27192820000005,67.0,8137554.801,100.00000486000009,107.0,979.939,0.0120422,1.0,105755.83,1.2996020000000001,4.0,438499.3999999999,5.388591,33.0,141.582,0.00173986,1.0,2124.03,0.0261016,1.0,wide_resnet101_2.onnx
7688661.410000003,93.3303328,67.0,8238117.158,100.00000948999998,107.0,976.725,0.0118562,1.0,106901.95999999999,1.297649,4.0,439211.1999999999,5.331453,33.0,155.263,0.00188469,1.0,2210.6,0.0268338,1.0,wide_resnet101_2.onnx
7233542.959999999,92.9673509,67.0,7780732.858999999,99.99998091999998,107.0,976.048,0.0125444,1.0,106878.79000000001,1.373634,4.0,437090.19999999995,5.6175999999999995,33.0,138.491,0.00177992,1.0,2106.37,0.0270717,1.0,wide_resnet101_2.onnx
7695800.879999999,93.35928879999997,67.0,8243209.581999998,100.00000869000002,107.0,978.5,0.0118704,1.0,107494.35999999999,1.3040349999999998,4.0,436690.0999999999,5.297571,33.0,143.332,0.00173879,1.0,2102.41,0.0255047,1.0,wide_resnet101_2.onnx
7579985.660000003,93.25393780000002,67.0,8128328.054000003,100.00000425000002,107.0,976.982,0.0120195,1.0,106950.69,1.3157780000000001,4.0,438156.6,5.3904879999999995,33.0,139.332,0.00171415,1.0,2118.79,0.0260668,1.0,wide_resnet101_2.onnx
7692879.69,93.37861989999999,67.0,8238373.503000001,99.99999523,107.0,977.746,0.0118682,1.0,104145.77000000002,1.2641550000000001,4.0,438105.8,5.317864999999999,33.0,141.167,0.00171353,1.0,2123.33,0.0257736,1.0,wide_resnet101_2.onnx
