aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
1264405.6,64.6491,5.0,1955795.9170000001,99.99988698300002,12.0,466.32599999999996,0.02384332,3.0,11.161,0.000570663,1.0,684744.0,35.01096,2.0,6168.83,0.315413,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1279050.6,64.99604,5.0,1967889.727,100.00003631300001,12.0,467.56600000000003,0.023759810000000003,3.0,10.361,0.000526503,1.0,682208.0,34.66703,2.0,6153.2,0.31268,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1262527.2,64.83466,5.0,1947301.553,99.999974894,12.0,461.593,0.023704279999999998,3.0,11.17,0.000573614,1.0,678132.0,34.82421,2.0,6169.59,0.316827,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1260749.5,64.69073,5.0,1948888.566,100.00001748399998,12.0,461.59400000000005,0.02368498,3.0,10.222,0.000524504,1.0,681509.0,34.96909,2.0,6158.25,0.315988,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1250227.9,64.51491,5.0,1937889.768,99.999971893,12.0,465.68600000000004,0.02403054,3.0,10.142,0.000523353,1.0,681023.0,35.14248,2.0,6163.04,0.318028,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1291054.1,65.10455,5.0,1983046.1030000001,99.999957188,12.0,463.979,0.02339731,3.0,10.944,0.000551878,1.0,685355.0,34.56072,2.0,6162.08,0.310738,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1247600.3,64.47977,5.0,1934871.828,100.00007599000001,12.0,463.863,0.023973869999999998,3.0,10.915,0.00056412,1.0,680635.0,35.17731,2.0,6161.75,0.318458,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1285109.3,65.0863,5.0,1974472.469,100.000058275,12.0,465.448,0.02357332,3.0,10.681,0.000540955,1.0,682728.0,34.577709999999996,2.0,6159.04,0.311934,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
1259869.1,64.79173999999999,5.0,1944490.2489999998,99.99997601,12.0,461.968,0.0237578,3.0,10.271,0.00052821,1.0,678002.0,34.86783,2.0,6146.91,0.31612,1.0,alexnet.onnx
0.0,nan,5.0,0.0,nan,12.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,alexnet.onnx
