aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransform,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransform,aggregated_count_nncontribconv2dwinogradwithoutweighttransform,aggregated_duration_concatenateaddnnrelu,aggregated_percentage_concatenateaddnnrelu,aggregated_count_concatenateaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
557494.1010000004,48.556611100000005,99.0,1148130.9209999992,99.99995549999996,311.0,981.101,0.0854521,1.0,41067.085999999996,3.5768668999999993,95.0,457397.44299999985,39.83844740000003,98.0,3749.945,0.3266136,7.0,79908.20000000001,6.959849999999999,3.0,1015.8779999999999,0.08848110000000001,3.0,537.002,0.046771799999999995,3.0,133.085,0.0115915,1.0,5847.08,0.50927,1.0,densenet201.onnx
559216.3870000002,48.64625770000001,99.0,1149556.1539999996,99.99997904000001,311.0,983.139,0.0855234,1.0,41113.431,3.576462840000001,95.0,454993.85399999993,39.57996160000003,98.0,3751.544,0.3263477,7.0,81955.5,7.129320000000001,3.0,1017.2740000000001,0.0884928,3.0,536.136,0.0466385,3.0,129.469,0.0112625,1.0,5859.42,0.509712,1.0,densenet201.onnx
559413.5399999998,48.76824069999999,99.0,1147086.0009999995,100.00002621999991,311.0,980.258,0.0854564,1.0,41109.15,3.583790719999999,95.0,454735.3090000002,39.64266430000003,98.0,3747.133,0.3266659,7.0,79552.79999999999,6.93521,3.0,1016.7639999999999,0.088639,3.0,543.478,0.047379000000000004,3.0,133.729,0.0116582,1.0,5853.84,0.510322,1.0,densenet201.onnx
554766.8050000002,48.529060100000024,99.0,1143165.3339999993,100.00003854999996,311.0,982.458,0.0859419,1.0,41121.016,3.597117049999999,95.0,453966.6020000003,39.711352899999966,98.0,3754.6639999999998,0.32844419999999996,7.0,81026.0,7.087870000000001,3.0,1011.1869999999999,0.088455,3.0,543.953,0.047583,3.0,131.309,0.0114864,1.0,5861.34,0.512728,1.0,densenet201.onnx
559908.6749999996,48.62727260000001,99.0,1151428.338999999,99.99998246000008,311.0,979.609,0.0850777,1.0,41106.225000000006,3.5700205599999997,95.0,455826.08599999995,39.587892700000005,98.0,3766.192,0.327089,7.0,82294.4,7.14717,3.0,1017.576,0.0883752,3.0,537.833,0.046710100000000004,3.0,130.613,0.0113436,1.0,5861.13,0.509031,1.0,densenet201.onnx
558640.6750000002,48.76548950000003,99.0,1145564.254999999,99.99995850999998,311.0,978.154,0.0853862,1.0,41092.330999999984,3.5870815099999995,95.0,453884.9990000001,39.62109200000001,98.0,3749.46,0.32730309999999996,7.0,79696.09999999999,6.95694,3.0,1010.613,0.0882197,3.0,535.85,0.0467761,3.0,131.653,0.0114924,1.0,5844.42,0.510178,1.0,densenet201.onnx
561244.062,48.56327509999999,99.0,1155696.263000001,99.99997498000002,311.0,981.123,0.0848946,1.0,41107.142000000014,3.556916779999999,95.0,456212.1050000002,39.47507619999997,98.0,3750.2629999999995,0.3245026,7.0,84964.1,7.3517600000000005,3.0,1012.559,0.0876147,3.0,538.87,0.046627299999999997,3.0,130.879,0.0113247,1.0,5755.16,0.497983,1.0,densenet201.onnx
553853.0179999999,48.56427480000001,99.0,1140452.782,99.99999413999986,311.0,978.786,0.0858244,1.0,41140.12599999998,3.6073516399999996,95.0,453203.52499999997,39.738928200000004,98.0,3768.282,0.33042010000000005,7.0,79973.1,7.01241,3.0,1016.921,0.0891682,3.0,536.639,0.047054900000000004,3.0,131.505,0.0115309,1.0,5850.88,0.513031,1.0,densenet201.onnx
559414.416,48.4826779,99.0,1153843.2770000014,99.99995703999994,311.0,981.674,0.0850786,1.0,41115.99899999999,3.5633949400000007,95.0,457446.1849999999,39.64541970000001,98.0,3740.66,0.3241911,7.0,83609.79999999999,7.2462,3.0,1013.3149999999999,0.0878208,3.0,540.8340000000001,0.0468725,3.0,132.144,0.0114525,1.0,5848.25,0.506849,1.0,densenet201.onnx
558258.0910000001,48.80884329999998,99.0,1143764.6860000002,99.99999852000006,311.0,980.785,0.0857506,1.0,41031.668,3.58742172,95.0,452513.2889999998,39.563482899999975,98.0,3749.3050000000003,0.32780390000000004,7.0,79701.4,6.96833,3.0,1017.525,0.0889628,3.0,544.115,0.0475723,3.0,131.098,0.011462,1.0,5837.41,0.510369,1.0,densenet201.onnx
