aggregated_duration_takeexpanddimsmultiplyaddtakeexpanddimsmultiplyaddtakeexpanddieeca615eab0a1db9,aggregated_percentage_takeexpanddimsmultiplyaddtakeexpanddimsmultiplyaddtakeexpanddieeca615eab0a1db9,aggregated_count_takeexpanddimsmultiplyaddtakeexpanddimsmultiplyaddtakeexpanddieeca615eab0a1db9,total_duration,total_percentage,total_count,aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
224.83,0.0202028,1.0,1112866.9159999997,100.00007873000001,82.0,1102779.053,99.09360480000001,57.0,4836.539000000001,0.43460139999999997,13.0,1734.583,0.15586608,9.0,77.741,0.00698565,1.0,3214.17,0.288818,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
225.227,0.021825,1.0,1031966.9720000004,99.99996228999998,82.0,1021887.7660000005,99.02326379999997,57.0,4823.148999999999,0.4673744000000001,13.0,1727.4320000000002,0.16739222,9.0,76.808,0.00744287,1.0,3226.59,0.312664,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
225.971,0.0202747,1.0,1114545.9330000002,99.99999559999999,82.0,1104501.985,99.09882640000001,57.0,4808.155999999999,0.4314003,13.0,1734.285,0.15560463000000002,9.0,73.076,0.00655657,1.0,3202.46,0.287333,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
224.602,0.0218178,1.0,1029443.5750000002,100.00006264000001,82.0,1019384.2170000002,99.0228989,57.0,4821.697999999999,0.468379,13.0,1735.9749999999997,0.16863233000000002,9.0,74.713,0.00725761,1.0,3202.37,0.311077,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
228.27,0.0205333,1.0,1111709.2849999992,99.99992351999995,82.0,1101655.1609999996,99.09553909999997,57.0,4821.333,0.43368660000000003,13.0,1734.692,0.15603838000000003,9.0,73.819,0.00664014,1.0,3196.01,0.287486,1.0,googlenet.onnx
0.0,nan,1.0,0.0,nan,82.0,0.0,nan,57.0,0.0,nan,13.0,0.0,nan,9.0,0.0,nan,1.0,0.0,nan,1.0,googlenet.onnx
