aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnconv2daddadd,aggregated_percentage_nnconv2daddadd,aggregated_count_nnconv2daddadd,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
52498.869000000006,64.22856699999998,35.0,81737.62099999998,100.00000099999997,54.0,7356.234999999999,8.999793,7.0,18333.550000000003,22.429738,10.0,89.137,0.109053,1.0,3459.83,4.23285,1.0,mnasnet0_75.onnx
52405.74399999999,64.205923,35.0,81621.41100000001,100.00002299999998,54.0,7402.863,9.069755,7.0,18254.698,22.365064,10.0,91.066,0.111571,1.0,3467.04,4.24771,1.0,mnasnet0_75.onnx
52523.638,64.27341799999999,35.0,81719.06199999999,99.99995200000002,54.0,7364.835000000001,9.01237,7.0,18285.88,22.376485,10.0,91.549,0.112029,1.0,3453.16,4.22565,1.0,mnasnet0_75.onnx
53117.183,64.53872299999999,35.0,82302.87299999999,100.00000899999996,54.0,7343.322,8.922302,7.0,18290.457000000002,22.223335000000002,10.0,89.701,0.108989,1.0,3462.21,4.20666,1.0,mnasnet0_75.onnx
52465.779,64.519213,35.0,81318.06500000002,99.99998699999998,54.0,7424.335000000001,9.129974,7.0,17876.902000000002,21.983931000000002,10.0,92.799,0.114119,1.0,3458.25,4.25275,1.0,mnasnet0_75.onnx
52299.51900000001,64.39484699999998,35.0,81216.98700000002,100.00002,54.0,7350.212999999999,9.050098,7.0,18026.457000000002,22.195398999999995,10.0,90.838,0.111846,1.0,3449.96,4.24783,1.0,mnasnet0_75.onnx
52410.52100000001,64.19333599999997,35.0,81644.902,100.00006599999998,54.0,7359.481,9.014015,7.0,18325.506999999998,22.445366000000003,10.0,88.853,0.108829,1.0,3460.54,4.23852,1.0,mnasnet0_75.onnx
53223.42399999999,64.77139700000001,35.0,82171.213,100.00002100000003,54.0,7344.844999999999,8.938459,7.0,18055.216,21.972679,10.0,90.188,0.109756,1.0,3457.54,4.20773,1.0,mnasnet0_75.onnx
52430.54799999998,64.276566,35.0,81570.14599999994,99.99993800000004,54.0,7363.618,9.02735,7.0,18229.508,22.348262000000002,10.0,90.722,0.11122,1.0,3455.75,4.23654,1.0,mnasnet0_75.onnx
52292.15299999999,64.62379199999998,35.0,80917.79400000001,100.000012,54.0,7416.988,9.166088,7.0,17660.621,21.825401999999997,10.0,93.282,0.11528,1.0,3454.75,4.26945,1.0,mnasnet0_75.onnx
52455.284999999996,64.2313,35.0,81666.19299999997,99.99995300000002,54.0,7367.808999999999,9.021859,7.0,18293.727,22.400598,10.0,90.042,0.110256,1.0,3459.33,4.23594,1.0,mnasnet0_75.onnx
53251.008000000016,64.536805,35.0,82512.584,99.99995100000001,54.0,7347.185,8.90431,7.0,18368.775,22.261777,10.0,92.496,0.112099,1.0,3453.12,4.18496,1.0,mnasnet0_75.onnx
52354.71000000001,64.18248899999999,35.0,81571.69100000002,100.00000999999999,54.0,7367.4529999999995,9.031861999999999,7.0,18290.057,22.422053,10.0,89.261,0.109426,1.0,3470.21,4.25418,1.0,mnasnet0_75.onnx
52339.18500000003,64.28133700000001,35.0,81422.04000000001,99.99999499999998,54.0,7358.780999999999,9.037823,7.0,18177.546,22.325105,10.0,90.028,0.11057,1.0,3456.5,4.24516,1.0,mnasnet0_75.onnx
52409.11899999999,64.28566699999999,35.0,81525.363,99.99999299999999,54.0,7365.409,9.034484,7.0,18201.698,22.326422,10.0,87.607,0.10746,1.0,3461.53,4.24596,1.0,mnasnet0_75.onnx
53238.971000000005,64.572864,35.0,82447.93699999999,100.00001300000002,54.0,7336.174,8.897937,7.0,18324.897,22.226024,10.0,90.765,0.110088,1.0,3457.13,4.1931,1.0,mnasnet0_75.onnx
52371.891999999985,64.25077399999999,35.0,81511.69499999999,100.00000300000002,54.0,7340.264999999999,9.005163,7.0,18253.454999999998,22.393666000000003,10.0,90.543,0.11108,1.0,3455.54,4.23932,1.0,mnasnet0_75.onnx
52295.943000000014,64.394159,35.0,81212.20899999999,99.999954,54.0,7346.213000000001,9.045679,7.0,18024.361,22.194148999999996,10.0,88.072,0.108447,1.0,3457.62,4.25752,1.0,mnasnet0_75.onnx
52428.18200000001,64.261553,35.0,81585.637,99.99999700000001,54.0,7339.509,8.996083,7.0,18273.878,22.398381,10.0,92.518,0.1134,1.0,3451.55,4.23058,1.0,mnasnet0_75.onnx
53309.596999999994,64.61445199999997,35.0,82504.15599999999,100.000009,54.0,7362.3679999999995,8.923636,7.0,18286.427,22.164244,10.0,91.594,0.111017,1.0,3454.17,4.18666,1.0,mnasnet0_75.onnx
52370.437,64.22608100000001,35.0,81540.767,100.00001600000002,54.0,7349.731,9.013574,7.0,18287.401,22.427309,10.0,91.368,0.112052,1.0,3441.83,4.221,1.0,mnasnet0_75.onnx
52380.047000000006,64.27009999999999,35.0,81499.84400000004,99.99996199999998,54.0,7396.863,9.075923,7.0,18174.367,22.299864,10.0,92.767,0.113825,1.0,3455.8,4.24025,1.0,mnasnet0_75.onnx
52504.170999999995,64.37877600000002,35.0,81555.01900000001,99.99997600000002,54.0,7363.166,9.028465,7.0,18142.235999999997,22.245417,10.0,90.826,0.111368,1.0,3454.62,4.23595,1.0,mnasnet0_75.onnx
53133.36600000001,64.632073,35.0,82209.02799999998,100.00002800000001,54.0,7344.823999999999,8.93433,7.0,18168.4,22.100239000000002,10.0,90.928,0.110606,1.0,3471.51,4.22278,1.0,mnasnet0_75.onnx
52480.559,64.52227,35.0,81337.151,100.000052,54.0,7386.661,9.081555999999999,7.0,17923.304,22.035826,10.0,90.447,0.1112,1.0,3456.18,4.2492,1.0,mnasnet0_75.onnx
52369.418000000005,64.07660900000002,35.0,81729.43000000001,100.00005500000002,54.0,7395.4800000000005,9.048744,7.0,18425.753,22.544826999999998,10.0,90.119,0.110265,1.0,3448.66,4.21961,1.0,mnasnet0_75.onnx
52389.75200000001,64.495449,35.0,81230.11099999999,99.99997399999997,54.0,7354.722,9.054181999999999,7.0,17924.537,22.066375,10.0,90.05,0.110858,1.0,3471.05,4.27311,1.0,mnasnet0_75.onnx
53229.899999999994,64.79776899999999,35.0,82147.70199999999,99.99998,54.0,7361.990999999999,8.961905999999999,7.0,18012.761,21.927280999999997,10.0,92.05,0.112054,1.0,3451.0,4.20097,1.0,mnasnet0_75.onnx
52406.19800000001,64.42046099999999,35.0,81350.247,100.00001599999997,54.0,7363.6900000000005,9.051839000000001,7.0,18026.401,22.159004,10.0,91.708,0.112732,1.0,3462.25,4.25598,1.0,mnasnet0_75.onnx
