aggregated_duration_nnconv2daddclip,aggregated_percentage_nnconv2daddclip,aggregated_count_nnconv2daddclip,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnconv2daddadd,aggregated_percentage_nnconv2daddadd,aggregated_count_nnconv2daddadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
50444.849999999984,55.89334900000001,35.0,90251.97600000001,100.00000099999998,54.0,14807.677,16.407044,7.0,21466.596,23.785173,10.0,90.473,0.100245,1.0,3442.38,3.81419,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50372.56399999999,56.678388,35.0,88874.36599999998,100.00001,54.0,13749.735,15.470999,7.0,21219.275,23.875583000000002,10.0,90.332,0.10164,1.0,3442.46,3.8734,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50633.615999999995,56.41880899999999,35.0,89745.94899999996,99.99999600000001,54.0,14755.002,16.440867,7.0,20822.498,23.201609,10.0,92.053,0.102571,1.0,3442.78,3.83614,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50413.585,55.80861499999999,35.0,90333.00700000001,100.00003099999999,54.0,15098.596000000001,16.714370000000002,7.0,21300.398999999998,23.579870999999997,10.0,92.307,0.102185,1.0,3428.12,3.79499,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50566.419,56.01910000000001,35.0,90266.33900000002,99.99998400000003,54.0,14831.202,16.430498,7.0,21333.539999999997,23.634,10.0,89.008,0.098606,1.0,3446.17,3.81778,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50389.70399999999,55.68225800000002,35.0,90495.09500000002,100.000018,54.0,15156.678,16.748627000000003,7.0,21409.075,23.657719999999998,10.0,92.588,0.102313,1.0,3447.05,3.8091,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50438.372999999985,55.822397,35.0,90355.07299999997,99.99999670000001,54.0,15003.14,16.604644,7.0,21377.431,23.659364999999998,10.0,89.669,0.0992407,1.0,3446.46,3.81435,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50548.162,55.801687,35.0,90585.34499999997,100.000006,54.0,15121.925,16.693578000000002,7.0,21385.025999999998,23.607604999999996,10.0,92.982,0.102646,1.0,3437.25,3.79449,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50478.411000000015,56.04850099999998,35.0,90062.00200000002,99.99997150000002,54.0,14991.614999999998,16.645859,7.0,21063.511,23.387792,10.0,89.305,0.0991595,1.0,3439.16,3.81866,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50519.856999999996,56.676639000000016,35.0,89136.95199999999,99.99996300000002,54.0,13820.947,15.505289000000001,7.0,21253.515,23.843663,10.0,89.763,0.100702,1.0,3452.87,3.87367,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50481.187000000005,56.12451100000002,35.0,89945.009,99.99999410000004,54.0,14814.556,16.470672,7.0,21117.566,23.478296999999998,10.0,89.49,0.0994941,1.0,3442.21,3.82702,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50400.685,56.80018100000001,35.0,88733.28499999999,99.99998699999999,54.0,13776.568,15.525822999999999,7.0,21021.351,23.69049,10.0,93.341,0.105193,1.0,3441.34,3.8783,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50428.08899999999,56.097957000000015,35.0,89892.95599999995,100.000021,54.0,14900.507000000001,16.575834,7.0,21031.539,23.3962,10.0,90.531,0.10071,1.0,3442.29,3.82932,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50448.310000000005,55.859447,35.0,90312.90599999997,99.99997600000003,54.0,15128.747,16.751482,7.0,21207.558,23.482305000000004,10.0,93.421,0.103442,1.0,3434.87,3.8033,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50559.241,55.99094799999998,35.0,90298.94900000001,99.99998460000002,54.0,15080.123,16.700208999999997,7.0,21115.465000000004,23.383954000000003,10.0,89.95,0.0996136,1.0,3454.17,3.82526,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50537.87800000002,55.939330999999996,35.0,90344.08699999998,100.00002600000002,54.0,15012.448,16.616979999999998,7.0,21260.844,23.533201,10.0,92.877,0.102804,1.0,3440.04,3.80771,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50433.145,55.724456999999994,35.0,90504.49699999999,99.999991,54.0,15086.869999999999,16.669748,7.0,21446.525,23.696638,10.0,89.127,0.098478,1.0,3448.83,3.81067,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50564.45499999999,56.712702,35.0,89158.98800000004,100.0000443,54.0,13767.039,15.441004999999997,7.0,21291.462999999996,23.88035,10.0,88.791,0.0995873,1.0,3447.24,3.8664,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50439.82000000001,55.712550000000014,35.0,90535.841,100.000004,54.0,15155.327000000001,16.739587999999998,7.0,21400.636000000002,23.637753,10.0,91.598,0.101173,1.0,3448.46,3.80894,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
50588.567,56.15923399999999,35.0,90080.62500000001,100.000005,54.0,14782.925,16.410776,7.0,21170.502,23.501707,10.0,90.971,0.100988,1.0,3447.66,3.8273,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
