aggregated_duration_nnconv2daddmultiplyaddclipmultiply,aggregated_percentage_nnconv2daddmultiplyaddclipmultiply,aggregated_count_nnconv2daddmultiplyaddclipmultiply,total_duration,total_percentage,total_count,aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,aggregated_duration_nnconv2daddadd,aggregated_percentage_nnconv2daddadd,aggregated_count_nnconv2daddadd,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nnconv2daddaddclip,aggregated_percentage_nnconv2daddaddclip,aggregated_count_nnconv2daddaddclip,aggregated_duration_squeezeexpanddimsmultiply,aggregated_percentage_squeezeexpanddimsmultiply,aggregated_count_squeezeexpanddimsmultiply,aggregated_duration_squeezeexpanddimsmultiplylayouttransform,aggregated_percentage_squeezeexpanddimsmultiplylayouttransform,aggregated_count_squeezeexpanddimsmultiplylayouttransform,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,aggregated_duration_multiplyaddclipsqueezemultiply,aggregated_percentage_multiplyaddclipsqueezemultiply,aggregated_count_multiplyaddclipsqueezemultiply,label_model_name
27827.337,31.861860999999994,20.0,87337.39499999999,99.99999223999998,82.0,22573.126000000004,25.84589249999999,19.0,19608.199,22.451091,10.0,5196.678,5.950108,5.0,727.957,0.8335001000000001,9.0,1985.132,2.2729476,8.0,334.369,0.38284804,6.0,551.967,0.631994,2.0,6543.42,7.4921299999999995,2.0,1989.21,2.27762,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27970.515999999996,31.891996000000002,20.0,87703.784,99.99998308999994,82.0,22635.327999999998,25.808843800000002,19.0,19753.996,22.523544,10.0,5207.136,5.937189,5.0,732.209,0.8348658999999999,9.0,1988.291,2.2670516999999997,8.0,336.569,0.38375669,6.0,557.249,0.6353759999999999,2.0,6554.12,7.47302,2.0,1968.37,2.24434,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27807.706000000002,31.774586,20.0,87515.56799999998,100.0000074,82.0,22583.233,25.804817400000005,19.0,19766.009,22.585715999999998,10.0,5209.224999999999,5.9523399999999995,5.0,726.9240000000001,0.8306224,9.0,1992.0259999999998,2.2761959,8.0,334.909,0.3826847,6.0,550.2760000000001,0.628775,2.0,6554.74,7.4898,2.0,1990.52,2.27447,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27967.238999999998,31.960063,20.0,87506.837,100.00000344999997,82.0,22615.142999999996,25.8438765,19.0,19572.591,22.366916,10.0,5185.911999999999,5.9262880000000004,5.0,730.7969999999999,0.8351320999999999,9.0,1996.284,2.2812885,8.0,333.86400000000003,0.38152935,6.0,553.087,0.63205,2.0,6558.47,7.49481,2.0,1993.45,2.27805,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27934.391000000003,31.833098000000003,20.0,87752.65899999999,99.99997109999998,82.0,22577.825999999994,25.7289137,19.0,19901.15,22.678675,10.0,5189.852,5.914196,5.0,732.131,0.8343122,9.0,1983.3899999999999,2.2602054000000003,8.0,334.872,0.38160879999999997,6.0,551.457,0.628422,2.0,6558.83,7.474220000000001,2.0,1988.76,2.26632,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27939.679000000004,31.911409000000003,20.0,87553.842,99.99997858999998,82.0,22629.402000000002,25.846262000000007,19.0,19693.407,22.492914000000003,10.0,5164.959,5.899184,5.0,730.028,0.8338049999999999,9.0,1983.479,2.2654391,8.0,334.35800000000006,0.38188849,6.0,549.45,0.627557,2.0,6542.67,7.47273,2.0,1986.41,2.26879,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27971.451999999997,31.914199999999997,20.0,87645.77300000002,100.00000679000003,82.0,22545.655999999995,25.723613200000003,19.0,19843.71,22.640808,10.0,5151.709,5.877881,5.0,731.858,0.8350183,9.0,1976.9209999999998,2.2555807999999997,8.0,335.41600000000005,0.38269549,6.0,551.5809999999999,0.62933,2.0,6550.88,7.474270000000001,2.0,1986.59,2.26661,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27803.214,31.872711999999996,20.0,87232.06,100.00003667000006,82.0,22595.273999999998,25.9025107,19.0,19527.582000000002,22.385797,10.0,5160.478999999999,5.915794,5.0,733.655,0.8410377,9.0,1988.5170000000003,2.2795699,8.0,334.887,0.38390336999999997,6.0,553.6120000000001,0.6346419999999999,2.0,6549.3,7.50791,2.0,1985.54,2.27616,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27763.603999999992,31.819098999999994,20.0,87254.51100000003,100.00000118000001,82.0,22646.143,25.954134099999997,19.0,19535.243,22.388806,10.0,5191.4929999999995,5.949829,5.0,730.5350000000001,0.8372462,9.0,1971.685,2.259694,8.0,336.976,0.38619888,6.0,552.822,0.633574,2.0,6537.21,7.49212,2.0,1988.8,2.2793,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27903.990999999995,31.847751999999996,20.0,87616.76400000001,99.99996091999998,82.0,22582.908000000003,25.774645400000008,19.0,19817.574999999997,22.618474,10.0,5178.29,5.910147,5.0,729.0069999999998,0.8320394,9.0,1978.808,2.2584817,8.0,333.957,0.38115642000000005,6.0,555.548,0.634065,2.0,6550.13,7.47589,2.0,1986.55,2.26731,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
