aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnconv2daddaddnnrelu,aggregated_percentage_nnconv2daddaddnnrelu,aggregated_count_nnconv2daddaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
709156.6,65.02131,20.0,1090651.7480000001,99.99995950000002,56.0,977.408,0.0896169,1.0,168890.37999999995,15.485280999999999,13.0,99533.87,9.126089,4.0,109947.62000000001,10.080911999999998,16.0,141.78,0.0129996,1.0,2004.09,0.183751,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
707041.65,64.788405,20.0,1091307.9209999999,99.99989850000001,56.0,985.707,0.0903234,1.0,172017.48,15.762477999999998,13.0,99347.78,9.103548,4.0,109749.92,10.056723,16.0,137.484,0.0125981,1.0,2027.9,0.185823,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
707416.3099999999,65.03152399999999,20.0,1087805.9009999996,100.00001550000002,56.0,975.916,0.0897142,1.0,168357.14,15.476745999999997,13.0,99423.68,9.139828,4.0,109467.08,10.063107,16.0,139.645,0.0128373,1.0,2026.13,0.186259,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
711827.61,64.921172,20.0,1096448.1339999996,99.9999679,56.0,980.814,0.0894538,1.0,171912.68999999997,15.679072999999999,13.0,99633.2,9.086907,4.0,109918.80999999998,10.024993,16.0,141.86,0.0129381,1.0,2033.15,0.185431,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
707301.42,64.975932,20.0,1088560.3769999999,100.00007129999997,56.0,984.585,0.0904484,1.0,168549.2,15.483668999999999,13.0,99863.91,9.173945999999999,4.0,109696.37000000001,10.077199999999998,16.0,139.302,0.0127969,1.0,2025.59,0.186079,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
702693.85,64.541708,20.0,1088743.3879999998,99.999968,56.0,979.694,0.0899839,1.0,172270.22000000003,15.822845000000001,13.0,100489.18000000001,9.229826,4.0,110135.34999999999,10.115824,16.0,140.024,0.0128611,1.0,2035.07,0.18692,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
707906.3600000001,64.993028,20.0,1089203.171,99.9999642,56.0,978.862,0.0898695,1.0,168761.41999999998,15.494012,13.0,99496.23,9.134774,4.0,109884.37000000001,10.088508,16.0,141.299,0.0129727,1.0,2034.63,0.1868,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
704757.95,64.682631,20.0,1089563.2400000002,100.00001839999999,56.0,975.965,0.0895739,1.0,171787.66000000003,15.766664,13.0,99560.5,9.137646,4.0,110305.68999999999,10.123838000000001,16.0,141.235,0.0129625,1.0,2034.24,0.186703,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
712498.2400000001,65.137952,20.0,1093829.6260000004,100.0000019,56.0,982.873,0.0898561,1.0,168365.39,15.392295000000003,13.0,99869.57,9.130260999999999,4.0,109947.37,10.051601000000003,16.0,139.483,0.0127518,1.0,2026.7,0.185285,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
710293.61,64.68185799999999,20.0,1098134.718,100.0000591,56.0,983.683,0.0895777,1.0,173772.77,15.824377,13.0,100433.97,9.145874,4.0,110491.87000000001,10.061783,16.0,143.465,0.0130644,1.0,2015.35,0.183525,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
705773.51,64.937147,20.0,1086857.826,100.0000419,56.0,987.649,0.0908719,1.0,169023.62999999995,15.551557999999998,13.0,99313.51000000001,9.137665,4.0,109591.87000000001,10.083357999999999,16.0,138.737,0.012765,1.0,2028.92,0.186677,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
708421.8,64.809772,20.0,1093079.192,100.0000115,56.0,978.526,0.0895201,1.0,171882.29000000004,15.724584,13.0,99580.54000000001,9.110089,4.0,110056.13,10.068448,16.0,140.236,0.0128294,1.0,2019.67,0.184769,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
708484.1,65.018055,20.0,1089672.487,99.99996870000004,56.0,979.118,0.0898543,1.0,168897.28,15.499815000000002,13.0,99516.09,9.132659,4.0,109632.45000000003,10.061044999999998,16.0,139.559,0.0128074,1.0,2023.89,0.185733,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
704338.1299999999,64.585935,20.0,1090544.557,99.99997020000002,56.0,982.504,0.0900929,1.0,172338.77000000005,15.802966,13.0,100354.42,9.202218,4.0,110370.60999999999,10.120681,16.0,138.273,0.0126793,1.0,2021.85,0.185398,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
705190.53,64.905803,20.0,1086482.2880000002,99.99996420000001,56.0,980.848,0.0902774,1.0,169022.05000000002,15.556819,13.0,98998.45999999999,9.111839,4.0,110129.92999999998,10.136376,16.0,137.84,0.0126868,1.0,2022.63,0.186163,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
702559.9999999999,64.65254000000002,20.0,1086670.2919999997,99.99997789999999,56.0,982.66,0.0904285,1.0,172021.63000000003,15.830146,13.0,99547.46,9.160772999999999,4.0,109389.49,10.066484999999998,16.0,138.902,0.0127824,1.0,2030.15,0.186823,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
708550.7,65.00357100000002,20.0,1090019.0979999998,100.00005550000002,56.0,976.775,0.0896108,1.0,168885.01,15.493746,13.0,99897.02,9.164718,4.0,109541.94,10.049545999999998,16.0,140.653,0.0129037,1.0,2027.0,0.18596,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
708330.7600000001,64.860785,20.0,1092076.5010000002,99.99989939999999,56.0,981.825,0.0899045,1.0,171461.08999999997,15.700486,13.0,99657.61,9.125513,4.0,109472.14,10.024225,16.0,141.456,0.0129529,1.0,2031.62,0.186033,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
710714.6500000001,65.108317,20.0,1091587.1359999997,99.99995559999999,56.0,979.082,0.0896935,1.0,169067.26,15.488213000000002,13.0,99084.76000000001,9.077128,4.0,109582.21,10.038803,16.0,139.004,0.0127341,1.0,2020.17,0.185067,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
706405.69,64.72377200000001,20.0,1091417.027,100.00004050000004,56.0,981.328,0.0899131,1.0,172349.64999999997,15.791364999999999,13.0,99890.57,9.152374,4.0,109616.05999999998,10.043451,16.0,141.659,0.0129794,1.0,2032.07,0.186186,1.0,resnet50.onnx
0.0,nan,20.0,0.0,nan,56.0,0.0,nan,1.0,0.0,nan,13.0,0.0,nan,4.0,0.0,nan,16.0,0.0,nan,1.0,0.0,nan,1.0,resnet50.onnx
