aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_concatenatereshapetransposereshape,aggregated_percentage_concatenatereshapetransposereshape,aggregated_count_concatenatereshapetransposereshape,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_stridedsliceconcatenatereshapetransposereshape,aggregated_percentage_stridedsliceconcatenatereshapetransposereshape,aggregated_count_stridedsliceconcatenatereshapetransposereshape,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
48708.807,80.417222,37.0,60570.08100000001,99.99994619999998,88.0,369.72,0.6104,1.0,5901.240000000001,9.742823999999999,19.0,433.995,0.716517,3.0,407.907,0.6734462,13.0,1785.601,2.9479919999999993,13.0,76.061,0.125575,1.0,2886.75,4.76597,1.0,shufflenet_v2_x1_0.onnx
48605.931,80.34568200000001,37.0,60496.004,99.9999756,88.0,375.23,0.620255,1.0,5915.682,9.778628,19.0,432.795,0.715411,3.0,406.788,0.6724205999999999,13.0,1790.45,2.959614,13.0,75.708,0.125145,1.0,2893.42,4.78282,1.0,shufflenet_v2_x1_0.onnx
48510.95199999999,80.275236,37.0,60430.775999999976,99.99996320000002,88.0,374.799,0.620212,1.0,5908.585999999999,9.777431000000002,19.0,432.583,0.715832,3.0,407.4099999999999,0.6741762000000001,13.0,1790.0620000000001,2.962167,13.0,72.504,0.119979,1.0,2933.88,4.85493,1.0,shufflenet_v2_x1_0.onnx
47268.483,79.92280399999997,37.0,59142.677,100.0000174,88.0,371.142,0.627537,1.0,5882.780000000001,9.946764000000002,19.0,433.13300000000004,0.7323529999999999,3.0,408.969,0.6914954,13.0,1790.0320000000002,3.026632,13.0,75.018,0.126842,1.0,2913.12,4.92559,1.0,shufflenet_v2_x1_0.onnx
48600.66999999999,80.375213,37.0,60467.25699999997,100.00002700000003,88.0,370.847,0.613302,1.0,5879.382000000001,9.723249999999998,19.0,433.3,0.7165860000000001,3.0,407.533,0.6739729999999998,13.0,1786.033,2.9537190000000004,13.0,72.902,0.120564,1.0,2916.59,4.82342,1.0,shufflenet_v2_x1_0.onnx
48633.465,80.39193800000001,37.0,60495.46699999998,100.0000035,88.0,370.763,0.612877,1.0,5871.691000000001,9.705995,19.0,432.643,0.7151649999999999,3.0,411.285,0.6798605,13.0,1790.0009999999997,2.958899,13.0,74.149,0.122569,1.0,2911.47,4.8127,1.0,shufflenet_v2_x1_0.onnx
48711.49400000001,80.376973,37.0,60603.78400000001,99.9999772,88.0,369.394,0.609522,1.0,5898.561,9.732982999999999,19.0,432.796,0.714139,3.0,409.625,0.6759062,13.0,1789.3840000000002,2.9525919999999997,13.0,72.92,0.120322,1.0,2919.61,4.81754,1.0,shufflenet_v2_x1_0.onnx
47293.87700000001,79.90726900000001,37.0,59185.93099999998,99.99997919999998,88.0,370.467,0.625938,1.0,5883.906000000001,9.941394,19.0,433.295,0.732091,3.0,409.5300000000001,0.6919382000000002,13.0,1789.1119999999999,3.0228679999999994,13.0,74.214,0.125391,1.0,2931.53,4.95309,1.0,shufflenet_v2_x1_0.onnx
48621.706000000006,80.382324,37.0,60488.044,99.99997389999996,88.0,365.509,0.604266,1.0,5898.093999999999,9.750835,19.0,432.599,0.715181,3.0,406.64799999999997,0.6722779000000001,13.0,1786.791,2.953956,13.0,76.157,0.125904,1.0,2900.54,4.79523,1.0,shufflenet_v2_x1_0.onnx
48679.90700000001,80.39519899999999,37.0,60550.72599999999,99.99995320000002,88.0,368.793,0.609065,1.0,5874.598,9.701951000000001,19.0,432.39300000000003,0.7141000000000001,3.0,408.9199999999999,0.6753352,13.0,1786.7579999999998,2.950846,13.0,74.397,0.122867,1.0,2924.96,4.83059,1.0,shufflenet_v2_x1_0.onnx
48681.23099999999,80.427748,37.0,60527.90299999999,99.99998129999997,88.0,372.379,0.615218,1.0,5884.650000000001,9.722201,19.0,432.714,0.7149000000000001,3.0,411.07200000000006,0.6791443,13.0,1789.0539999999999,2.9557480000000003,13.0,75.383,0.124542,1.0,2881.42,4.76048,1.0,shufflenet_v2_x1_0.onnx
47323.248000000014,79.981379,37.0,59167.87200000001,100.0000536,88.0,369.702,0.624836,1.0,5869.607000000001,9.920261,19.0,432.14,0.730362,3.0,405.456,0.6852636,13.0,1789.075,3.023728,13.0,73.264,0.123824,1.0,2905.38,4.9104,1.0,shufflenet_v2_x1_0.onnx
48547.48500000002,80.34047600000001,37.0,60427.21900000003,100.00004430000003,88.0,371.368,0.61457,1.0,5890.705,9.748424,19.0,433.098,0.7167270000000001,3.0,407.579,0.6744953000000001,13.0,1789.0939999999998,2.960738,13.0,72.05,0.119234,1.0,2915.84,4.82538,1.0,shufflenet_v2_x1_0.onnx
48532.128000000004,80.349852,37.0,60401.03300000001,100.00000639999999,88.0,369.013,0.610938,1.0,5882.899,9.739726000000001,19.0,431.76700000000005,0.714834,3.0,410.33299999999997,0.6793473999999999,13.0,1790.2030000000002,2.963861000000001,13.0,74.6,0.123508,1.0,2910.09,4.81794,1.0,shufflenet_v2_x1_0.onnx
49434.685,80.56485300000001,37.0,61360.139,100.00002129999997,88.0,368.596,0.600709,1.0,5906.305999999998,9.625636,19.0,430.17,0.7010569999999999,3.0,415.83299999999997,0.6776922999999999,13.0,1794.0960000000005,2.923877,13.0,75.993,0.123847,1.0,2934.46,4.78235,1.0,shufflenet_v2_x1_0.onnx
47343.87700000001,79.98695399999998,37.0,59189.49700000001,99.9999889,88.0,371.162,0.627074,1.0,5877.090000000001,9.929276,19.0,432.673,0.730996,3.0,408.94100000000003,0.6909008999999998,13.0,1789.4720000000004,3.023292,13.0,74.452,0.125786,1.0,2891.83,4.88571,1.0,shufflenet_v2_x1_0.onnx
48637.33600000002,80.362616,37.0,60522.342000000004,100.00000439999998,88.0,371.191,0.613312,1.0,5902.794999999999,9.753089,19.0,432.83,0.715157,3.0,409.417,0.6764724,13.0,1790.4710000000002,2.9583619999999993,13.0,74.222,0.122636,1.0,2904.08,4.79836,1.0,shufflenet_v2_x1_0.onnx
48623.73499999999,80.39285299999999,37.0,60482.65999999999,99.99999509999999,88.0,366.81,0.606471,1.0,5876.685,9.716308000000001,19.0,431.32800000000003,0.7131430000000001,3.0,410.2159999999999,0.6782370999999998,13.0,1790.146,2.9597649999999995,13.0,71.58,0.118348,1.0,2912.16,4.81487,1.0,shufflenet_v2_x1_0.onnx
48493.70199999999,80.353542,37.0,60350.38899999998,99.99995209999997,88.0,370.698,0.614242,1.0,5885.96,9.752978,19.0,433.71099999999996,0.718654,3.0,409.432,0.6784241,13.0,1787.2689999999998,2.961484,13.0,74.417,0.123308,1.0,2895.2,4.79732,1.0,shufflenet_v2_x1_0.onnx
