aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
88280.8,3.02708,1.0,2916364.08,100.00002359999999,17.0,4252.577,0.14581784,5.0,566750.2999999999,19.433463000000003,7.0,40.443,0.00138676,1.0,2250867.0,77.18061,2.0,6172.96,0.211666,1.0,vgg11_bn.onnx
88374.0,3.01922,1.0,2927051.123,99.99999215999999,17.0,4268.928,0.14584419999999998,5.0,569754.1000000001,19.465134,7.0,41.475,0.00141696,1.0,2258422.0,77.15688,2.0,6190.62,0.211497,1.0,vgg11_bn.onnx
88432.5,3.03985,1.0,2909111.451,100.0000446,17.0,4259.803,0.14642974,5.0,554497.5,19.060758000000003,7.0,40.898,0.00140586,1.0,2255698.0,77.53907,2.0,6182.75,0.212531,1.0,vgg11_bn.onnx
56220.1,1.92847,1.0,2915266.739,100.00002407,17.0,4266.0199999999995,0.14633374,5.0,575758.4,19.749765,7.0,40.969,0.00140533,1.0,2272807.0,77.96226,2.0,6174.25,0.21179,1.0,vgg11_bn.onnx
88520.0,3.01073,1.0,2940150.9499999997,99.99996451999999,17.0,4277.74,0.14549378000000002,5.0,568715.9,19.343074,7.0,40.89,0.00139074,1.0,2272404.0,77.28866,2.0,6192.42,0.210616,1.0,vgg11_bn.onnx
88436.0,3.006,1.0,2941986.622,100.00004325,17.0,4245.347,0.14430238000000004,5.0,566073.9000000001,19.241228000000003,7.0,41.125,0.00139787,1.0,2277014.0,77.39718,2.0,6176.25,0.209935,1.0,vgg11_bn.onnx
88320.2,3.03664,1.0,2908487.41,100.00000177999999,17.0,4252.469,0.14620901,5.0,557358.1000000001,19.163166,7.0,41.061,0.00141177,1.0,2252341.0,77.44027999999999,2.0,6174.58,0.212295,1.0,vgg11_bn.onnx
56220.5,1.95748,1.0,2872098.171,99.9999839,17.0,4252.8859999999995,0.14807600999999998,5.0,577175.8,20.09598,7.0,40.235,0.00140089,1.0,2228208.0,77.58115000000001,2.0,6200.75,0.215897,1.0,vgg11_bn.onnx
88452.2,3.00812,1.0,2940439.3540000003,99.99997917000002,17.0,4257.0199999999995,0.14477475999999997,5.0,567539.1,19.301134,7.0,39.914,0.00135741,1.0,2273947.0,77.3336,2.0,6204.12,0.210993,1.0,vgg11_bn.onnx
88401.1,3.00311,1.0,2943652.199,99.99998505,17.0,4236.826999999999,0.14393100999999997,5.0,570599.7999999999,19.384071000000002,7.0,40.182,0.00136504,1.0,2274165.0,77.25657000000001,2.0,6209.29,0.210938,1.0,vgg11_bn.onnx
88424.9,3.02086,1.0,2927149.7299999995,100.00005056,17.0,4269.5599999999995,0.14586063999999999,5.0,556214.7999999999,19.001942,7.0,42.09,0.00143792,1.0,2272054.0,77.62004,2.0,6144.38,0.20991,1.0,vgg11_bn.onnx
56290.7,1.93597,1.0,2907628.744,99.99997531,17.0,4252.102,0.14623964999999997,5.0,573872.9,19.7368,7.0,41.162,0.00141566,1.0,2266967.0,77.96615,2.0,6204.88,0.2134,1.0,vgg11_bn.onnx
88426.3,3.00324,1.0,2944361.647,99.99995329,17.0,4247.483999999999,0.14425804,5.0,567299.7000000001,19.267325999999997,7.0,40.463,0.00137425,1.0,2278160.0,77.3736,2.0,6187.7,0.210155,1.0,vgg11_bn.onnx
88491.0,3.02807,1.0,2922354.149,100.00002791,17.0,4251.585999999999,0.14548488,5.0,570963.0,19.537787,7.0,40.943,0.00140103,1.0,2252434.0,77.07603,2.0,6173.62,0.211255,1.0,vgg11_bn.onnx
88387.8,3.03972,1.0,2907765.179,99.99996852000001,17.0,4252.029,0.14623044,5.0,556085.2000000001,19.124157,7.0,41.06,0.00141208,1.0,2252805.0,77.47543,2.0,6194.09,0.213019,1.0,vgg11_bn.onnx
