aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
59009.5,1.56929,1.0,3760267.533,99.99998929,22.0,1387833.8,36.907833999999994,12.0,4313.139,0.11470302999999998,5.0,40.884,0.00108726,1.0,2302890.0,61.24272,2.0,6180.21,0.164355,1.0,vgg16.onnx
0.0,nan,1.0,0.0,nan,22.0,0.0,nan,12.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
59056.6,1.55789,1.0,3790795.9110000003,99.99998262,22.0,1431742.4,37.768893999999996,12.0,4286.763,0.11308337,5.0,40.988,0.00108125,1.0,2289313.0,60.39136,2.0,6356.16,0.167674,1.0,vgg16.onnx
0.0,nan,1.0,0.0,nan,22.0,0.0,nan,12.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
58952.1,1.56535,1.0,3766055.1210000003,99.99993877000001,22.0,1393464.8,37.000598,12.0,4329.588000000001,0.11496331,5.0,40.013,0.00106246,1.0,2302897.0,61.14878,2.0,6371.62,0.169185,1.0,vgg16.onnx
0.0,nan,1.0,0.0,nan,22.0,0.0,nan,12.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
59029.9,1.55683,1.0,3791663.3050000006,99.99995886,22.0,1428199.6000000003,37.666787,12.0,4322.298,0.11399469,5.0,41.677,0.00109917,1.0,2293687.0,60.49291,2.0,6382.83,0.168338,1.0,vgg16.onnx
0.0,nan,1.0,0.0,nan,22.0,0.0,nan,12.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
58939.9,1.57251,1.0,3748133.175,100.00005075,22.0,1393405.0999999999,37.17604000000001,12.0,4280.708,0.11420915999999999,5.0,40.427,0.00107859,1.0,2285076.0,60.9657,2.0,6391.04,0.170513,1.0,vgg16.onnx
0.0,nan,1.0,0.0,nan,22.0,0.0,nan,12.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
59068.6,1.5585,1.0,3790095.6149999998,100.00000541,22.0,1428830.3,37.69904699999999,12.0,4283.3640000000005,0.11301463,5.0,40.091,0.00105778,1.0,2291489.0,60.45994,2.0,6384.26,0.168446,1.0,vgg16.onnx
0.0,nan,1.0,0.0,nan,22.0,0.0,nan,12.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
59006.5,1.5746,1.0,3747384.2130000005,100.00003952,22.0,1394094.9000000004,37.201801,12.0,4313.842,0.11511609,5.0,39.851,0.00106343,1.0,2283544.0,60.93707,2.0,6385.12,0.170389,1.0,vgg16.onnx
0.0,nan,1.0,0.0,nan,22.0,0.0,nan,12.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
58926.0,1.56054,1.0,3775987.423,100.00001253000002,22.0,1427950.5000000002,37.816599000000004,12.0,4292.187999999999,0.1136706,5.0,40.325,0.00106793,1.0,2278427.0,60.33993,2.0,6351.41,0.168205,1.0,vgg16.onnx
0.0,nan,1.0,0.0,nan,22.0,0.0,nan,12.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
58997.5,1.56724,1.0,3764424.618,99.99999109999999,22.0,1392926.7999999996,37.00234499999999,12.0,4311.379,0.11452965999999999,5.0,39.769,0.00105644,1.0,2301782.0,61.14568,2.0,6367.17,0.16914,1.0,vgg16.onnx
0.0,nan,1.0,0.0,nan,22.0,0.0,nan,12.0,0.0,nan,5.0,0.0,nan,1.0,0.0,nan,2.0,0.0,nan,1.0,vgg16.onnx
58995.6,1.55317,1.0,3798397.926,99.99997907999999,22.0,1431273.5999999999,37.68095,12.0,4325.814,0.11388485,5.0,40.082,0.00105523,1.0,2297377.0,60.4828,2.0,6385.83,0.168119,1.0,vgg16.onnx
