aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
742964.7899999999,98.36733,24.0,755296.7429999999,100.00005908000004,77.0,4236.41,0.5608933,24.0,3569.706,0.47262308,17.0,1018.0,0.134782,1.0,1798.797,0.23815761,9.0,47.32,0.00626509,1.0,1661.72,0.220008,1.0,resnet18_dummy4.onnx
753442.65,98.408231,24.0,765629.7329999998,100.000003483,77.0,4213.149,0.55028503,24.0,3547.203,0.46330532,17.0,1017.33,0.132875,1.0,1690.1120000000003,0.220747993,9.0,45.089,0.00588914,1.0,1674.2,0.21867,1.0,resnet18_dummy4.onnx
750313.6400000001,98.417561,24.0,762377.737,99.99999267399998,77.0,4047.822,0.5309481200000001,24.0,3526.0639999999994,0.46250856,17.0,1025.99,0.134578,1.0,1779.441,0.2334067939999999,9.0,45.18,0.0059262,1.0,1639.6,0.215064,1.0,resnet18_dummy4.onnx
751637.4700000001,98.420187,24.0,763702.2640000002,99.99996457099998,77.0,4225.897,0.5533438399999999,24.0,3562.7119999999995,0.4665058000000001,17.0,1016.29,0.133075,1.0,1709.236,0.223809121,9.0,44.889,0.00587781,1.0,1505.77,0.197166,1.0,resnet18_dummy4.onnx
748863.0399999999,98.38410599999996,24.0,761162.489,99.999981316,77.0,4202.771000000001,0.5521524300000002,24.0,3556.0799999999995,0.4671899699999999,17.0,1023.83,0.134508,1.0,1790.86,0.235279496,9.0,45.848,0.00602342,1.0,1680.06,0.220722,1.0,resnet18_dummy4.onnx
749984.2799999999,98.392335,24.0,762238.547,100.000005239,77.0,4243.923000000001,0.5567717699999999,24.0,3561.962,0.4673029900000001,17.0,1019.01,0.133687,1.0,1782.293,0.233823779,9.0,46.479,0.0060977,1.0,1600.6,0.209987,1.0,resnet18_dummy4.onnx
748378.05,98.391447,24.0,760612.864,99.999994984,77.0,4184.700000000001,0.5501746,24.0,3559.0240000000003,0.46791626,17.0,1020.95,0.134227,1.0,1752.846,0.230451894,9.0,47.464,0.00624023,1.0,1669.83,0.219538,1.0,resnet18_dummy4.onnx
752389.22,98.402989,24.0,764600.1610000003,100.00002597999998,77.0,4213.195000000001,0.5510321399999999,24.0,3510.282,0.45910063,17.0,1017.48,0.133074,1.0,1745.1999999999998,0.22824996,9.0,44.494,0.00581925,1.0,1680.29,0.219761,1.0,resnet18_dummy4.onnx
751007.77,98.383951,24.0,763344.0779999999,100.000038245,77.0,4239.203,0.55534684,24.0,3580.325,0.46903059,17.0,1020.27,0.133658,1.0,1784.6890000000003,0.233798625,9.0,46.451,0.00608519,1.0,1665.37,0.218168,1.0,resnet18_dummy4.onnx
752197.9500000001,98.405416,24.0,764386.775,100.000002343,77.0,4204.838000000001,0.55009271,24.0,3452.521,0.4516713799999999,17.0,1020.3,0.133479,1.0,1799.3049999999998,0.2353919229999999,9.0,44.551,0.00582833,1.0,1667.31,0.218123,1.0,resnet18_dummy4.onnx
751502.74,98.40463300000002,24.0,763686.4359999999,100.000010149,77.0,4236.539999999999,0.5547480899999998,24.0,3530.979,0.4623593200000001,17.0,1012.92,0.132635,1.0,1675.5889999999995,0.219407819,9.0,45.118,0.00590792,1.0,1682.55,0.220319,1.0,resnet18_dummy4.onnx
736955.09,98.38399,24.0,749060.3019999998,100.00004289900002,77.0,4232.700999999999,0.56506713,24.0,3497.944,0.46697789,17.0,1016.68,0.135728,1.0,1791.375,0.2391497189999999,9.0,45.162,0.00602916,1.0,1521.35,0.203101,1.0,resnet18_dummy4.onnx
748861.8900000001,98.38767,24.0,761133.8520000002,99.999995423,77.0,4223.617,0.55491089,24.0,3554.6459999999997,0.46701932,17.0,1021.12,0.134158,1.0,1766.9030000000002,0.232140913,9.0,43.326,0.0056923,1.0,1662.35,0.218404,1.0,resnet18_dummy4.onnx
750104.7499999999,98.392636,24.0,762358.19,99.999942366,77.0,4245.061,0.5568320799999998,24.0,3556.413999999999,0.4665019899999999,17.0,1016.57,0.133345,1.0,1734.444,0.2275103359999999,9.0,44.651,0.00585696,1.0,1656.3,0.21726,1.0,resnet18_dummy4.onnx
751260.1599999999,98.38544,24.0,763588.6730000001,99.99998747099995,77.0,4248.530000000001,0.55638973,24.0,3584.797,0.46946697,17.0,997.753,0.130666,1.0,1792.85,0.234792701,9.0,44.533,0.00583207,1.0,1660.05,0.2174,1.0,resnet18_dummy4.onnx
748790.14,98.38679999999998,24.0,761068.4320000001,100.00009749499998,77.0,4210.834,0.55327991,24.0,3542.729,0.46549363,17.0,1023.83,0.134526,1.0,1790.0380000000002,0.2352007349999999,9.0,44.821,0.00588922,1.0,1666.04,0.218908,1.0,resnet18_dummy4.onnx
751679.13,98.40538100000002,24.0,763860.0190000001,100.000031102,77.0,4115.369,0.5387590999999999,24.0,3554.987,0.4653988500000001,17.0,1019.93,0.133523,1.0,1789.5259999999996,0.234274302,9.0,47.847,0.00626385,1.0,1653.23,0.216431,1.0,resnet18_dummy4.onnx
752625.1499999999,98.391119,24.0,764932.0369999999,100.000004466,77.0,4225.271,0.5523723199999999,24.0,3557.749,0.4651059499999999,17.0,1016.38,0.132872,1.0,1799.443,0.235242066,9.0,43.824,0.00572913,1.0,1664.22,0.217564,1.0,resnet18_dummy4.onnx
749678.2600000001,98.386796,24.0,761970.3250000001,99.99998876799998,77.0,4240.178,0.5564752799999998,24.0,3569.813000000001,0.46849784,17.0,1008.33,0.132331,1.0,1786.147,0.234411548,9.0,44.477,0.0058371,1.0,1643.12,0.21564,1.0,resnet18_dummy4.onnx
