Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], int64[], float32[1, 224, 224]",1,"opencl0",160.899,"ae2eaf7e752cc334","tvmgen_default_fused_take",0.0134119,,,,
"float32[1, 224, 224], float32[1, 1, 224, 224]",1,"opencl0",0,"050fe0b3edc693d3","__nop",0,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",64.937,"8b9d5a5a85f77f90","tvmgen_default_fused_multiply",0.0054129,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",62.11,"2fc705dea3e44e0b","tvmgen_default_fused_add",0.00517725,,,,
"float32[1, 3, 224, 224], int64[], float32[1, 224, 224]",1,"opencl0",160.271,"ae2eaf7e752cc334","tvmgen_default_fused_take",0.0133596,,,,
"float32[1, 224, 224], float32[1, 1, 224, 224]",1,"opencl0",0,"050fe0b3edc693d3","__nop",0,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",62.913,"8b9d5a5a85f77f90","tvmgen_default_fused_multiply",0.00524419,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",63.212,"2fc705dea3e44e0b","tvmgen_default_fused_add",0.00526911,,,,
"float32[1, 3, 224, 224], int64[], float32[1, 224, 224]",1,"opencl0",160.737,"ae2eaf7e752cc334","tvmgen_default_fused_take",0.0133984,,,,
"float32[1, 224, 224], float32[1, 1, 224, 224]",1,"opencl0",0,"050fe0b3edc693d3","__nop",0,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",60.958,"8b9d5a5a85f77f90","tvmgen_default_fused_multiply",0.00508122,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",61.882,"2fc705dea3e44e0b","tvmgen_default_fused_add",0.00515825,,,,
"float32[1, 1, 224, 224], float32[1, 1, 224, 224], float32[1, 1, 224, 224], float32[1, 3, 224, 224]",1,"opencl0",214.654,"214167f5e989fa20","tvmgen_default_fused_concatenate",0.0178927,,,,
"float32[1, 3, 224, 224], float32[64, 3, 7, 7], float32[1, 64, 112, 112]",1,"opencl0",181403,"2dcc36ff177ff7f3","tvmgen_default_fused_nn_conv2d",15.121,"NCHW","OIHW",,""
"float32[1, 64, 112, 112], float32[64], float32[1, 64, 112, 112]",1,"opencl0",1119.32,"ae883222383b594f","tvmgen_default_fused_nn_bias_add",0.0933021,,,,
"float32[1, 64, 112, 112], float32[1, 64, 112, 112]",1,"opencl0",1139.58,"ad0ba631890195c8","tvmgen_default_fused_nn_relu",0.0949907,,,,
"float32[1, 64, 112, 112], float32[1, 64, 56, 56]",1,"opencl0",803.238,"29fad1c9c4f94e4d","tvmgen_default_fused_nn_max_pool2d",0.0669548,,,"NCHW",""
"float32[1, 64, 56, 56], float32[64, 64, 1, 1], float32[1, 64, 56, 56]",1,"opencl0",2137.68,"c1e6ee8288d5158d","tvmgen_default_fused_nn_conv2d_1",0.178189,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]",1,"opencl0",274.109,"0af568e9467d38ce","tvmgen_default_fused_nn_bias_add_1",0.0228487,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",262.531,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.0218836,,,,
"float32[1, 64, 56, 56], float32[192, 64, 3, 3], float32[1, 192, 56, 56]",1,"opencl0",364788,"4f07277d9fa7e246","tvmgen_default_fused_nn_conv2d_2",30.4073,"NCHW","OIHW",,""
"float32[1, 192, 56, 56], float32[192], float32[1, 192, 56, 56]",1,"opencl0",896.1,"138695ed35da34c2","tvmgen_default_fused_nn_bias_add_2",0.0746954,,,,
"float32[1, 192, 56, 56], float32[1, 192, 56, 56]",1,"opencl0",849.311,"1af3914dfcd68464","tvmgen_default_fused_nn_relu_2",0.0707953,,,,
"float32[1, 192, 56, 56], float32[1, 192, 28, 28]",1,"opencl0",562.452,"6e24c6986752bb82","tvmgen_default_fused_nn_max_pool2d_1",0.0468838,,,"NCHW",""
"float32[1, 192, 28, 28], float32[64, 192, 1, 1], float32[1, 64, 28, 28]",1,"opencl0",1682.14,"092bd92b816f9fcf","tvmgen_default_fused_nn_conv2d_3",0.140216,"NCHW","OIHW",,""
"float32[1, 64, 28, 28], float32[64], float32[1, 64, 28, 28]",1,"opencl0",64.868,"e63e74472a14222d","tvmgen_default_fused_nn_bias_add_3",0.00540715,,,,
"float32[1, 64, 28, 28], float32[1, 64, 28, 28]",1,"opencl0",58.132,"a8fd58b978c25eaa","tvmgen_default_fused_nn_relu_3",0.00484566,,,,
"float32[1, 192, 28, 28], float32[96, 192, 1, 1], float32[1, 96, 28, 28]",1,"opencl0",2493.1,"e1379ceac4716b30","tvmgen_default_fused_nn_conv2d_4",0.207815,"NCHW","OIHW",,""
"float32[1, 96, 28, 28], float32[96], float32[1, 96, 28, 28]",1,"opencl0",99.913,"04f09fa7416b9c0e","tvmgen_default_fused_nn_bias_add_4",0.00832836,,,,
"float32[1, 96, 28, 28], float32[1, 96, 28, 28]",1,"opencl0",92.047,"7505b2d97fc235d6","tvmgen_default_fused_nn_relu_4",0.00767268,,,,
"float32[1, 96, 28, 28], float32[128, 96, 3, 3], float32[1, 128, 28, 28]",1,"opencl0",140911,"873f31a4741f02c6","tvmgen_default_fused_nn_conv2d_5",11.7458,"NCHW","OIHW",,""
"float32[1, 128, 28, 28], float32[128], float32[1, 128, 28, 28]",1,"opencl0",135.441,"955e212d83ef6da9","tvmgen_default_fused_nn_bias_add_5",0.0112898,,,,
"float32[1, 128, 28, 28], float32[1, 128, 28, 28]",1,"opencl0",127.828,"ad9e375b69967565","tvmgen_default_fused_nn_relu_5",0.0106552,,,,
"float32[1, 192, 28, 28], float32[16, 192, 1, 1], float32[1, 16, 28, 28]",1,"opencl0",982.211,"de4580248b5f5903","tvmgen_default_fused_nn_conv2d_6",0.0818733,"NCHW","OIHW",,""
"float32[1, 16, 28, 28], float32[16], float32[1, 16, 28, 28]",1,"opencl0",15.396,"3b0983df9caac19e","tvmgen_default_fused_nn_bias_add_6",0.00128335,,,,
"float32[1, 16, 28, 28], float32[1, 16, 28, 28]",1,"opencl0",13.503,"77203d14a6f710c8","tvmgen_default_fused_nn_relu_6",0.00112556,,,,
"float32[1, 16, 28, 28], float32[32, 16, 3, 3], float32[1, 32, 28, 28]",1,"opencl0",6103.83,"bc117950aed510ea","tvmgen_default_fused_nn_conv2d_7",0.508792,"NCHW","OIHW",,""
