Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], int64[], float32[1, 224, 224]",1,"opencl0",162.486,"ae2eaf7e752cc334","tvmgen_default_fused_take",0.0129118,,,,
"float32[1, 224, 224], float32[1, 1, 224, 224]",1,"opencl0",0,"050fe0b3edc693d3","__nop",0,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",63.624,"8b9d5a5a85f77f90","tvmgen_default_fused_multiply",0.00505582,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",62.176,"2fc705dea3e44e0b","tvmgen_default_fused_add",0.00494076,,,,
"float32[1, 3, 224, 224], int64[], float32[1, 224, 224]",1,"opencl0",159.939,"ae2eaf7e752cc334","tvmgen_default_fused_take",0.0127094,,,,
"float32[1, 224, 224], float32[1, 1, 224, 224]",1,"opencl0",0,"050fe0b3edc693d3","__nop",0,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",62.189,"8b9d5a5a85f77f90","tvmgen_default_fused_multiply",0.00494179,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",63.1,"2fc705dea3e44e0b","tvmgen_default_fused_add",0.00501418,,,,
"float32[1, 3, 224, 224], int64[], float32[1, 224, 224]",1,"opencl0",159.77,"ae2eaf7e752cc334","tvmgen_default_fused_take",0.012696,,,,
"float32[1, 224, 224], float32[1, 1, 224, 224]",1,"opencl0",0,"050fe0b3edc693d3","__nop",0,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",63.833,"8b9d5a5a85f77f90","tvmgen_default_fused_multiply",0.00507243,,,,
"float32[1, 1, 224, 224], float32[], float32[1, 1, 224, 224]",1,"opencl0",64.31,"2fc705dea3e44e0b","tvmgen_default_fused_add",0.00511033,,,,
"float32[1, 1, 224, 224], float32[1, 1, 224, 224], float32[1, 1, 224, 224], float32[1, 3, 224, 224]",1,"opencl0",212.875,"214167f5e989fa20","tvmgen_default_fused_concatenate",0.0169159,,,,
"float32[1, 3, 224, 224], float32[64, 3, 7, 7], float32[1, 64, 112, 112]",1,"opencl0",192362,"2dcc36ff177ff7f3","tvmgen_default_fused_nn_conv2d",15.2859,"NCHW","OIHW",,""
"float32[1, 64, 112, 112], float32[64], float32[1, 64, 112, 112]",1,"opencl0",1155,"ae883222383b594f","tvmgen_default_fused_nn_bias_add",0.091781,,,,
"float32[1, 64, 112, 112], float32[1, 64, 112, 112]",1,"opencl0",1135.92,"ad0ba631890195c8","tvmgen_default_fused_nn_relu",0.0902651,,,,
"float32[1, 64, 112, 112], float32[1, 64, 56, 56]",1,"opencl0",808.608,"29fad1c9c4f94e4d","tvmgen_default_fused_nn_max_pool2d",0.0642553,,,"NCHW",""
"float32[1, 64, 56, 56], float32[64, 64, 1, 1], float32[1, 64, 56, 56]",1,"opencl0",2141.53,"c1e6ee8288d5158d","tvmgen_default_fused_nn_conv2d_1",0.170175,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]",1,"opencl0",275.93,"0af568e9467d38ce","tvmgen_default_fused_nn_bias_add_1",0.0219265,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",266.48,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.0211756,,,,
"float32[1, 64, 56, 56], float32[192, 64, 3, 3], float32[1, 192, 56, 56]",1,"opencl0",407183,"4f07277d9fa7e246","tvmgen_default_fused_nn_conv2d_2",32.3564,"NCHW","OIHW",,""
"float32[1, 192, 56, 56], float32[192], float32[1, 192, 56, 56]",1,"opencl0",896.273,"138695ed35da34c2","tvmgen_default_fused_nn_bias_add_2",0.0712215,,,,
"float32[1, 192, 56, 56], float32[1, 192, 56, 56]",1,"opencl0",853.237,"1af3914dfcd68464","tvmgen_default_fused_nn_relu_2",0.0678017,,,,
"float32[1, 192, 56, 56], float32[1, 192, 28, 28]",1,"opencl0",566.797,"6e24c6986752bb82","tvmgen_default_fused_nn_max_pool2d_1",0.04504,,,"NCHW",""
"float32[1, 192, 28, 28], float32[64, 192, 1, 1], float32[1, 64, 28, 28]",1,"opencl0",1684.09,"092bd92b816f9fcf","tvmgen_default_fused_nn_conv2d_3",0.133825,"NCHW","OIHW",,""
"float32[1, 64, 28, 28], float32[64], float32[1, 64, 28, 28]",1,"opencl0",64.238,"e63e74472a14222d","tvmgen_default_fused_nn_bias_add_3",0.00510461,,,,
"float32[1, 64, 28, 28], float32[1, 64, 28, 28]",1,"opencl0",59.092,"a8fd58b978c25eaa","tvmgen_default_fused_nn_relu_3",0.00469569,,,,
"float32[1, 192, 28, 28], float32[96, 192, 1, 1], float32[1, 96, 28, 28]",1,"opencl0",2571.23,"e1379ceac4716b30","tvmgen_default_fused_nn_conv2d_4",0.204321,"NCHW","OIHW",,""
"float32[1, 96, 28, 28], float32[96], float32[1, 96, 28, 28]",1,"opencl0",101.709,"04f09fa7416b9c0e","tvmgen_default_fused_nn_bias_add_4",0.00808221,,,,
"float32[1, 96, 28, 28], float32[1, 96, 28, 28]",1,"opencl0",91.775,"7505b2d97fc235d6","tvmgen_default_fused_nn_relu_4",0.00729281,,,,
"float32[1, 96, 28, 28], float32[128, 96, 3, 3], float32[1, 128, 28, 28]",1,"opencl0",121976,"873f31a4741f02c6","tvmgen_default_fused_nn_conv2d_5",9.69275,"NCHW","OIHW",,""
"float32[1, 128, 28, 28], float32[128], float32[1, 128, 28, 28]",1,"opencl0",136.124,"955e212d83ef6da9","tvmgen_default_fused_nn_bias_add_5",0.010817,,,,
"float32[1, 128, 28, 28], float32[1, 128, 28, 28]",1,"opencl0",128.048,"ad9e375b69967565","tvmgen_default_fused_nn_relu_5",0.0101752,,,,
