Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[32, 3, 3, 3], float32[1, 32, 112, 112]",1,"opencl0",3349.93,"a6253b04e6d10a75","tvmgen_default_fused_nn_conv2d",3.03501,"NCHW","OIHW",,""
"float32[1, 32, 112, 112], float32[32], float32[1, 32, 112, 112]",1,"opencl0",566.459,"c614191b65dc6e6d","tvmgen_default_fused_nn_bias_add",0.513207,,,,
"float32[1, 32, 112, 112], float32[1, 32, 112, 112]",1,"opencl0",553.957,"e3026876f53ff136","tvmgen_default_fused_clip",0.501881,,,,
"float32[1, 32, 112, 112], float32[32, 1, 3, 3], float32[1, 32, 112, 112]",1,"opencl0",2967.06,"fa3dd60aeda4e612","tvmgen_default_fused_nn_conv2d_1",2.68813,"NCHW","OIHW",,""
"float32[1, 32, 112, 112], float32[32], float32[1, 32, 112, 112]",1,"opencl0",564.32,"c614191b65dc6e6d","tvmgen_default_fused_nn_bias_add",0.511269,,,,
"float32[1, 32, 112, 112], float32[1, 32, 112, 112]",1,"opencl0",550.841,"e3026876f53ff136","tvmgen_default_fused_clip",0.499058,,,,
"float32[1, 32, 112, 112], float32[16, 32, 1, 1], float32[1, 16, 112, 112]",1,"opencl0",1806.63,"88a00a0ecafdbee1","tvmgen_default_fused_nn_conv2d_2",1.63679,"NCHW","OIHW",,""
"float32[1, 16, 112, 112], float32[16], float32[1, 16, 112, 112]",1,"opencl0",275.33,"8bf39b6a5ae8cde3","tvmgen_default_fused_nn_bias_add_1",0.249447,,,,
"float32[1, 16, 112, 112], float32[96, 16, 1, 1], float32[1, 96, 112, 112]",1,"opencl0",5063.33,"d3e8ab42dd6fe3c7","tvmgen_default_fused_nn_conv2d_3",4.58733,"NCHW","OIHW",,""
"float32[1, 96, 112, 112], float32[96], float32[1, 96, 112, 112]",1,"opencl0",1752.84,"c1fc52cf6adb2090","tvmgen_default_fused_nn_bias_add_2",1.58806,,,,
"float32[1, 96, 112, 112], float32[1, 96, 112, 112]",1,"opencl0",1709.95,"64def1801828398d","tvmgen_default_fused_clip_1",1.5492,,,,
"float32[1, 96, 112, 112], float32[96, 1, 3, 3], float32[1, 96, 56, 56]",1,"opencl0",5681.75,"6df4dd98aaf973ca","tvmgen_default_fused_nn_conv2d_4",5.14762,"NCHW","OIHW",,""
"float32[1, 96, 56, 56], float32[96], float32[1, 96, 56, 56]",1,"opencl0",419.579,"ed732ee6422ed85f","tvmgen_default_fused_nn_bias_add_3",0.380135,,,,
"float32[1, 96, 56, 56], float32[1, 96, 56, 56]",1,"opencl0",406.883,"6fbe1c8d97890351","tvmgen_default_fused_clip_2",0.368633,,,,
"float32[1, 96, 56, 56], float32[24, 96, 1, 1], float32[1, 24, 56, 56]",1,"opencl0",1536.56,"0c2a8b79b5aea050","tvmgen_default_fused_nn_conv2d_5",1.39211,"NCHW","OIHW",,""
"float32[1, 24, 56, 56], float32[24], float32[1, 24, 56, 56]",1,"opencl0",99.721,"e4acad988f6f3b1d","tvmgen_default_fused_nn_bias_add_4",0.0903464,,,,
"float32[1, 24, 56, 56], float32[144, 24, 1, 1], float32[1, 144, 56, 56]",1,"opencl0",2140.63,"7a6e554c74c44632","tvmgen_default_fused_nn_conv2d_6",1.93939,"NCHW","OIHW",,""
"float32[1, 144, 56, 56], float32[144], float32[1, 144, 56, 56]",1,"opencl0",639.53,"d1fbf83f5e8cfb7f","tvmgen_default_fused_nn_bias_add_5",0.579409,,,,
"float32[1, 144, 56, 56], float32[1, 144, 56, 56]",1,"opencl0",615.961,"a92aed5c603870f6","tvmgen_default_fused_clip_3",0.558056,,,,
