Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[16, 3, 3, 3], float32[1, 16, 112, 112]",1,"opencl0",6148.14,"6570fa4018b4d1fd","tvmgen_default_fused_nn_conv2d",16.4508,"NCHW","OIHW",,""
"float32[1, 16, 112, 112], float32[16], float32[1, 16, 112, 112]",1,"opencl0",264.285,"8bf39b6a5ae8cde3","tvmgen_default_fused_nn_bias_add",0.707159,,,,
"float32[1, 16, 112, 112], float32[], float32[1, 16, 112, 112]",1,"opencl0",259.173,"0a5a56dcf5a418b2","tvmgen_default_fused_multiply",0.693481,,,,
"float32[1, 16, 112, 112], float32[], float32[1, 16, 112, 112]",1,"opencl0",256.257,"393024df81dbde81","tvmgen_default_fused_add",0.685678,,,,
"float32[1, 16, 112, 112], float32[1, 16, 112, 112]",1,"opencl0",255.097,"d40dda033d13f9cd","tvmgen_default_fused_clip",0.682574,,,,
"float32[1, 16, 112, 112], float32[1, 16, 112, 112], float32[1, 16, 112, 112]",1,"opencl0",397.338,"b9b0d1ff4fa80fc2","tvmgen_default_fused_multiply_1",1.06317,,,,
"float32[1, 16, 112, 112], float32[16, 1, 3, 3], float32[1, 16, 56, 56]",1,"opencl0",1088.05,"09672a0583daff18","tvmgen_default_fused_nn_conv2d_1",2.91135,"NCHW","OIHW",,""
"float32[1, 16, 56, 56], float32[16], float32[1, 16, 56, 56]",1,"opencl0",63.429,"d86df7b6efe2d25d","tvmgen_default_fused_nn_bias_add_1",0.16972,,,,
"float32[1, 16, 56, 56], float32[1, 16, 56, 56]",1,"opencl0",59.653,"51acc933e782a393","tvmgen_default_fused_nn_relu",0.159616,,,,
"float32[1, 16, 56, 56], float32[1, 16, 1, 1]",1,"opencl0",88.002,"bccef132e8d040e8","tvmgen_default_fused_nn_global_avg_pool2d",0.235471,,,"NCHW",""
"float32[1, 16, 1, 1], float32[8, 16, 1, 1], float32[1, 8, 1, 1]",1,"opencl0",10.901,"06dc4f8ad398159d","tvmgen_default_fused_nn_conv2d_2",0.0291683,"NCHW","OIHW",,""
