Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[16, 3, 3, 3], float32[1, 16, 112, 112]",1,"opencl0",0,"6570fa4018b4d1fd","tvmgen_default_fused_nn_conv2d",nan,"NCHW","OIHW",,""
"float32[1, 16, 112, 112], float32[16], float32[1, 16, 112, 112]",1,"opencl0",0,"8bf39b6a5ae8cde3","tvmgen_default_fused_nn_bias_add",nan,,,,
"float32[1, 16, 112, 112], float32[], float32[1, 16, 112, 112]",1,"opencl0",0,"0a5a56dcf5a418b2","tvmgen_default_fused_multiply",nan,,,,
"float32[1, 16, 112, 112], float32[], float32[1, 16, 112, 112]",1,"opencl0",0,"393024df81dbde81","tvmgen_default_fused_add",nan,,,,
"float32[1, 16, 112, 112], float32[1, 16, 112, 112]",1,"opencl0",0,"d40dda033d13f9cd","tvmgen_default_fused_clip",nan,,,,
"float32[1, 16, 112, 112], float32[1, 16, 112, 112], float32[1, 16, 112, 112]",1,"opencl0",0,"b9b0d1ff4fa80fc2","tvmgen_default_fused_multiply_1",nan,,,,
"float32[1, 16, 112, 112], float32[16, 1, 3, 3], float32[1, 16, 56, 56]",1,"opencl0",0,"09672a0583daff18","tvmgen_default_fused_nn_conv2d_1",nan,"NCHW","OIHW",,""
"float32[1, 16, 56, 56], float32[16], float32[1, 16, 56, 56]",1,"opencl0",0,"d86df7b6efe2d25d","tvmgen_default_fused_nn_bias_add_1",nan,,,,
"float32[1, 16, 56, 56], float32[1, 16, 56, 56]",1,"opencl0",0,"51acc933e782a393","tvmgen_default_fused_nn_relu",nan,,,,
"float32[1, 16, 56, 56], float32[1, 16, 1, 1]",1,"opencl0",0,"bccef132e8d040e8","tvmgen_default_fused_nn_global_avg_pool2d",nan,,,"NCHW",""
"float32[1, 16, 1, 1], float32[8, 16, 1, 1], float32[1, 8, 1, 1]",1,"opencl0",0,"06dc4f8ad398159d","tvmgen_default_fused_nn_conv2d_2",nan,"NCHW","OIHW",,""
"float32[1, 8, 1, 1], float32[8], float32[1, 8, 1, 1]",1,"opencl0",0,"41f27d7263635b61","tvmgen_default_fused_nn_bias_add_2",nan,,,,
"float32[1, 8, 1, 1], float32[1, 8, 1, 1]",1,"opencl0",0,"560f4b1d122c311a","tvmgen_default_fused_nn_relu_1",nan,,,,
"float32[1, 8, 1, 1], float32[16, 8, 1, 1], float32[1, 16, 1, 1]",1,"opencl0",0,"eb9a12c68ff94075","tvmgen_default_fused_nn_conv2d_3",nan,"NCHW","OIHW",,""
"float32[1, 16, 1, 1], float32[16], float32[1, 16, 1, 1]",1,"opencl0",0,"3ce3f4ff89aee733","tvmgen_default_fused_nn_bias_add_3",nan,,,,
"float32[1, 16, 1, 1], float32[], float32[1, 16, 1, 1]",1,"opencl0",0,"c682451d079f4267","tvmgen_default_fused_multiply_2",nan,,,,
"float32[1, 16, 1, 1], float32[], float32[1, 16, 1, 1]",1,"opencl0",0,"71c6eb1ffa5c48a8","tvmgen_default_fused_add_1",nan,,,,
"float32[1, 16, 1, 1], float32[1, 16, 1, 1]",1,"opencl0",0,"b08feca666fdd2fd","tvmgen_default_fused_clip_1",nan,,,,
"float32[1, 16, 1, 1], float32[1, 16, 56, 56], float32[1, 16, 56, 56]",1,"opencl0",0,"446c953e7a3b46be","tvmgen_default_fused_multiply_3",nan,,,,
"float32[1, 16, 56, 56], float32[16, 16, 1, 1], float32[1, 16, 56, 56]",1,"opencl0",0,"beec5eef450176d2","tvmgen_default_fused_nn_conv2d_4",nan,"NCHW","OIHW",,""
"float32[1, 16, 56, 56], float32[16], float32[1, 16, 56, 56]",1,"opencl0",0,"d86df7b6efe2d25d","tvmgen_default_fused_nn_bias_add_1",nan,,,,
"float32[1, 16, 56, 56], float32[72, 16, 1, 1], float32[1, 72, 56, 56]",1,"opencl0",0,"e22f77c00b28c82d","tvmgen_default_fused_nn_conv2d_5",nan,"NCHW","OIHW",,""
"float32[1, 72, 56, 56], float32[72], float32[1, 72, 56, 56]",1,"opencl0",0,"3cee3e3dc5e4a5a7","tvmgen_default_fused_nn_bias_add_4",nan,,,,
"float32[1, 72, 56, 56], float32[1, 72, 56, 56]",1,"opencl0",0,"afac2115ffa37772","tvmgen_default_fused_nn_relu_2",nan,,,,
"float32[1, 72, 56, 56], float32[72, 1, 3, 3], float32[1, 72, 28, 28]",1,"opencl0",0,"1be8c90e4bb12ef4","tvmgen_default_fused_nn_conv2d_6",nan,"NCHW","OIHW",,""
"float32[1, 72, 28, 28], float32[72], float32[1, 72, 28, 28]",1,"opencl0",0,"0970f383585e88e4","tvmgen_default_fused_nn_bias_add_5",nan,,,,
"float32[1, 72, 28, 28], float32[1, 72, 28, 28]",1,"opencl0",0,"62340b15904dd75b","tvmgen_default_fused_nn_relu_3",nan,,,,
"float32[1, 72, 28, 28], float32[24, 72, 1, 1], float32[1, 24, 28, 28]",1,"opencl0",0,"1e040c3825975ba9","tvmgen_default_fused_nn_conv2d_7",nan,"NCHW","OIHW",,""
"float32[1, 24, 28, 28], float32[24], float32[1, 24, 28, 28]",1,"opencl0",0,"486406f1530b614d","tvmgen_default_fused_nn_bias_add_6",nan,,,,
"float32[1, 24, 28, 28], float32[88, 24, 1, 1], float32[1, 88, 28, 28]",1,"opencl0",0,"573fcf5db6ee37d7","tvmgen_default_fused_nn_conv2d_8",nan,"NCHW","OIHW",,""
"float32[1, 88, 28, 28], float32[88], float32[1, 88, 28, 28]",1,"opencl0",0,"bf3969de9d3cc3e7","tvmgen_default_fused_nn_bias_add_7",nan,,,,
"float32[1, 88, 28, 28], float32[1, 88, 28, 28]",1,"opencl0",0,"88aa5b08cf6a8dbc","tvmgen_default_fused_nn_relu_4",nan,,,,
"float32[1, 88, 28, 28], float32[88, 1, 3, 3], float32[1, 88, 28, 28]",1,"opencl0",0,"412c41d3c5f82f52","tvmgen_default_fused_nn_conv2d_9",nan,"NCHW","OIHW",,""
"float32[1, 88, 28, 28], float32[88], float32[1, 88, 28, 28]",1,"opencl0",0,"bf3969de9d3cc3e7","tvmgen_default_fused_nn_bias_add_7",nan,,,,
"float32[1, 88, 28, 28], float32[1, 88, 28, 28]",1,"opencl0",0,"88aa5b08cf6a8dbc","tvmgen_default_fused_nn_relu_4",nan,,,,
"float32[1, 88, 28, 28], float32[24, 88, 1, 1], float32[1, 24, 28, 28]",1,"opencl0",0,"2a4b69eca5f450d7","tvmgen_default_fused_nn_conv2d_10",nan,"NCHW","OIHW",,""
"float32[1, 24, 28, 28], float32[24], float32[1, 24, 28, 28]",1,"opencl0",0,"486406f1530b614d","tvmgen_default_fused_nn_bias_add_6",nan,,,,
"float32[1, 24, 28, 28], float32[1, 24, 28, 28], float32[1, 24, 28, 28]",1,"opencl0",0,"4360946fbba38334","tvmgen_default_fused_add_2",nan,,,,
"float32[1, 24, 28, 28], float32[96, 24, 1, 1], float32[1, 96, 28, 28]",1,"opencl0",0,"dcabbdd421a2389e","tvmgen_default_fused_nn_conv2d_11",nan,"NCHW","OIHW",,""
"float32[1, 96, 28, 28], float32[96], float32[1, 96, 28, 28]",1,"opencl0",0,"04f09fa7416b9c0e","tvmgen_default_fused_nn_bias_add_8",nan,,,,
"float32[1, 96, 28, 28], float32[], float32[1, 96, 28, 28]",1,"opencl0",0,"7bcd6c8265d25863","tvmgen_default_fused_multiply_4",nan,,,,
"float32[1, 96, 28, 28], float32[], float32[1, 96, 28, 28]",1,"opencl0",0,"d030f18b635f93a6","tvmgen_default_fused_add_3",nan,,,,
"float32[1, 96, 28, 28], float32[1, 96, 28, 28]",1,"opencl0",0,"c4dd23f754153b53","tvmgen_default_fused_clip_2",nan,,,,
"float32[1, 96, 28, 28], float32[1, 96, 28, 28], float32[1, 96, 28, 28]",1,"opencl0",0,"bd0fb6ef7fc9e00c","tvmgen_default_fused_multiply_5",nan,,,,
"float32[1, 96, 28, 28], float32[96, 1, 5, 5], float32[1, 96, 14, 14]",1,"opencl0",0,"c10127ee3100de5a","tvmgen_default_fused_nn_conv2d_12",nan,"NCHW","OIHW",,""
"float32[1, 96, 14, 14], float32[96], float32[1, 96, 14, 14]",1,"opencl0",0,"5046057975e69694","tvmgen_default_fused_nn_bias_add_9",nan,,,,
"float32[1, 96, 14, 14], float32[], float32[1, 96, 14, 14]",1,"opencl0",0,"6e6a2f59fb501221","tvmgen_default_fused_multiply_6",nan,,,,
"float32[1, 96, 14, 14], float32[], float32[1, 96, 14, 14]",1,"opencl0",0,"90f0df1945c18378","tvmgen_default_fused_add_4",nan,,,,
"float32[1, 96, 14, 14], float32[1, 96, 14, 14]",1,"opencl0",0,"9aa19e026162ec79","tvmgen_default_fused_clip_3",nan,,,,
"float32[1, 96, 14, 14], float32[1, 96, 14, 14], float32[1, 96, 14, 14]",1,"opencl0",0,"666e61d3f5bc910f","tvmgen_default_fused_multiply_7",nan,,,,
"float32[1, 96, 14, 14], float32[1, 96, 1, 1]",1,"opencl0",0,"dfabbb927b94d1d3","tvmgen_default_fused_nn_global_avg_pool2d_1",nan,,,"NCHW",""
"float32[1, 96, 1, 1], float32[24, 96, 1, 1], float32[1, 24, 1, 1]",1,"opencl0",0,"d47d66b824248298","tvmgen_default_fused_nn_conv2d_13",nan,"NCHW","OIHW",,""
"float32[1, 24, 1, 1], float32[24], float32[1, 24, 1, 1]",1,"opencl0",0,"b53e1af9c4d456c2","tvmgen_default_fused_nn_bias_add_10",nan,,,,
"float32[1, 24, 1, 1], float32[1, 24, 1, 1]",1,"opencl0",0,"e3a5b68bc75dfc9c","tvmgen_default_fused_nn_relu_5",nan,,,,
"float32[1, 24, 1, 1], float32[96, 24, 1, 1], float32[1, 96, 1, 1]",1,"opencl0",0,"34051e8b468926f5","tvmgen_default_fused_nn_conv2d_14",nan,"NCHW","OIHW",,""
"float32[1, 96, 1, 1], float32[96], float32[1, 96, 1, 1]",1,"opencl0",0,"a76a2d544dd8050b","tvmgen_default_fused_nn_bias_add_11",nan,,,,
"float32[1, 96, 1, 1], float32[], float32[1, 96, 1, 1]",1,"opencl0",0,"b6a68e3a8d960161","tvmgen_default_fused_multiply_8",nan,,,,
"float32[1, 96, 1, 1], float32[], float32[1, 96, 1, 1]",1,"opencl0",0,"831292ad5964d7f9","tvmgen_default_fused_add_5",nan,,,,
"float32[1, 96, 1, 1], float32[1, 96, 1, 1]",1,"opencl0",0,"bcc5d6d8f33b88c6","tvmgen_default_fused_clip_4",nan,,,,
"float32[1, 96, 1, 1], float32[1, 96, 14, 14], float32[1, 96, 14, 14]",1,"opencl0",0,"c40e96183e410d50","tvmgen_default_fused_multiply_9",nan,,,,
"float32[1, 96, 14, 14], float32[40, 96, 1, 1], float32[1, 40, 14, 14]",1,"opencl0",0,"ce41d441805df5bc","tvmgen_default_fused_nn_conv2d_15",nan,"NCHW","OIHW",,""
"float32[1, 40, 14, 14], float32[40], float32[1, 40, 14, 14]",1,"opencl0",0,"dc92fdefdf598184","tvmgen_default_fused_nn_bias_add_12",nan,,,,
"float32[1, 40, 14, 14], float32[240, 40, 1, 1], float32[1, 240, 14, 14]",1,"opencl0",0,"9348ca97e46ed88d","tvmgen_default_fused_nn_conv2d_16",nan,"NCHW","OIHW",,""
"float32[1, 240, 14, 14], float32[240], float32[1, 240, 14, 14]",1,"opencl0",0,"be3f05c113a32e32","tvmgen_default_fused_nn_bias_add_13",nan,,,,
"float32[1, 240, 14, 14], float32[], float32[1, 240, 14, 14]",1,"opencl0",0,"0d30928b6f3ad8dd","tvmgen_default_fused_multiply_10",nan,,,,
"float32[1, 240, 14, 14], float32[], float32[1, 240, 14, 14]",1,"opencl0",0,"a2a0a32091c43e47","tvmgen_default_fused_add_6",nan,,,,
