Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,out_layout
"float32[1, 3, 224, 224], float32[40, 3, 3, 3], float32[1, 40, 112, 112]",1,"opencl0",15114.8,"a991296d34593158","tvmgen_default_fused_nn_conv2d",7.71132,"NCHW","OIHW",""
"float32[1, 40, 112, 112], float32[40], float32[1, 40, 112, 112]",1,"opencl0",706.633,"ba6017033fda5ee3","tvmgen_default_fused_nn_bias_add",0.360514,,,
"float32[1, 40, 112, 112], float32[1, 40, 112, 112]",1,"opencl0",692.05,"f6945ce2e927d8e9","tvmgen_default_fused_nn_relu",0.353074,,,
"float32[1, 40, 112, 112], float32[40, 1, 3, 3], float32[1, 40, 112, 112]",1,"opencl0",3707.74,"f3b156bb22fc086e","tvmgen_default_fused_nn_conv2d_1",1.89163,"NCHW","OIHW",""
"float32[1, 40, 112, 112], float32[40], float32[1, 40, 112, 112]",1,"opencl0",705.551,"ba6017033fda5ee3","tvmgen_default_fused_nn_bias_add",0.359962,,,
"float32[1, 40, 112, 112], float32[1, 40, 112, 112]",1,"opencl0",690.078,"f6945ce2e927d8e9","tvmgen_default_fused_nn_relu",0.352068,,,
"float32[1, 40, 112, 112], float32[24, 40, 1, 1], float32[1, 24, 112, 112]",1,"opencl0",3613.07,"0b1b67e817a95fbb","tvmgen_default_fused_nn_conv2d_2",1.84334,"NCHW","OIHW",""
"float32[1, 24, 112, 112], float32[24], float32[1, 24, 112, 112]",1,"opencl0",418.183,"28730b13f53b4620","tvmgen_default_fused_nn_bias_add_1",0.213351,,,
"float32[1, 24, 112, 112], float32[72, 24, 1, 1], float32[1, 72, 112, 112]",1,"opencl0",5308.27,"e92bcb346ee43948","tvmgen_default_fused_nn_conv2d_3",2.7082,"NCHW","OIHW",""
"float32[1, 72, 112, 112], float32[72], float32[1, 72, 112, 112]",1,"opencl0",1297.08,"a507d12213586b39","tvmgen_default_fused_nn_bias_add_2",0.661748,,,
"float32[1, 72, 112, 112], float32[1, 72, 112, 112]",1,"opencl0",1270.52,"c4f1077195e095f3","tvmgen_default_fused_nn_relu_1",0.648202,,,
"float32[1, 72, 112, 112], float32[72, 1, 3, 3], float32[1, 72, 56, 56]",1,"opencl0",4304.01,"4e86aec0ddda81cf","tvmgen_default_fused_nn_conv2d_4",2.19584,"NCHW","OIHW",""
"float32[1, 72, 56, 56], float32[72], float32[1, 72, 56, 56]",1,"opencl0",299.58,"3cee3e3dc5e4a5a7","tvmgen_default_fused_nn_bias_add_3",0.152841,,,
"float32[1, 72, 56, 56], float32[1, 72, 56, 56]",1,"opencl0",297.645,"afac2115ffa37772","tvmgen_default_fused_nn_relu_2",0.151854,,,
"float32[1, 72, 56, 56], float32[32, 72, 1, 1], float32[1, 32, 56, 56]",1,"opencl0",1381.58,"9c54a869607bf344","tvmgen_default_fused_nn_conv2d_5",0.704862,"NCHW","OIHW",""
"float32[1, 32, 56, 56], float32[32], float32[1, 32, 56, 56]",1,"opencl0",127.471,"f29e6a0c51a3d88b","tvmgen_default_fused_nn_bias_add_4",0.0650338,,,
"float32[1, 32, 56, 56], float32[96, 32, 1, 1], float32[1, 96, 56, 56]",1,"opencl0",1879.4,"9b3a99b99513584f","tvmgen_default_fused_nn_conv2d_6",0.958842,"NCHW","OIHW",""
"float32[1, 96, 56, 56], float32[96], float32[1, 96, 56, 56]",1,"opencl0",412.871,"ed732ee6422ed85f","tvmgen_default_fused_nn_bias_add_5",0.210641,,,
"float32[1, 96, 56, 56], float32[1, 96, 56, 56]",1,"opencl0",397.626,"156f41187a63fcb0","tvmgen_default_fused_nn_relu_3",0.202863,,,
