Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,out_layout
"float32[1, 3, 224, 224], float32[32, 3, 3, 3], float32[1, 32, 112, 112]",1,"opencl0",3293.99,"a6253b04e6d10a75","tvmgen_default_fused_nn_conv2d",3.12919,"NCHW","OIHW",""
"float32[1, 32, 112, 112], float32[32], float32[1, 32, 112, 112]",1,"opencl0",569.178,"c614191b65dc6e6d","tvmgen_default_fused_nn_bias_add",0.540703,,,
"float32[1, 32, 112, 112], float32[1, 32, 112, 112]",1,"opencl0",548.632,"5c0d333ced61fb05","tvmgen_default_fused_nn_relu",0.521185,,,
"float32[1, 32, 112, 112], float32[32, 1, 3, 3], float32[1, 32, 112, 112]",1,"opencl0",2935.97,"fa3dd60aeda4e612","tvmgen_default_fused_nn_conv2d_1",2.78909,"NCHW","OIHW",""
"float32[1, 32, 112, 112], float32[32], float32[1, 32, 112, 112]",1,"opencl0",563.122,"c614191b65dc6e6d","tvmgen_default_fused_nn_bias_add",0.53495,,,
"float32[1, 32, 112, 112], float32[1, 32, 112, 112]",1,"opencl0",550.774,"5c0d333ced61fb05","tvmgen_default_fused_nn_relu",0.523219,,,
"float32[1, 32, 112, 112], float32[16, 32, 1, 1], float32[1, 16, 112, 112]",1,"opencl0",1806.34,"88a00a0ecafdbee1","tvmgen_default_fused_nn_conv2d_2",1.71597,"NCHW","OIHW",""
"float32[1, 16, 112, 112], float32[16], float32[1, 16, 112, 112]",1,"opencl0",270.038,"8bf39b6a5ae8cde3","tvmgen_default_fused_nn_bias_add_1",0.256528,,,
"float32[1, 16, 112, 112], float32[48, 16, 1, 1], float32[1, 48, 112, 112]",1,"opencl0",2668.97,"4c90dbe22b17a0b2","tvmgen_default_fused_nn_conv2d_3",2.53544,"NCHW","OIHW",""
"float32[1, 48, 112, 112], float32[48], float32[1, 48, 112, 112]",1,"opencl0",858.674,"cfbb483287fb2cc9","tvmgen_default_fused_nn_bias_add_2",0.815716,,,
"float32[1, 48, 112, 112], float32[1, 48, 112, 112]",1,"opencl0",838.417,"74fea7a7c47c989c","tvmgen_default_fused_nn_relu_1",0.796472,,,
"float32[1, 48, 112, 112], float32[48, 1, 3, 3], float32[1, 48, 56, 56]",1,"opencl0",2832.9,"0d6edcd6efdc7c9b","tvmgen_default_fused_nn_conv2d_4",2.69118,"NCHW","OIHW",""
"float32[1, 48, 56, 56], float32[48], float32[1, 48, 56, 56]",1,"opencl0",199.075,"672ae7232e0d9436","tvmgen_default_fused_nn_bias_add_3",0.189116,,,
"float32[1, 48, 56, 56], float32[1, 48, 56, 56]",1,"opencl0",191.617,"8ad9c7c7caa6c0d4","tvmgen_default_fused_nn_relu_2",0.182031,,,
"float32[1, 48, 56, 56], float32[24, 48, 1, 1], float32[1, 24, 56, 56]",1,"opencl0",803.956,"0d31befcf25c50d3","tvmgen_default_fused_nn_conv2d_5",0.763735,"NCHW","OIHW",""
"float32[1, 24, 56, 56], float32[24], float32[1, 24, 56, 56]",1,"opencl0",98.221,"e4acad988f6f3b1d","tvmgen_default_fused_nn_bias_add_4",0.0933071,,,
"float32[1, 24, 56, 56], float32[72, 24, 1, 1], float32[1, 72, 56, 56]",1,"opencl0",1209.99,"08d99171b88f9b5d","tvmgen_default_fused_nn_conv2d_6",1.14946,"NCHW","OIHW",""
"float32[1, 72, 56, 56], float32[72], float32[1, 72, 56, 56]",1,"opencl0",317.506,"3cee3e3dc5e4a5a7","tvmgen_default_fused_nn_bias_add_5",0.301622,,,
"float32[1, 72, 56, 56], float32[1, 72, 56, 56]",1,"opencl0",300.736,"afac2115ffa37772","tvmgen_default_fused_nn_relu_3",0.285691,,,
"float32[1, 72, 56, 56], float32[72, 1, 3, 3], float32[1, 72, 56, 56]",1,"opencl0",1322.21,"ad8128a34fd692ca","tvmgen_default_fused_nn_conv2d_7",1.25606,"NCHW","OIHW",""
"float32[1, 72, 56, 56], float32[72], float32[1, 72, 56, 56]",1,"opencl0",314.234,"3cee3e3dc5e4a5a7","tvmgen_default_fused_nn_bias_add_5",0.298513,,,
"float32[1, 72, 56, 56], float32[1, 72, 56, 56]",1,"opencl0",304.213,"afac2115ffa37772","tvmgen_default_fused_nn_relu_3",0.288994,,,
"float32[1, 72, 56, 56], float32[24, 72, 1, 1], float32[1, 24, 56, 56]",1,"opencl0",1217.23,"aeaddcb949ce4f33","tvmgen_default_fused_nn_conv2d_8",1.15633,"NCHW","OIHW",""
"float32[1, 24, 56, 56], float32[24], float32[1, 24, 56, 56]",1,"opencl0",97.508,"e4acad988f6f3b1d","tvmgen_default_fused_nn_bias_add_4",0.0926298,,,
