Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[64, 3, 7, 7], float32[1, 64, 112, 112]",1,"opencl0",174811,"2dcc36ff177ff7f3","tvmgen_default_fused_nn_conv2d",26.8424,"NCHW","OIHW",,""
"float32[1, 64, 112, 112], float32[64], float32[1, 64, 112, 112]",1,"opencl0",1158.19,"ae883222383b594f","tvmgen_default_fused_nn_bias_add",0.177842,,,,
"float32[1, 64, 112, 112], float32[1, 64, 112, 112]",1,"opencl0",1130.4,"ad0ba631890195c8","tvmgen_default_fused_nn_relu",0.173574,,,,
"float32[1, 64, 112, 112], float32[1, 64, 56, 56]",1,"opencl0",976.164,"f9a2c55cab74f218","tvmgen_default_fused_nn_max_pool2d",0.149891,,,"NCHW",""
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[1, 64, 56, 56]",1,"opencl0",22049.2,"ecc925d282246df8","tvmgen_default_fused_nn_conv2d_1",3.38567,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]",1,"opencl0",265.809,"0af568e9467d38ce","tvmgen_default_fused_nn_bias_add_1",0.0408152,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",270.5,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.0415355,,,,
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[1, 64, 56, 56]",1,"opencl0",31034.4,"ecc925d282246df8","tvmgen_default_fused_nn_conv2d_1",4.76537,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]",1,"opencl0",284.228,"0af568e9467d38ce","tvmgen_default_fused_nn_bias_add_1",0.0436435,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",405.586,"8e9a0625ad1ad196","tvmgen_default_fused_add",0.0622781,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",271.631,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.0417092,,,,
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[1, 64, 56, 56]",1,"opencl0",22428.3,"ecc925d282246df8","tvmgen_default_fused_nn_conv2d_1",3.44389,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]",1,"opencl0",281.501,"0af568e9467d38ce","tvmgen_default_fused_nn_bias_add_1",0.0432247,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",261.641,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.0401752,,,,
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[1, 64, 56, 56]",1,"opencl0",30501.4,"ecc925d282246df8","tvmgen_default_fused_nn_conv2d_1",4.68352,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]",1,"opencl0",271.768,"0af568e9467d38ce","tvmgen_default_fused_nn_bias_add_1",0.0417302,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",411.797,"8e9a0625ad1ad196","tvmgen_default_fused_add",0.0632318,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",260.999,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.0400766,,,,
"float32[1, 64, 56, 56], float32[128, 64, 3, 3], float32[1, 128, 28, 28]",1,"opencl0",10213.4,"241fb1727cd5c9f6","tvmgen_default_fused_nn_conv2d_2",1.56827,"NCHW","OIHW",,""
"float32[1, 128, 28, 28], float32[128], float32[1, 128, 28, 28]",1,"opencl0",129.436,"955e212d83ef6da9","tvmgen_default_fused_nn_bias_add_2",0.019875,,,,
"float32[1, 128, 28, 28], float32[1, 128, 28, 28]",1,"opencl0",123.989,"ad9e375b69967565","tvmgen_default_fused_nn_relu_2",0.0190386,,,,
"float32[1, 128, 28, 28], float32[128, 128, 3, 3], float32[1, 128, 28, 28]",1,"opencl0",18822.2,"56a142616996fd9b","tvmgen_default_fused_nn_conv2d_3",2.89016,"NCHW","OIHW",,""
"float32[1, 128, 28, 28], float32[128], float32[1, 128, 28, 28]",1,"opencl0",129.746,"955e212d83ef6da9","tvmgen_default_fused_nn_bias_add_2",0.0199226,,,,
"float32[1, 64, 56, 56], float32[128, 64, 1, 1], float32[1, 128, 28, 28]",1,"opencl0",1184.73,"b28c2f02369cb7a7","tvmgen_default_fused_nn_conv2d_4",0.181916,"NCHW","OIHW",,""
"float32[1, 128, 28, 28], float32[128], float32[1, 128, 28, 28]",1,"opencl0",131.698,"955e212d83ef6da9","tvmgen_default_fused_nn_bias_add_2",0.0202223,,,,
"float32[1, 128, 28, 28], float32[1, 128, 28, 28], float32[1, 128, 28, 28]",1,"opencl0",199.834,"5cf5d1c78ab87c80","tvmgen_default_fused_add_1",0.0306847,,,,
"float32[1, 128, 28, 28], float32[1, 128, 28, 28]",1,"opencl0",124.837,"ad9e375b69967565","tvmgen_default_fused_nn_relu_2",0.0191688,,,,
"float32[1, 128, 28, 28], float32[128, 128, 3, 3], float32[1, 128, 28, 28]",1,"opencl0",18400.2,"56a142616996fd9b","tvmgen_default_fused_nn_conv2d_3",2.82536,"NCHW","OIHW",,""
"float32[1, 128, 28, 28], float32[128], float32[1, 128, 28, 28]",1,"opencl0",131.061,"955e212d83ef6da9","tvmgen_default_fused_nn_bias_add_2",0.0201245,,,,
