Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[64, 3, 3, 3], float32[1, 64, 224, 224]",1,"opencl0",96845.9,"98334219283a64cf","tvmgen_default_fused_nn_conv2d",2.01095,"NCHW","OIHW",,""
"float32[1, 64, 224, 224], float32[64], float32[1, 64, 224, 224]",1,"opencl0",6096.91,"5fb4e90c5f1a0d23","tvmgen_default_fused_nn_bias_add",0.126599,,,,
"float32[1, 64, 224, 224], float32[1, 64, 224, 224]",1,"opencl0",6276.91,"de5d3359bcb15743","tvmgen_default_fused_nn_relu",0.130337,,,,
"float32[1, 64, 224, 224], float32[64, 64, 3, 3], float32[1, 64, 224, 224]",1,"opencl0",429314,"84094f9c15a717f2","tvmgen_default_fused_nn_conv2d_1",8.91446,"NCHW","OIHW",,""
"float32[1, 64, 224, 224], float32[64], float32[1, 64, 224, 224]",1,"opencl0",6152.12,"5fb4e90c5f1a0d23","tvmgen_default_fused_nn_bias_add",0.127745,,,,
"float32[1, 64, 224, 224], float32[1, 64, 224, 224]",1,"opencl0",6221.96,"de5d3359bcb15743","tvmgen_default_fused_nn_relu",0.129196,,,,
"float32[1, 64, 224, 224], float32[1, 64, 112, 112]",1,"opencl0",2728.99,"66b15f13bd0ef16f","tvmgen_default_fused_nn_max_pool2d",0.056666,,,"NCHW",""
"float32[1, 64, 112, 112], float32[128, 64, 3, 3], float32[1, 128, 112, 112]",1,"opencl0",132270,"6c949953cd28320d","tvmgen_default_fused_nn_conv2d_2",2.74651,"NCHW","OIHW",,""
"float32[1, 128, 112, 112], float32[128], float32[1, 128, 112, 112]",1,"opencl0",2960.45,"42803c08d82f336b","tvmgen_default_fused_nn_bias_add_1",0.061472,,,,
"float32[1, 128, 112, 112], float32[1, 128, 112, 112]",1,"opencl0",2964.33,"6906d3b37d08f0fb","tvmgen_default_fused_nn_relu_1",0.0615526,,,,
"float32[1, 128, 112, 112], float32[128, 128, 3, 3], float32[1, 128, 112, 112]",1,"opencl0",236857,"99d5efd7af165ec2","tvmgen_default_fused_nn_conv2d_3",4.91821,"NCHW","OIHW",,""
"float32[1, 128, 112, 112], float32[128], float32[1, 128, 112, 112]",1,"opencl0",2885.31,"42803c08d82f336b","tvmgen_default_fused_nn_bias_add_1",0.0599118,,,,
"float32[1, 128, 112, 112], float32[1, 128, 112, 112]",1,"opencl0",2890.78,"6906d3b37d08f0fb","tvmgen_default_fused_nn_relu_1",0.0600254,,,,
"float32[1, 128, 112, 112], float32[1, 128, 56, 56]",1,"opencl0",1360.65,"abf726ad48a565ba","tvmgen_default_fused_nn_max_pool2d_1",0.0282532,,,"NCHW",""
"float32[1, 128, 56, 56], float32[256, 128, 3, 3], float32[1, 256, 56, 56]",1,"opencl0",90211.3,"c91f4f33877bc26b","tvmgen_default_fused_nn_conv2d_4",1.87319,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"opencl0",1391.3,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_2",0.0288896,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"opencl0",1357.09,"2920dd789f380081","tvmgen_default_fused_nn_relu_2",0.0281792,,,,
"float32[1, 256, 56, 56], float32[256, 256, 3, 3], float32[1, 256, 56, 56]",1,"opencl0",199456,"ffc9f017a80622a4","tvmgen_default_fused_nn_conv2d_5",4.1416,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"opencl0",1299,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_2",0.026973,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"opencl0",1362.13,"2920dd789f380081","tvmgen_default_fused_nn_relu_2",0.0282839,,,,
"float32[1, 256, 56, 56], float32[256, 256, 3, 3], float32[1, 256, 56, 56]",1,"opencl0",196912,"ffc9f017a80622a4","tvmgen_default_fused_nn_conv2d_5",4.08878,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"opencl0",1212.95,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_2",0.0251862,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"opencl0",1366.99,"2920dd789f380081","tvmgen_default_fused_nn_relu_2",0.0283848,,,,
"float32[1, 256, 56, 56], float32[1, 256, 28, 28]",1,"opencl0",654.532,"40b91251aa1c0102","tvmgen_default_fused_nn_max_pool2d_2",0.013591,,,"NCHW",""
"float32[1, 256, 28, 28], float32[512, 256, 3, 3], float32[1, 512, 28, 28]",1,"opencl0",102020,"268accfd24b422b1","tvmgen_default_fused_nn_conv2d_6",2.11838,"NCHW","OIHW",,""
"float32[1, 512, 28, 28], float32[512], float32[1, 512, 28, 28]",1,"opencl0",671.523,"2b44fee34eaf69ef","tvmgen_default_fused_nn_bias_add_3",0.0139438,,,,
"float32[1, 512, 28, 28], float32[1, 512, 28, 28]",1,"opencl0",652.848,"a10fb7f10331e950","tvmgen_default_fused_nn_relu_3",0.013556,,,,
