Name                                       Duration (us)  Percent  Device  Count                                                               Argument Shapes              Hash  data_layout  kernel_layout  layout  out_layout  
tvmgen_default_fused_nn_conv2d_11             124,875.20    26.90    cpu0     23     float32[1, 256, 14, 14], float32[256, 256, 3, 3], float32[1, 256, 14, 14]  102ca68b15acf6ed         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_12              71,243.62    15.34    cpu0     23   float32[1, 256, 14, 14], float32[1024, 256, 1, 1], float32[1, 1024, 14, 14]  4a75bcf8ffd598be         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_14              70,021.46    15.08    cpu0     22   float32[1, 1024, 14, 14], float32[256, 1024, 1, 1], float32[1, 256, 14, 14]  38f84bb015a2b952         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_16              22,649.76     4.88    cpu0      3         float32[1, 512, 7, 7], float32[512, 512, 3, 3], float32[1, 512, 7, 7]  276b1bf1f8e3b39b         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_6               21,565.08     4.64    cpu0      4     float32[1, 128, 28, 28], float32[128, 128, 3, 3], float32[1, 128, 28, 28]  56a142616996fd9b         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_2               17,669.78     3.81    cpu0      3         float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[1, 64, 56, 56]  ecc925d282246df8         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_3               10,940.92     2.36    cpu0      4       float32[1, 64, 56, 56], float32[256, 64, 1, 1], float32[1, 256, 56, 56]  4661840ceddb3dd0         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_7               10,382.42     2.24    cpu0      4     float32[1, 128, 28, 28], float32[512, 128, 1, 1], float32[1, 512, 28, 28]  75f8ab87f5e00be5         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_9                9,375.08     2.02    cpu0      3     float32[1, 512, 28, 28], float32[128, 512, 1, 1], float32[1, 128, 28, 28]  2e1a98329397a6ba         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_17               9,286.72     2.00    cpu0      3       float32[1, 512, 7, 7], float32[2048, 512, 1, 1], float32[1, 2048, 7, 7]  307d72e1ef93587a         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_19               6,686.60     1.44    cpu0      2       float32[1, 2048, 7, 7], float32[512, 2048, 1, 1], float32[1, 512, 7, 7]  b6bd738f029bfaf8         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_8                6,495.32     1.40    cpu0      1     float32[1, 256, 56, 56], float32[512, 256, 1, 1], float32[1, 512, 28, 28]  cc43ce550f3669c0         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_18               6,460.31     1.39    cpu0      1   float32[1, 1024, 14, 14], float32[2048, 1024, 1, 1], float32[1, 2048, 7, 7]  086626fb983488e9         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_13               6,456.63     1.39    cpu0      1   float32[1, 512, 28, 28], float32[1024, 512, 1, 1], float32[1, 1024, 14, 14]  82064d526243da34         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_4                6,176.56     1.33    cpu0      2       float32[1, 256, 56, 56], float32[64, 256, 1, 1], float32[1, 64, 56, 56]  29aadc13e1f63dcf         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d                  5,940.73     1.28    cpu0      1       float32[1, 3, 224, 224], float32[64, 3, 7, 7], float32[1, 64, 112, 112]  2dcc36ff177ff7f3         NCHW           OIHW                      
tvmgen_default_fused_rsqrt_1                    4,666.59     1.01    cpu0     50                                                    float32[256], float32[256]  9b2e34fb6a6bfbe9                                                  
tvmgen_default_fused_nn_conv2d_15               2,117.12     0.46    cpu0      1     float32[1, 1024, 14, 14], float32[512, 1024, 1, 1], float32[1, 512, 7, 7]  4d558af09fef0400         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_5                1,800.46     0.39    cpu0      1     float32[1, 256, 56, 56], float32[128, 256, 1, 1], float32[1, 128, 28, 28]  e437cc4df5209bcd         NCHW           OIHW                      
tvmgen_default_fused_nn_conv2d_10               1,729.77     0.37    cpu0      1     float32[1, 512, 28, 28], float32[256, 512, 1, 1], float32[1, 256, 14, 14]  0bb6aa789cc92d18         NCHW           OIHW                      
tvmgen_default_fused_add_19                     1,626.15     0.35    cpu0     23  float32[1, 1024, 14, 14], float32[1, 1024, 14, 14], float32[1, 1024, 14, 14]  0521651fff67a1b0                                                  
tvmgen_default_fused_nn_bias_add_5              1,552.90     0.33    cpu0     23             float32[1, 1024, 14, 14], float32[1024], float32[1, 1024, 14, 14]  b08257a6ef7eab9c                                                  
tvmgen_default_fused_multiply_3                 1,475.16     0.32    cpu0    100                                      float32[256], float32[256], float32[256]  148aae3520e4f16f                                                  
tvmgen_default_fused_multiply_11                1,456.61     0.31    cpu0     24       float32[1, 1024, 14, 14], float32[1024, 1, 1], float32[1, 1024, 14, 14]  c609ece817963a81                                                  
tvmgen_default_fused_nn_dense                   1,407.12     0.30    cpu0      1                       float32[1, 2048], float32[1000, 2048], float32[1, 1000]  d5eb464f657dea79                                                  
tvmgen_default_fused_nn_relu_6                  1,400.64     0.30    cpu0     23                            float32[1, 1024, 14, 14], float32[1, 1024, 14, 14]  bc643c54126dfacb                                                  
tvmgen_default_fused_add_7                      1,204.64     0.26    cpu0      3     float32[1, 256, 56, 56], float32[1, 256, 56, 56], float32[1, 256, 56, 56]  7dcbb76e6587b0ac                                                  
tvmgen_default_fused_multiply_4                 1,137.11     0.24    cpu0      4          float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]  b16d921f9a314ce4                                                  
tvmgen_default_fused_add_18                     1,109.23     0.24    cpu0     24       float32[1, 1024, 14, 14], float32[1024, 1, 1], float32[1, 1024, 14, 14]  07401136a059a852                                                  
tvmgen_default_fused_add_15                       993.01     0.21    cpu0     46          float32[1, 256, 14, 14], float32[256, 1, 1], float32[1, 256, 14, 14]  68d2632744b5fbc3                                                  
tvmgen_default_fused_add_6                        963.76     0.21    cpu0      4          float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]  32d56419d578e7b8                                                  
tvmgen_default_fused_nn_relu_5                    948.61     0.20    cpu0     46                              float32[1, 256, 14, 14], float32[1, 256, 14, 14]  346ba2f565b78c41                                                  
tvmgen_default_fused_multiply_9                   943.81     0.20    cpu0     46          float32[1, 256, 14, 14], float32[256, 1, 1], float32[1, 256, 14, 14]  1702cebea80e31ed                                                  
tvmgen_default_fused_nn_bias_add_1                902.72     0.19    cpu0      3                float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]  fdcc6546a3583528                                                  
tvmgen_default_fused_nn_conv2d_1                  773.38     0.17    cpu0      1         float32[1, 64, 56, 56], float32[64, 64, 1, 1], float32[1, 64, 56, 56]  c1e6ee8288d5158d         NCHW           OIHW                      
