Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[64, 3, 3, 3], float32[1, 64, 224, 224]",1,"opencl0",90423,"98334219283a64cf","tvmgen_default_fused_nn_conv2d",2.80746,"NCHW","OIHW",,""
"float32[1, 64, 224, 224], float32[64], float32[1, 64, 224, 224]",1,"opencl0",5089.5,"5fb4e90c5f1a0d23","tvmgen_default_fused_nn_bias_add",0.158019,,,,
"float32[1, 64, 224, 224], float32[1, 64, 224, 224]",1,"opencl0",4996,"de5d3359bcb15743","tvmgen_default_fused_nn_relu",0.155116,,,,
"float32[1, 64, 224, 224], float32[1, 64, 112, 112]",1,"opencl0",2245.09,"66b15f13bd0ef16f","tvmgen_default_fused_nn_max_pool2d",0.0697058,,,"NCHW",""
"float32[1, 64, 112, 112], float32[128, 64, 3, 3], float32[1, 128, 112, 112]",1,"opencl0",128122,"6c949953cd28320d","tvmgen_default_fused_nn_conv2d_1",3.97795,"NCHW","OIHW",,""
"float32[1, 128, 112, 112], float32[128], float32[1, 128, 112, 112]",1,"opencl0",2398.92,"42803c08d82f336b","tvmgen_default_fused_nn_bias_add_1",0.0744817,,,,
"float32[1, 128, 112, 112], float32[1, 128, 112, 112]",1,"opencl0",2278.94,"6906d3b37d08f0fb","tvmgen_default_fused_nn_relu_1",0.0707565,,,,
"float32[1, 128, 112, 112], float32[1, 128, 56, 56]",1,"opencl0",1129.13,"abf726ad48a565ba","tvmgen_default_fused_nn_max_pool2d_1",0.0350574,,,"NCHW",""
"float32[1, 128, 56, 56], float32[256, 128, 3, 3], float32[1, 256, 56, 56]",1,"opencl0",87460.5,"c91f4f33877bc26b","tvmgen_default_fused_nn_conv2d_2",2.71548,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"opencl0",1146.47,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_2",0.0355957,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"opencl0",1118.28,"2920dd789f380081","tvmgen_default_fused_nn_relu_2",0.0347202,,,,
"float32[1, 256, 56, 56], float32[256, 256, 3, 3], float32[1, 256, 56, 56]",1,"opencl0",194874,"ffc9f017a80622a4","tvmgen_default_fused_nn_conv2d_3",6.05044,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"opencl0",1146.11,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_2",0.0355844,,,,
