Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[64, 3, 3, 3], float32[1, 64, 224, 224]",1,"opencl0",70396.3,"98334219283a64cf","tvmgen_default_fused_nn_conv2d",1.8309,"NCHW","OIHW",,""
"float32[1, 64, 224, 224], float32[64], float32[1, 64, 224, 224]",1,"opencl0",5137.64,"5fb4e90c5f1a0d23","tvmgen_default_fused_nn_bias_add",0.133622,,,,
"float32[1, 64, 224, 224], float32[1, 64, 224, 224]",1,"opencl0",5075.41,"de5d3359bcb15743","tvmgen_default_fused_nn_relu",0.132004,,,,
"float32[1, 64, 224, 224], float32[64, 64, 3, 3], float32[1, 64, 224, 224]",1,"opencl0",387107,"84094f9c15a717f2","tvmgen_default_fused_nn_conv2d_1",10.0681,"NCHW","OIHW",,""
"float32[1, 64, 224, 224], float32[64], float32[1, 64, 224, 224]",1,"opencl0",5154.08,"5fb4e90c5f1a0d23","tvmgen_default_fused_nn_bias_add",0.13405,,,,
"float32[1, 64, 224, 224], float32[1, 64, 224, 224]",1,"opencl0",5044.24,"de5d3359bcb15743","tvmgen_default_fused_nn_relu",0.131193,,,,
"float32[1, 64, 224, 224], float32[1, 64, 112, 112]",1,"opencl0",2247.04,"66b15f13bd0ef16f","tvmgen_default_fused_nn_max_pool2d",0.0584422,,,"NCHW",""
"float32[1, 64, 112, 112], float32[128, 64, 3, 3], float32[1, 128, 112, 112]",1,"opencl0",139994,"6c949953cd28320d","tvmgen_default_fused_nn_conv2d_2",3.64104,"NCHW","OIHW",,""
"float32[1, 128, 112, 112], float32[128], float32[1, 128, 112, 112]",1,"opencl0",2444.46,"42803c08d82f336b","tvmgen_default_fused_nn_bias_add_1",0.0635767,,,,
"float32[1, 128, 112, 112], float32[1, 128, 112, 112]",1,"opencl0",2340.59,"6906d3b37d08f0fb","tvmgen_default_fused_nn_relu_1",0.0608753,,,,
"float32[1, 128, 112, 112], float32[128, 128, 3, 3], float32[1, 128, 112, 112]",1,"opencl0",224697,"99d5efd7af165ec2","tvmgen_default_fused_nn_conv2d_3",5.84403,"NCHW","OIHW",,""
"float32[1, 128, 112, 112], float32[128], float32[1, 128, 112, 112]",1,"opencl0",2409.12,"42803c08d82f336b","tvmgen_default_fused_nn_bias_add_1",0.0626575,,,,
"float32[1, 128, 112, 112], float32[1, 128, 112, 112]",1,"opencl0",2364.29,"6906d3b37d08f0fb","tvmgen_default_fused_nn_relu_1",0.0614915,,,,
"float32[1, 128, 112, 112], float32[1, 128, 56, 56]",1,"opencl0",1129.29,"abf726ad48a565ba","tvmgen_default_fused_nn_max_pool2d_1",0.029371,,,"NCHW",""
