Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[64, 3, 3, 3], float32[1, 64, 224, 224]",1,"opencl0",0,"98334219283a64cf","tvmgen_default_fused_nn_conv2d",nan,"NCHW","OIHW",,""
"float32[1, 64, 224, 224], float32[64], float32[1, 64, 224, 224]",1,"opencl0",0,"5fb4e90c5f1a0d23","tvmgen_default_fused_nn_bias_add",nan,,,,
"float32[1, 64, 224, 224], float32[1, 64, 224, 224]",1,"opencl0",0,"de5d3359bcb15743","tvmgen_default_fused_nn_relu",nan,,,,
"float32[1, 64, 224, 224], float32[64, 64, 3, 3], float32[1, 64, 224, 224]",1,"opencl0",0,"84094f9c15a717f2","tvmgen_default_fused_nn_conv2d_1",nan,"NCHW","OIHW",,""
"float32[1, 64, 224, 224], float32[64], float32[1, 64, 224, 224]",1,"opencl0",0,"5fb4e90c5f1a0d23","tvmgen_default_fused_nn_bias_add",nan,,,,
"float32[1, 64, 224, 224], float32[1, 64, 224, 224]",1,"opencl0",0,"de5d3359bcb15743","tvmgen_default_fused_nn_relu",nan,,,,
"float32[1, 64, 224, 224], float32[1, 64, 112, 112]",1,"opencl0",0,"66b15f13bd0ef16f","tvmgen_default_fused_nn_max_pool2d",nan,,,"NCHW",""
"float32[1, 64, 112, 112], float32[128, 64, 3, 3], float32[1, 128, 112, 112]",1,"opencl0",0,"6c949953cd28320d","tvmgen_default_fused_nn_conv2d_2",nan,"NCHW","OIHW",,""
"float32[1, 128, 112, 112], float32[128], float32[1, 128, 112, 112]",1,"opencl0",0,"42803c08d82f336b","tvmgen_default_fused_nn_bias_add_1",nan,,,,
"float32[1, 128, 112, 112], float32[1, 128, 112, 112]",1,"opencl0",0,"6906d3b37d08f0fb","tvmgen_default_fused_nn_relu_1",nan,,,,
"float32[1, 128, 112, 112], float32[128, 128, 3, 3], float32[1, 128, 112, 112]",1,"opencl0",0,"99d5efd7af165ec2","tvmgen_default_fused_nn_conv2d_3",nan,"NCHW","OIHW",,""
"float32[1, 128, 112, 112], float32[128], float32[1, 128, 112, 112]",1,"opencl0",0,"42803c08d82f336b","tvmgen_default_fused_nn_bias_add_1",nan,,,,
"float32[1, 128, 112, 112], float32[1, 128, 112, 112]",1,"opencl0",0,"6906d3b37d08f0fb","tvmgen_default_fused_nn_relu_1",nan,,,,
"float32[1, 128, 112, 112], float32[1, 128, 56, 56]",1,"opencl0",0,"abf726ad48a565ba","tvmgen_default_fused_nn_max_pool2d_1",nan,,,"NCHW",""
"float32[1, 128, 56, 56], float32[256, 128, 3, 3], float32[1, 256, 56, 56]",1,"opencl0",0,"c91f4f33877bc26b","tvmgen_default_fused_nn_conv2d_4",nan,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"opencl0",0,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_2",nan,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"opencl0",0,"2920dd789f380081","tvmgen_default_fused_nn_relu_2",nan,,,,
"float32[1, 256, 56, 56], float32[256, 256, 3, 3], float32[1, 256, 56, 56]",1,"opencl0",0,"ffc9f017a80622a4","tvmgen_default_fused_nn_conv2d_5",nan,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"opencl0",0,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_2",nan,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"opencl0",0,"2920dd789f380081","tvmgen_default_fused_nn_relu_2",nan,,,,
"float32[1, 256, 56, 56], float32[1, 256, 28, 28]",1,"opencl0",0,"40b91251aa1c0102","tvmgen_default_fused_nn_max_pool2d_2",nan,,,"NCHW",""
"float32[1, 256, 28, 28], float32[512, 256, 3, 3], float32[1, 512, 28, 28]",1,"opencl0",0,"268accfd24b422b1","tvmgen_default_fused_nn_conv2d_6",nan,"NCHW","OIHW",,""
"float32[1, 512, 28, 28], float32[512], float32[1, 512, 28, 28]",1,"opencl0",0,"2b44fee34eaf69ef","tvmgen_default_fused_nn_bias_add_3",nan,,,,
"float32[1, 512, 28, 28], float32[1, 512, 28, 28]",1,"opencl0",0,"a10fb7f10331e950","tvmgen_default_fused_nn_relu_3",nan,,,,
"float32[1, 512, 28, 28], float32[512, 512, 3, 3], float32[1, 512, 28, 28]",1,"opencl0",0,"f51be02cf276d976","tvmgen_default_fused_nn_conv2d_7",nan,"NCHW","OIHW",,""
"float32[1, 512, 28, 28], float32[512], float32[1, 512, 28, 28]",1,"opencl0",0,"2b44fee34eaf69ef","tvmgen_default_fused_nn_bias_add_3",nan,,,,
"float32[1, 512, 28, 28], float32[1, 512, 28, 28]",1,"opencl0",0,"a10fb7f10331e950","tvmgen_default_fused_nn_relu_3",nan,,,,
"float32[1, 512, 28, 28], float32[1, 512, 14, 14]",1,"opencl0",0,"a58460573dd02317","tvmgen_default_fused_nn_max_pool2d_3",nan,,,"NCHW",""
"float32[1, 512, 14, 14], float32[512, 512, 3, 3], float32[1, 512, 14, 14]",1,"opencl0",0,"dcb4a671a8ae35ab","tvmgen_default_fused_nn_conv2d_8",nan,"NCHW","OIHW",,""
"float32[1, 512, 14, 14], float32[512], float32[1, 512, 14, 14]",1,"opencl0",0,"b2f20ddb1e69950e","tvmgen_default_fused_nn_bias_add_4",nan,,,,
"float32[1, 512, 14, 14], float32[1, 512, 14, 14]",1,"opencl0",0,"3ebbf1e0ac63ab24","tvmgen_default_fused_nn_relu_4",nan,,,,
"float32[1, 512, 14, 14], float32[512, 512, 3, 3], float32[1, 512, 14, 14]",1,"opencl0",0,"dcb4a671a8ae35ab","tvmgen_default_fused_nn_conv2d_8",nan,"NCHW","OIHW",,""
"float32[1, 512, 14, 14], float32[512], float32[1, 512, 14, 14]",1,"opencl0",0,"b2f20ddb1e69950e","tvmgen_default_fused_nn_bias_add_4",nan,,,,
"float32[1, 512, 14, 14], float32[1, 512, 14, 14]",1,"opencl0",0,"3ebbf1e0ac63ab24","tvmgen_default_fused_nn_relu_4",nan,,,,
"float32[1, 512, 14, 14], float32[1, 512, 7, 7]",1,"opencl0",0,"87a86a9ad44973a5","tvmgen_default_fused_nn_max_pool2d_4",nan,,,"NCHW",""
"float32[1, 512, 7, 7], float32[1, 512, 7, 7]",1,"opencl0",0,"e1e4a3e4139cb89a","tvmgen_default_fused_nn_avg_pool2d",nan,,,"NCHW",""
"float32[1, 512, 7, 7], float32[1, 25088]",1,"opencl0",0,"09bd02bb717a7c68","__nop",nan,,,,
"float32[1, 25088], float32[4096, 25088], float32[1, 4096]",1,"opencl0",0,"032fc0d6fe9323d0","tvmgen_default_fused_nn_dense",nan,,,,
"float32[1, 4096], float32[4096], float32[1, 4096]",1,"opencl0",0,"53e9bd0835ae2e21","tvmgen_default_fused_add",nan,,,,
"float32[1, 4096], float32[1, 4096]",1,"opencl0",0,"dcf458679b2083c9","tvmgen_default_fused_nn_relu_5",nan,,,,
"float32[1, 4096], float32[4096, 4096], float32[1, 4096]",1,"opencl0",0,"758238b671313694","tvmgen_default_fused_nn_dense_1",nan,,,,
"float32[1, 4096], float32[4096], float32[1, 4096]",1,"opencl0",0,"53e9bd0835ae2e21","tvmgen_default_fused_add",nan,,,,
"float32[1, 4096], float32[1, 4096]",1,"opencl0",0,"dcf458679b2083c9","tvmgen_default_fused_nn_relu_5",nan,,,,
"float32[1, 4096], float32[1000, 4096], float32[1, 1000]",1,"opencl0",0,"8a835404ccb3a9f1","tvmgen_default_fused_nn_dense_2",nan,,,,
"float32[1, 1000], float32[1000], float32[1, 1000]",1,"opencl0",0,"cdf93cc9b3c4974f","tvmgen_default_fused_add_1",nan,,,,
