Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[64, 3, 11, 11], float32[64], float32[1, 64, 55, 55]",1,"opencl0",182403,"0aa0736909731dae","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu",9.17773,"NCHW","OIHW",,""
"float32[1, 64, 55, 55], float32[1, 64, 27, 27]",1,"opencl0",240.34,"02ac62bdb14429aa","tvmgen_default_fused_nn_max_pool2d",0.0120929,,,"NCHW",""
"float32[1, 64, 27, 27], float32[192, 64, 5, 5], float32[192], float32[1, 192, 27, 27]",1,"opencl0",157383,"9c8096b90c6df313","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu_1",7.91884,"NCHW","OIHW",,""
"float32[1, 192, 27, 27], float32[1, 192, 13, 13]",1,"opencl0",168.869,"bba3fb8bd9e41ca9","tvmgen_default_fused_nn_max_pool2d_1",0.00849677,,,"NCHW",""
"float32[1, 192, 13, 13], float32[384, 192, 3, 3], float32[384], float32[1, 384, 13, 13]",1,"opencl0",74961.2,"70c603c41d8d10c8","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu_2",3.77173,"NCHW","OIHW",,""
"float32[1, 384, 13, 13], float32[256, 384, 3, 3], float32[256], float32[1, 256, 13, 13]",1,"opencl0",540039,"41204196868b44a8","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu_3",27.1725,"NCHW","OIHW",,""
"float32[1, 256, 13, 13], float32[256, 256, 3, 3], float32[256], float32[1, 256, 13, 13]",1,"opencl0",340959,"705332935b5b8be9","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu_4",17.1556,"NCHW","OIHW",,""
"float32[1, 256, 13, 13], float32[1, 256, 6, 6]",1,"opencl0",54.974,"08a530a60de3139a","tvmgen_default_fused_nn_max_pool2d_2",0.00276606,,,"NCHW",""
"float32[1, 256, 6, 6], float32[1, 256, 6, 6]",1,"opencl0",10.736,"a689d8ccd973c226","tvmgen_default_fused_nn_avg_pool2d",0.00054019,,,"NCHW",""
"float32[1, 256, 6, 6], float32[1, 9216]",1,"opencl0",0,"fbb43f97fcc3d018","__nop",0,,,,
"float32[1, 9216], float32[4096, 9216], float32[4096], float32[1, 4096]",1,"opencl0",566396,"1714583e985b3a74","tvmgen_default_fused_nn_dense_add_nn_relu",28.4987,,,,
"float32[1, 4096], float32[4096, 4096], float32[4096], float32[1, 4096]",1,"opencl0",118735,"4eba97752c181606","tvmgen_default_fused_nn_dense_add_nn_relu_1",5.97425,,,,
"float32[1, 4096], float32[1000, 4096], float32[1000], float32[1, 1000]",1,"opencl0",6097.41,"46f86a6b81daf456","tvmgen_default_fused_nn_dense_add",0.306796,,,,
