Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[64, 3, 7, 7], float32[64], float32[1, 64, 112, 112]",1,"opencl0",183909,"ff2955153bc48839","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu",29.1507,"NCHW","OIHW",,""
"float32[1, 64, 112, 112], float32[1, 64, 56, 56]",1,"opencl0",976.483,"f9a2c55cab74f218","tvmgen_default_fused_nn_max_pool2d",0.154778,,,"NCHW",""
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[64], float32[1, 64, 56, 56]",1,"opencl0",21517.2,"4ef786ad060fa700","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu_1",3.4106,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[64], float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",21883.3,"94edf30858cad8e1","tvmgen_default_fused_nn_conv2d_nn_bias_add_add_nn_relu",3.46864,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[64], float32[1, 64, 56, 56]",1,"opencl0",24124.1,"4ef786ad060fa700","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu_1",3.82382,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[64], float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"opencl0",24399.5,"94edf30858cad8e1","tvmgen_default_fused_nn_conv2d_nn_bias_add_add_nn_relu",3.86748,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[128, 64, 3, 3], float32[128], float32[1, 128, 28, 28]",1,"opencl0",10535.9,"cc2013b772f2ea69","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu_2",1.67,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[128, 64, 1, 1], float32[128], float32[1, 128, 28, 28]",1,"opencl0",1228.29,"8146317cdfc0af74","tvmgen_default_fused_nn_conv2d_nn_bias_add",0.194691,"NCHW","OIHW",,""
"float32[1, 128, 28, 28], float32[128, 128, 3, 3], float32[128], float32[1, 128, 28, 28], float32[1, 128, 28, 28]",1,"opencl0",18182.2,"eea5ae0c6d045866","tvmgen_default_fused_nn_conv2d_nn_bias_add_add_nn_relu_1",2.88199,"NCHW","OIHW",,""
"float32[1, 128, 28, 28], float32[128, 128, 3, 3], float32[128], float32[1, 128, 28, 28]",1,"opencl0",17704.9,"bc3617c4afffee75","tvmgen_default_fused_nn_conv2d_nn_bias_add_nn_relu_3",2.80633,"NCHW","OIHW",,""
